step,loss,lr,elapsed_sec
10,23.853213,0.00000200,4.5
20,21.368535,0.00000400,8.7
30,18.497921,0.00000600,12.8
40,15.142114,0.00000800,16.9
50,12.545639,0.00001000,21.0
60,10.542900,0.00000999,25.2
70,9.199043,0.00000996,29.3
80,8.703429,0.00000990,33.5
90,7.698494,0.00000983,37.7
100,7.233024,0.00000973,41.8
110,6.716858,0.00000961,46.2
120,6.331513,0.00000947,50.4
130,5.713360,0.00000932,54.5
140,5.354351,0.00000914,58.8
150,4.942096,0.00000895,62.9
160,4.640548,0.00000874,67.0
170,4.492586,0.00000851,71.2
180,4.263349,0.00000827,75.3
190,3.543702,0.00000802,79.5
200,3.555410,0.00000775,83.7
210,3.399522,0.00000747,89.1
220,3.047163,0.00000719,93.3
230,2.868954,0.00000689,97.4
240,2.799350,0.00000659,101.5
250,2.736111,0.00000628,105.7
260,2.599804,0.00000597,109.9
270,2.402913,0.00000566,114.0
280,2.449988,0.00000534,118.3
290,2.181400,0.00000503,122.5
300,2.141732,0.00000472,126.6
310,1.891534,0.00000441,131.0
320,2.063506,0.00000411,135.2
330,1.915156,0.00000381,139.4
340,1.842181,0.00000353,143.6
350,1.827830,0.00000325,147.8
360,1.638611,0.00000298,152.0
370,1.559137,0.00000273,156.2
380,1.563346,0.00000249,160.4
390,1.528237,0.00000226,164.5
400,1.430619,0.00000205,168.7
410,1.493975,0.00000186,174.1
420,1.388383,0.00000168,178.3
430,1.489110,0.00000153,182.5
440,1.488465,0.00000139,186.7
450,1.436679,0.00000127,190.9
460,1.432332,0.00000117,195.1
470,1.371511,0.00000110,199.3
480,1.327496,0.00000104,203.5
490,1.253841,0.00000101,207.7
500,1.362318,0.00000100,211.9
