step,loss,lr,elapsed_sec
50,6.962853,0.00000250,216.4
100,6.394669,0.00000500,432.4
150,5.672319,0.00000750,648.6
200,5.252673,0.00001000,864.7
250,4.965212,0.00001250,1080.9
300,4.719993,0.00001500,1297.1
350,4.513744,0.00001750,1513.3
400,4.347238,0.00002000,1729.4
450,4.569643,0.00002000,1945.6
500,4.211624,0.00001999,2161.7
550,4.310023,0.00001998,2380.5
600,4.332779,0.00001997,2596.5
650,4.262448,0.00001995,2812.6
700,4.163634,0.00001993,3028.7
750,4.197250,0.00001991,3244.8
800,3.936603,0.00001988,3461.0
850,3.813334,0.00001984,3677.0
900,3.959485,0.00001981,3893.1
950,3.955928,0.00001977,4109.2
1000,3.758443,0.00001972,4325.2
1050,3.860257,0.00001968,4557.5
1100,3.796088,0.00001963,4773.5
1150,3.737611,0.00001957,4989.8
1200,3.588114,0.00001951,5206.0
1250,3.751114,0.00001945,5421.9
1300,3.717385,0.00001938,5637.9
1350,3.612987,0.00001931,5854.1
1400,3.856167,0.00001924,6070.1
1450,3.513652,0.00001917,6286.2
1500,3.604283,0.00001909,6502.2
1550,3.738831,0.00001900,6721.1
1600,3.718473,0.00001892,6937.0
1650,3.545819,0.00001883,7153.1
1700,3.380850,0.00001873,7369.3
1750,3.635545,0.00001863,7585.3
1800,3.475970,0.00001853,7801.5
1850,3.505401,0.00001843,8017.5
1900,3.487505,0.00001832,8233.6
1950,3.300581,0.00001821,8449.6
2000,3.367712,0.00001810,8665.8
2050,3.389872,0.00001799,8898.3
2100,3.393427,0.00001787,9114.3
2150,3.368831,0.00001775,9330.5
2200,3.319547,0.00001762,9546.5
2250,3.199290,0.00001749,9762.5
2300,3.319999,0.00001736,9978.9
2350,3.260013,0.00001723,10194.9
2400,3.334831,0.00001710,10411.0
2450,3.176376,0.00001696,10627.0
2500,3.352365,0.00001682,10843.1
2550,3.236328,0.00001667,11061.9
2600,3.155460,0.00001653,11278.0
2650,3.251438,0.00001638,11494.1
2700,3.200767,0.00001623,11710.1
2750,3.171252,0.00001608,11926.1
2800,3.217756,0.00001592,12142.2
2850,3.091117,0.00001577,12358.3
2900,3.192733,0.00001561,12574.4
2950,3.243831,0.00001545,12790.5
3000,3.140542,0.00001528,13006.6
3050,2.985894,0.00001512,13239.3
3100,3.231882,0.00001495,13455.4
3150,3.148547,0.00001478,13671.3
3200,3.162850,0.00001462,13887.4
3250,3.092944,0.00001444,14103.5
3300,2.975896,0.00001427,14319.5
3350,2.972140,0.00001410,14535.7
3400,3.107892,0.00001392,14752.0
3450,3.079207,0.00001375,14967.9
3500,2.945215,0.00001357,15184.0
3550,3.012347,0.00001339,15402.9
3600,3.150454,0.00001321,15619.0
3650,2.953565,0.00001303,15835.1
3700,3.045688,0.00001285,16051.2
3750,3.173531,0.00001266,16267.1
3800,3.075127,0.00001248,16483.1
3850,2.959439,0.00001230,16699.2
