step,loss,lr,elapsed_sec
50,1.553202,0.00001333,99.4
100,1.455078,0.00001999,198.0
150,1.432837,0.00001988,297.1
200,1.411983,0.00001966,394.6
250,1.398526,0.00001934,492.6
300,1.387965,0.00001892,590.5
350,1.379389,0.00001840,690.1
400,1.372817,0.00001779,788.1
450,1.369045,0.00001710,886.6
500,1.365679,0.00001633,984.4
550,1.364346,0.00001550,1084.0
600,1.363660,0.00001462,1182.8
650,1.363235,0.00001369,1281.2
700,1.363065,0.00001273,1379.5
750,1.363016,0.00001174,1479.8
800,1.363022,0.00001075,1579.0
850,1.363236,0.00000976,1678.2
900,1.363880,0.00000879,1778.2
950,1.362980,0.00000784,1877.2
1000,1.362965,0.00000694,1975.3
1050,1.362959,0.00000608,2087.2
1100,1.362909,0.00000528,2185.4
1150,1.362968,0.00000455,2285.1
1200,1.362953,0.00000390,2383.3
1250,1.362914,0.00000333,2480.9
1300,1.362942,0.00000286,2580.2
1350,1.362944,0.00000249,2679.5
1400,1.362920,0.00000222,2779.3
1450,1.362963,0.00000205,2878.3
1500,1.363011,0.00000200,2978.8
