step,loss,lr,elapsed_sec
50,1.784287,0.00001333,59.4
100,1.452012,0.00001999,117.7
150,1.406837,0.00001988,176.0
200,1.392817,0.00001966,234.1
250,1.388707,0.00001934,292.2
300,1.383107,0.00001892,350.6
350,1.379468,0.00001840,408.8
400,1.374171,0.00001779,467.2
450,1.372851,0.00001710,525.2
500,1.372048,0.00001633,583.5
550,1.372494,0.00001550,643.0
600,1.372227,0.00001462,701.1
650,1.370139,0.00001369,759.6
700,1.371031,0.00001273,817.7
750,1.370821,0.00001174,875.9
800,1.370482,0.00001075,934.4
850,1.370603,0.00000976,992.4
900,1.370802,0.00000879,1050.8
950,1.370515,0.00000784,1109.1
1000,1.370795,0.00000694,1167.3
1050,1.371769,0.00000608,1237.8
1100,1.370184,0.00000528,1296.0
1150,1.370618,0.00000455,1354.5
1200,1.370462,0.00000390,1412.6
1250,1.370051,0.00000333,1470.7
1300,1.370353,0.00000286,1529.0
1350,1.370471,0.00000249,1587.1
1400,1.370536,0.00000222,1645.7
1450,1.370597,0.00000205,1703.7
1500,1.370246,0.00000200,1761.8
