step,loss,lr,elapsed_sec
50,3.525157,0.00000250,69.5
100,1.557219,0.00000500,138.5
150,1.366040,0.00000750,207.5
200,1.365946,0.00001000,276.4
250,1.364388,0.00001250,345.3
300,1.364664,0.00001500,414.2
350,1.363363,0.00001750,483.1
400,1.364213,0.00002000,552.1
450,1.363122,0.00002000,621.2
500,1.363203,0.00002000,690.3
550,1.362945,0.00001999,760.1
600,1.362967,0.00001998,829.1
650,1.362875,0.00001997,898.0
700,1.362954,0.00001996,966.9
750,1.362781,0.00001994,1035.9
800,1.362644,0.00001992,1104.8
850,1.362636,0.00001990,1173.7
900,1.362780,0.00001988,1242.8
950,1.362885,0.00001985,1311.7
1000,1.362642,0.00001983,1380.6
1050,1.362638,0.00001980,1466.8
1100,1.362758,0.00001976,1535.8
1150,1.362815,0.00001973,1604.8
1200,1.362677,0.00001969,1673.8
1250,1.362612,0.00001965,1742.7
1300,1.362722,0.00001961,1811.7
1350,1.362817,0.00001957,1880.8
1400,1.362709,0.00001952,1949.9
1450,1.362717,0.00001947,2018.8
1500,1.362619,0.00001942,2087.8
1550,1.362660,0.00001937,2157.7
1600,1.362555,0.00001931,2226.8
1650,1.362744,0.00001926,2295.9
1700,1.362664,0.00001920,2364.9
1750,1.362584,0.00001914,2433.9
1800,1.362714,0.00001907,2502.8
1850,1.362729,0.00001901,2571.8
1900,1.362582,0.00001894,2640.7
1950,1.362610,0.00001887,2709.6
2000,1.362589,0.00001879,2778.6
2050,1.362549,0.00001872,2866.2
2100,1.362538,0.00001864,2935.1
2150,1.362536,0.00001856,3004.2
2200,1.362530,0.00001848,3073.2
2250,1.362412,0.00001840,3142.1
2300,1.362595,0.00001832,3211.2
2350,1.362617,0.00001823,3280.2
2400,1.362426,0.00001814,3349.2
2450,1.362359,0.00001805,3418.1
2500,1.362653,0.00001796,3487.1
2550,1.362657,0.00001786,3557.1
2600,1.362612,0.00001777,3626.2
2650,1.362661,0.00001767,3695.3
2700,1.362676,0.00001757,3764.4
2750,1.362603,0.00001747,3833.5
2800,1.362484,0.00001736,3902.6
2850,1.362457,0.00001726,3971.7
2900,1.362526,0.00001715,4040.7
2950,1.362384,0.00001704,4109.8
3000,1.362285,0.00001693,4178.8
3050,1.362663,0.00001682,4267.1
3100,1.362478,0.00001671,4336.2
3150,1.362883,0.00001659,4405.3
3200,1.362429,0.00001648,4474.3
