step,loss,lr,elapsed_sec
50,5.109331,0.00000250,59.2
100,4.667161,0.00000500,117.4
150,4.132598,0.00000750,175.9
200,3.836041,0.00001000,233.7
250,3.602199,0.00001250,292.1
300,3.531643,0.00001500,350.1
350,3.752808,0.00001750,408.0
400,3.393670,0.00002000,466.3
450,3.457086,0.00002000,524.1
500,3.352081,0.00001999,582.6
550,3.111740,0.00001998,643.2
600,2.937173,0.00001997,701.6
650,2.927164,0.00001995,759.5
700,2.899823,0.00001993,817.3
750,2.609860,0.00001991,875.7
800,2.690112,0.00001988,933.6
850,2.446920,0.00001984,992.0
900,2.487094,0.00001981,1050.0
950,2.523150,0.00001977,1108.0
1000,2.172800,0.00001972,1166.5
1050,2.218250,0.00001968,1237.8
1100,2.098669,0.00001963,1296.3
1150,2.048962,0.00001957,1354.1
1200,1.891508,0.00001951,1412.5
1250,1.958133,0.00001945,1470.4
1300,2.024787,0.00001938,1528.3
1350,1.841358,0.00001931,1586.6
1400,1.912264,0.00001924,1644.5
1450,1.796745,0.00001917,1702.9
1500,1.879569,0.00001909,1760.8
1550,1.713061,0.00001900,1821.8
1600,1.727232,0.00001892,1879.6
1650,1.722859,0.00001883,1937.7
1700,1.726762,0.00001873,1996.1
1750,1.695868,0.00001863,2053.9
1800,1.623736,0.00001853,2112.3
1850,1.657402,0.00001843,2170.2
1900,1.676387,0.00001832,2228.2
1950,1.615151,0.00001821,2286.5
2000,1.647834,0.00001810,2344.4
2050,1.655601,0.00001799,2416.0
2100,1.597182,0.00001787,2474.0
2150,1.587265,0.00001775,2532.4
2200,1.584797,0.00001762,2590.2
2250,1.585409,0.00001749,2648.1
2300,1.579126,0.00001736,2706.6
2350,1.632880,0.00001723,2764.6
2400,1.546973,0.00001710,2823.0
2450,1.531552,0.00001696,2880.9
2500,1.550011,0.00001682,2939.2
2550,1.538880,0.00001667,2999.7
2600,1.537416,0.00001653,3057.6
2650,1.532751,0.00001638,3115.8
2700,1.551412,0.00001623,3173.7
2750,1.512150,0.00001608,3232.0
2800,1.535467,0.00001592,3290.0
2850,1.535414,0.00001577,3347.9
2900,1.516531,0.00001561,3406.2
2950,1.513041,0.00001545,3464.1
3000,1.505249,0.00001528,3522.7
3050,1.510879,0.00001512,3593.7
3100,1.508301,0.00001495,3652.0
3150,1.489533,0.00001478,3709.9
3200,1.509718,0.00001462,3767.8
3250,1.506363,0.00001444,3826.3
3300,1.501671,0.00001427,3884.4
3350,1.487862,0.00001410,3942.8
3400,1.497756,0.00001392,4000.8
3450,1.483872,0.00001375,4059.4
3500,1.473057,0.00001357,4117.2
3550,1.476398,0.00001339,4177.6
3600,1.476390,0.00001321,4236.0
3650,1.493983,0.00001303,4293.9
3700,1.476750,0.00001285,4352.3
3750,1.478683,0.00001266,4410.3
3800,1.480871,0.00001248,4468.2
3850,1.510919,0.00001230,4526.5
3900,1.497077,0.00001211,4584.4
3950,1.465618,0.00001193,4642.8
4000,1.483384,0.00001174,4700.7
4050,1.480670,0.00001156,4772.0
4100,1.482117,0.00001137,4830.1
4150,1.473473,0.00001119,4888.2
4200,1.466629,0.00001100,4946.5
4250,1.454350,0.00001081,5004.4
4300,1.485529,0.00001063,5062.7
4350,1.482963,0.00001044,5120.8
4400,1.453990,0.00001026,5179.3
4450,1.468629,0.00001007,5237.2
4500,1.458312,0.00000989,5295.0
4550,1.455682,0.00000970,5355.9
4600,1.448379,0.00000952,5413.9
4650,1.482881,0.00000934,5472.4
4700,1.461620,0.00000915,5530.4
4750,1.453929,0.00000897,5588.4
4800,1.463773,0.00000879,5646.8
4850,1.451438,0.00000861,5704.7
4900,1.457081,0.00000843,5763.1
4950,1.461650,0.00000825,5820.9
5000,1.461150,0.00000808,5879.2
5050,1.464054,0.00000790,5949.5
5100,1.452092,0.00000773,6007.3
5150,1.460993,0.00000756,6065.7
5200,1.450027,0.00000738,6123.6
5250,1.455013,0.00000722,6181.8
5300,1.460405,0.00000705,6239.8
5350,1.451529,0.00000688,6298.1
5400,1.476301,0.00000672,6355.9
5450,1.457204,0.00000655,6413.7
5500,1.456815,0.00000639,6472.1
5550,1.438045,0.00000623,6532.4
5600,1.458428,0.00000608,6590.7
5650,1.466713,0.00000592,6648.6
5700,1.459322,0.00000577,6706.5
5750,1.503838,0.00000562,6764.9
5800,1.456062,0.00000547,6822.8
5850,1.465108,0.00000533,6881.1
5900,1.445376,0.00000518,6939.0
5950,1.455819,0.00000504,6997.5
6000,1.453724,0.00000490,7055.3
6050,1.457975,0.00000477,7126.1
6100,1.451803,0.00000464,7184.5
6150,1.445957,0.00000451,7242.4
6200,1.450216,0.00000438,7300.8
6250,1.456329,0.00000425,7358.7
6300,1.461353,0.00000413,7417.0
6350,1.452661,0.00000401,7474.8
6400,1.441440,0.00000390,7532.8
6450,1.463390,0.00000379,7591.2
6500,1.443401,0.00000368,7649.1
6550,1.465675,0.00000357,7710.1
6600,1.455691,0.00000347,7767.9
6650,1.446894,0.00000337,7825.9
6700,1.469719,0.00000327,7884.2
6750,1.438100,0.00000317,7942.0
6800,1.441668,0.00000308,8000.4
6850,1.458436,0.00000300,8058.3
6900,1.459226,0.00000291,8116.7
6950,1.507251,0.00000283,8174.5
7000,1.443621,0.00000276,8232.5
7050,1.448844,0.00000269,8303.9
7100,1.467288,0.00000262,8362.1
7150,1.447733,0.00000255,8420.5
7200,1.455778,0.00000249,8478.5
7250,1.438027,0.00000243,8537.0
7300,1.446476,0.00000237,8595.0
7350,1.447734,0.00000232,8652.8
7400,1.446419,0.00000228,8711.2
7450,1.461014,0.00000223,8769.0
7500,1.448870,0.00000219,8827.4
7550,1.459636,0.00000216,8888.0
7600,1.441504,0.00000212,8946.0
7650,1.435352,0.00000209,9004.3
7700,1.448151,0.00000207,9062.3
7750,1.446983,0.00000205,9120.7
7800,1.463882,0.00000203,9178.6
7850,1.464398,0.00000202,9236.9
7900,1.461458,0.00000201,9294.9
7950,1.453766,0.00000200,9352.9
8000,1.448834,0.00000200,9411.4
