step,loss,lr,elapsed_sec
50,1.975870,0.00001333,59.5
100,1.453164,0.00001999,117.7
150,1.447542,0.00001988,176.2
200,1.417172,0.00001966,234.4
250,1.399756,0.00001934,292.5
300,1.404260,0.00001892,351.0
350,1.385239,0.00001840,409.0
400,1.379466,0.00001779,467.3
450,1.378136,0.00001710,525.4
500,1.373906,0.00001633,583.6
550,1.372506,0.00001550,643.0
600,1.372262,0.00001462,701.0
650,1.370920,0.00001369,759.4
700,1.371126,0.00001273,817.4
750,1.370100,0.00001174,875.6
800,1.370999,0.00001075,934.0
850,1.370257,0.00000976,992.0
900,1.370386,0.00000879,1050.3
950,1.370184,0.00000784,1108.5
1000,1.369816,0.00000694,1166.6
1050,1.370026,0.00000608,1235.7
1100,1.370062,0.00000528,1293.8
1150,1.370665,0.00000455,1352.5
1200,1.370074,0.00000390,1410.6
1250,1.369862,0.00000333,1468.7
1300,1.369828,0.00000286,1527.1
1350,1.370136,0.00000249,1585.1
1400,1.369885,0.00000222,1643.6
1450,1.369996,0.00000205,1701.7
1500,1.370208,0.00000200,1759.7
