step,loss,lr,elapsed_sec
50,2.104392,0.00001333,59.4
100,1.585251,0.00001999,117.6
150,1.525835,0.00001988,175.9
200,1.495866,0.00001966,234.0
250,1.460333,0.00001934,292.2
300,1.412745,0.00001892,350.8
350,1.420529,0.00001840,409.0
400,1.397738,0.00001779,467.3
450,1.388984,0.00001710,525.3
500,1.381620,0.00001633,583.5
550,1.379881,0.00001550,642.9
600,1.377637,0.00001462,700.9
650,1.377563,0.00001369,759.4
700,1.376184,0.00001273,817.4
750,1.372453,0.00001174,875.6
800,1.374059,0.00001075,934.0
850,1.373793,0.00000976,992.1
900,1.373554,0.00000879,1050.5
950,1.372165,0.00000784,1108.7
1000,1.372539,0.00000694,1166.7
1050,1.372446,0.00000608,1236.5
1100,1.372730,0.00000528,1294.7
1150,1.372997,0.00000455,1353.2
1200,1.372888,0.00000390,1411.3
1250,1.372705,0.00000333,1469.5
1300,1.373488,0.00000286,1528.0
1350,1.371584,0.00000249,1586.2
1400,1.373835,0.00000222,1644.8
1450,1.373527,0.00000205,1702.9
1500,1.372258,0.00000200,1761.1
