step,loss,lr,elapsed_sec
50,2.076240,0.00001333,59.4
100,1.537648,0.00001999,117.8
150,1.515331,0.00001988,176.3
200,1.502704,0.00001966,234.3
250,1.437280,0.00001934,292.4
300,1.398379,0.00001892,350.9
350,1.405317,0.00001840,409.0
400,1.392762,0.00001779,467.4
450,1.384151,0.00001710,525.5
500,1.380071,0.00001633,583.6
550,1.376012,0.00001550,643.1
600,1.374614,0.00001462,701.2
650,1.374121,0.00001369,759.6
700,1.374919,0.00001273,817.6
750,1.372642,0.00001174,876.0
800,1.371688,0.00001075,934.4
850,1.371238,0.00000976,992.5
900,1.371382,0.00000879,1050.9
950,1.371859,0.00000784,1109.1
1000,1.371675,0.00000694,1167.4
1050,1.371779,0.00000608,1237.2
1100,1.371510,0.00000528,1295.3
1150,1.371389,0.00000455,1354.0
1200,1.371356,0.00000390,1412.0
1250,1.371583,0.00000333,1470.1
1300,1.371409,0.00000286,1528.5
1350,1.371294,0.00000249,1586.6
1400,1.371243,0.00000222,1645.1
1450,1.371413,0.00000205,1703.3
1500,1.371908,0.00000200,1761.4
