step,loss,lr,elapsed_sec
50,7.086444,0.00000250,59.5
100,4.001659,0.00000500,117.8
150,2.048284,0.00000750,176.1
200,1.612415,0.00001000,234.1
250,1.511012,0.00001250,292.2
300,1.482555,0.00001500,350.5
350,1.484784,0.00001750,408.6
400,1.460141,0.00002000,466.9
450,1.420640,0.00002000,524.9
500,1.404446,0.00001999,583.2
550,1.402699,0.00001998,642.6
600,1.393182,0.00001997,700.6
650,1.383520,0.00001995,759.0
700,1.381784,0.00001993,817.1
750,1.377467,0.00001991,875.3
800,1.378709,0.00001988,933.7
850,1.376119,0.00001984,991.7
900,1.376272,0.00001981,1050.1
950,1.373807,0.00001977,1108.2
1000,1.372667,0.00001972,1166.3
1050,1.372382,0.00001968,1235.9
1100,1.373325,0.00001963,1294.1
1150,1.371906,0.00001957,1352.5
1200,1.372190,0.00001951,1410.6
1250,1.371651,0.00001945,1468.7
1300,1.372157,0.00001938,1527.0
1350,1.371880,0.00001931,1585.2
1400,1.371952,0.00001924,1643.7
1450,1.374085,0.00001917,1701.7
1500,1.371388,0.00001909,1759.7
1550,1.371660,0.00001900,1819.0
1600,1.371164,0.00001892,1877.2
1650,1.371213,0.00001883,1935.6
1700,1.370999,0.00001873,1993.6
1750,1.372694,0.00001863,2051.7
1800,1.371457,0.00001853,2110.1
1850,1.371045,0.00001843,2168.2
1900,1.373095,0.00001832,2226.4
1950,1.371437,0.00001821,2284.5
2000,1.370867,0.00001810,2342.5
2050,1.371479,0.00001799,2411.6
2100,1.371489,0.00001787,2469.7
2150,1.371517,0.00001775,2528.1
2200,1.370876,0.00001762,2586.1
2250,1.371457,0.00001749,2644.3
2300,1.371094,0.00001736,2702.7
2350,1.370979,0.00001723,2760.8
2400,1.370657,0.00001710,2819.2
2450,1.371516,0.00001696,2877.2
2500,1.371218,0.00001682,2935.4
2550,1.370995,0.00001667,2994.8
2600,1.371646,0.00001653,3052.8
2650,1.370597,0.00001638,3111.2
2700,1.370716,0.00001623,3169.3
2750,1.370927,0.00001608,3227.4
2800,1.371366,0.00001592,3285.9
2850,1.370932,0.00001577,3343.9
2900,1.370715,0.00001561,3402.4
2950,1.370823,0.00001545,3460.6
3000,1.370724,0.00001528,3518.6
3050,1.371495,0.00001512,3587.9
3100,1.371338,0.00001495,3646.0
3150,1.370751,0.00001478,3704.5
3200,1.371092,0.00001462,3762.5
3250,1.371649,0.00001444,3820.5
3300,1.373465,0.00001427,3878.9
3350,1.371038,0.00001410,3937.1
3400,1.370339,0.00001392,3995.3
3450,1.370915,0.00001375,4053.3
3500,1.371029,0.00001357,4111.4
3550,1.370954,0.00001339,4170.8
3600,1.370549,0.00001321,4228.8
3650,1.371061,0.00001303,4287.1
3700,1.370944,0.00001285,4345.1
3750,1.371158,0.00001266,4403.1
3800,1.370750,0.00001248,4461.5
3850,1.370857,0.00001230,4519.5
3900,1.370877,0.00001211,4577.9
3950,1.371067,0.00001193,4636.0
4000,1.370833,0.00001174,4694.2
4050,1.371106,0.00001156,4763.2
4100,1.371480,0.00001137,4821.3
4150,1.371520,0.00001119,4879.7
4200,1.370948,0.00001100,4937.8
4250,1.370823,0.00001081,4995.8
4300,1.370900,0.00001063,5054.0
4350,1.372371,0.00001044,5112.2
4400,1.370753,0.00001026,5170.5
4450,1.370777,0.00001007,5228.5
4500,1.370615,0.00000989,5286.5
4550,1.370886,0.00000970,5346.0
4600,1.370912,0.00000952,5404.0
4650,1.371014,0.00000934,5462.6
4700,1.370816,0.00000915,5520.6
4750,1.370765,0.00000897,5578.5
4800,1.371023,0.00000879,5636.9
4850,1.371049,0.00000861,5695.1
4900,1.370751,0.00000843,5753.7
4950,1.370747,0.00000825,5811.7
5000,1.372698,0.00000808,5869.8
5050,1.370857,0.00000790,5938.8
5100,1.370697,0.00000773,5996.9
5150,1.372169,0.00000756,6055.2
5200,1.370835,0.00000738,6113.3
5250,1.371001,0.00000722,6171.4
5300,1.370793,0.00000705,6229.8
5350,1.370880,0.00000688,6287.9
5400,1.370940,0.00000672,6346.4
5450,1.370555,0.00000655,6404.3
5500,1.370761,0.00000639,6462.4
5550,1.370915,0.00000623,6521.8
5600,1.370902,0.00000608,6579.8
5650,1.370651,0.00000592,6638.1
5700,1.371021,0.00000577,6696.2
5750,1.370771,0.00000562,6754.3
5800,1.370761,0.00000547,6812.6
5850,1.370783,0.00000533,6870.6
5900,1.370757,0.00000518,6928.9
5950,1.370825,0.00000504,6987.0
6000,1.370790,0.00000490,7045.1
6050,1.370689,0.00000477,7114.4
6100,1.370870,0.00000464,7172.5
6150,1.370686,0.00000451,7230.8
6200,1.370725,0.00000438,7288.9
6250,1.370877,0.00000425,7347.0
6300,1.370795,0.00000413,7405.3
6350,1.370764,0.00000401,7463.4
6400,1.370714,0.00000390,7521.8
6450,1.370802,0.00000379,7579.7
6500,1.370537,0.00000368,7637.7
6550,1.370718,0.00000357,7697.1
6600,1.370726,0.00000347,7755.1
6650,1.371016,0.00000337,7813.4
6700,1.370816,0.00000327,7871.5
6750,1.371003,0.00000317,7929.5
6800,1.370760,0.00000308,7987.8
6850,1.370876,0.00000300,8046.0
6900,1.370788,0.00000291,8104.3
6950,1.370727,0.00000283,8162.3
7000,1.372773,0.00000276,8220.4
7050,1.370784,0.00000269,8289.6
7100,1.370751,0.00000262,8347.6
7150,1.370750,0.00000255,8405.4
7200,1.370802,0.00000249,8463.8
7250,1.370783,0.00000243,8521.9
7300,1.370841,0.00000237,8580.3
7350,1.370918,0.00000232,8638.4
7400,1.370710,0.00000228,8696.5
7450,1.370752,0.00000223,8754.8
7500,1.370578,0.00000219,8813.0
7550,1.370734,0.00000216,8872.4
7600,1.370681,0.00000212,8930.4
7650,1.370847,0.00000209,8988.4
7700,1.370955,0.00000207,9046.9
7750,1.370924,0.00000205,9104.9
7800,1.370912,0.00000203,9163.2
7850,1.371475,0.00000202,9221.2
7900,1.370762,0.00000201,9279.2
7950,1.370884,0.00000200,9337.6
8000,1.370914,0.00000200,9395.7
