step,loss,lr,elapsed_sec
50,6.891169,0.00000250,59.1
100,4.739051,0.00000500,117.4
150,2.514772,0.00000750,175.6
200,1.712122,0.00001000,233.9
250,1.548257,0.00001250,292.1
300,1.481388,0.00001500,350.3
350,1.457863,0.00001750,408.7
400,1.443388,0.00002000,466.8
450,1.428314,0.00002000,524.5
500,1.401835,0.00001999,582.8
550,1.386833,0.00001998,642.4
600,1.383919,0.00001997,700.6
650,1.382685,0.00001995,758.7
700,1.377871,0.00001993,816.8
750,1.376611,0.00001991,875.1
800,1.374554,0.00001988,933.3
850,1.376883,0.00001984,991.1
900,1.374845,0.00001981,1049.2
950,1.373764,0.00001977,1107.4
1000,1.372556,0.00001972,1165.7
1050,1.372359,0.00001968,1235.3
1100,1.373212,0.00001963,1293.5
1150,1.373476,0.00001957,1351.6
1200,1.373590,0.00001951,1409.9
1250,1.372609,0.00001945,1467.6
1300,1.373490,0.00001938,1525.7
1350,1.373614,0.00001931,1583.9
1400,1.374577,0.00001924,1642.1
1450,1.372709,0.00001917,1700.3
1500,1.372604,0.00001909,1758.4
1550,1.373286,0.00001900,1817.9
1600,1.374490,0.00001892,1876.1
1650,1.373289,0.00001883,1933.9
1700,1.372240,0.00001873,1992.0
1750,1.374120,0.00001863,2050.0
1800,1.372811,0.00001853,2108.1
1850,1.374359,0.00001843,2166.4
1900,1.372899,0.00001832,2224.5
1950,1.372855,0.00001821,2282.8
2000,1.372459,0.00001810,2340.9
2050,1.372978,0.00001799,2410.8
2100,1.373133,0.00001787,2469.0
2150,1.373727,0.00001775,2527.2
2200,1.372435,0.00001762,2585.3
2250,1.373147,0.00001749,2643.5
2300,1.374511,0.00001736,2701.7
2350,1.372834,0.00001723,2759.9
2400,1.372264,0.00001710,2818.0
2450,1.372269,0.00001696,2875.8
2500,1.372622,0.00001682,2933.9
2550,1.373285,0.00001667,2993.4
2600,1.372407,0.00001653,3051.5
2650,1.372795,0.00001638,3109.6
2700,1.372679,0.00001623,3167.9
2750,1.373240,0.00001608,3226.0
2800,1.372569,0.00001592,3284.1
2850,1.372806,0.00001577,3341.9
2900,1.372426,0.00001561,3400.0
2950,1.371988,0.00001545,3458.2
3000,1.373408,0.00001528,3516.4
3050,1.372796,0.00001512,3585.9
3100,1.372499,0.00001495,3644.0
3150,1.372806,0.00001478,3702.3
3200,1.371980,0.00001462,3760.4
3250,1.372611,0.00001444,3818.5
3300,1.375091,0.00001427,3876.3
3350,1.374445,0.00001410,3934.4
3400,1.373130,0.00001392,3992.5
3450,1.372904,0.00001375,4050.8
3500,1.372531,0.00001357,4109.0
3550,1.371682,0.00001339,4168.5
3600,1.373212,0.00001321,4226.8
3650,1.372469,0.00001303,4284.9
3700,1.372290,0.00001285,4342.7
3750,1.372045,0.00001266,4401.0
3800,1.373479,0.00001248,4459.2
3850,1.372380,0.00001230,4517.6
3900,1.372911,0.00001211,4575.8
3950,1.372755,0.00001193,4633.8
4000,1.372177,0.00001174,4692.0
4050,1.372609,0.00001156,4762.6
4100,1.373101,0.00001137,4820.4
4150,1.374126,0.00001119,4878.7
4200,1.372300,0.00001100,4936.9
4250,1.372159,0.00001081,4995.3
4300,1.373303,0.00001063,5053.6
4350,1.372936,0.00001044,5111.8
4400,1.372467,0.00001026,5170.0
4450,1.372495,0.00001007,5228.1
4500,1.372680,0.00000989,5286.0
4550,1.371996,0.00000970,5345.7
4600,1.372496,0.00000952,5403.9
4650,1.372595,0.00000934,5462.0
4700,1.372895,0.00000915,5520.2
4750,1.372245,0.00000897,5578.4
4800,1.372519,0.00000879,5636.6
4850,1.373025,0.00000861,5694.7
4900,1.372576,0.00000843,5752.4
4950,1.375578,0.00000825,5810.6
5000,1.372757,0.00000808,5868.7
5050,1.372617,0.00000790,5938.0
5100,1.373070,0.00000773,5996.3
5150,1.372631,0.00000756,6054.6
5200,1.375849,0.00000738,6112.7
5250,1.372018,0.00000722,6170.8
5300,1.372194,0.00000705,6228.5
5350,1.372794,0.00000688,6286.7
5400,1.372591,0.00000672,6344.9
5450,1.372249,0.00000655,6403.0
5500,1.371970,0.00000639,6461.1
5550,1.372497,0.00000623,6520.7
5600,1.372421,0.00000608,6579.0
5650,1.372644,0.00000592,6637.2
5700,1.372989,0.00000577,6694.8
5750,1.372218,0.00000562,6752.9
5800,1.372678,0.00000547,6811.2
5850,1.372358,0.00000533,6869.4
5900,1.371828,0.00000518,6927.6
5950,1.372677,0.00000504,6985.8
6000,1.373054,0.00000490,7043.9
6050,1.371923,0.00000477,7114.9
6100,1.372998,0.00000464,7173.1
6150,1.372291,0.00000451,7230.8
6200,1.372369,0.00000438,7288.9
6250,1.372218,0.00000425,7347.1
6300,1.372649,0.00000413,7405.3
6350,1.372654,0.00000401,7463.4
