step,loss,lr,elapsed_sec
50,2.577205,0.00001333,68.4
100,1.447196,0.00001999,135.3
150,1.407009,0.00001988,202.1
200,1.386589,0.00001966,268.7
250,1.386269,0.00001934,336.0
300,1.380478,0.00001892,402.7
350,1.379737,0.00001840,469.6
400,1.377036,0.00001779,536.7
450,1.375633,0.00001710,603.7
500,1.376020,0.00001633,671.1
550,1.372920,0.00001550,738.9
600,1.374524,0.00001462,806.0
650,1.376550,0.00001369,872.7
700,1.375679,0.00001273,939.8
750,1.374183,0.00001174,1006.5
800,1.373957,0.00001075,1073.3
850,1.373013,0.00000976,1140.2
900,1.374883,0.00000879,1207.0
950,1.373307,0.00000784,1274.7
1000,1.370428,0.00000694,1341.8
1050,1.372359,0.00000608,1419.6
1100,1.373972,0.00000528,1486.5
1150,1.370907,0.00000455,1554.0
1200,1.371936,0.00000390,1621.0
1250,1.372203,0.00000333,1687.8
1300,1.373173,0.00000286,1754.5
1350,1.373505,0.00000249,1821.4
1400,1.372648,0.00000222,1888.6
1450,1.373270,0.00000205,1955.3
1500,1.372195,0.00000200,2022.4
