step,loss,lr,elapsed_sec
50,1.881255,0.00001333,59.5
100,1.452717,0.00001999,117.9
150,1.412640,0.00001988,176.2
200,1.418682,0.00001966,234.4
250,1.409471,0.00001934,292.7
300,1.394844,0.00001892,351.5
350,1.385507,0.00001840,409.7
400,1.379254,0.00001779,468.0
450,1.377730,0.00001710,526.2
500,1.374414,0.00001633,584.5
550,1.373413,0.00001550,643.8
600,1.371771,0.00001462,702.6
650,1.370819,0.00001369,760.8
700,1.370595,0.00001273,819.0
750,1.370354,0.00001174,877.4
800,1.370437,0.00001075,935.7
850,1.371525,0.00000976,993.9
900,1.370231,0.00000879,1052.5
950,1.370069,0.00000784,1110.8
1000,1.369988,0.00000694,1169.0
1050,1.370526,0.00000608,1238.4
1100,1.370224,0.00000528,1296.6
1150,1.371566,0.00000455,1355.0
1200,1.369959,0.00000390,1413.6
1250,1.370228,0.00000333,1471.9
1300,1.370169,0.00000286,1530.1
1350,1.370141,0.00000249,1588.4
1400,1.370304,0.00000222,1646.6
1450,1.370526,0.00000205,1706.0
1500,1.370717,0.00000200,1766.0
