step,loss,lr,elapsed_sec
50,1.822021,0.00001333,59.6
100,1.504876,0.00001999,118.0
150,1.441619,0.00001988,176.4
200,1.424150,0.00001966,234.5
250,1.405046,0.00001934,292.7
300,1.397879,0.00001892,351.2
350,1.385844,0.00001840,409.3
400,1.381605,0.00001779,467.8
450,1.376297,0.00001710,525.8
500,1.372635,0.00001633,584.2
550,1.371678,0.00001550,643.7
600,1.370325,0.00001462,701.8
650,1.369518,0.00001369,760.3
700,1.369414,0.00001273,818.4
750,1.369411,0.00001174,876.6
800,1.368996,0.00001075,935.1
850,1.370806,0.00000976,993.3
900,1.368922,0.00000879,1051.6
950,1.369085,0.00000784,1109.9
1000,1.368960,0.00000694,1168.0
1050,1.368944,0.00000608,1238.8
1100,1.368958,0.00000528,1297.0
1150,1.368973,0.00000455,1355.4
1200,1.368837,0.00000390,1413.5
1250,1.368929,0.00000333,1471.7
1300,1.368828,0.00000286,1530.1
1350,1.369053,0.00000249,1588.2
1400,1.368913,0.00000222,1646.9
1450,1.368959,0.00000205,1705.0
1500,1.368959,0.00000200,1763.0
