step,loss,lr,elapsed_sec
50,1.898806,0.00001333,59.9
100,1.499960,0.00001999,118.8
150,1.447428,0.00001988,177.4
200,1.414281,0.00001966,236.1
250,1.400448,0.00001934,294.3
300,1.391211,0.00001892,353.3
350,1.384781,0.00001840,412.2
400,1.375962,0.00001779,470.8
450,1.373020,0.00001710,529.0
500,1.371386,0.00001633,587.8
550,1.369871,0.00001550,647.4
600,1.369152,0.00001462,706.1
650,1.369174,0.00001369,764.2
700,1.369005,0.00001273,822.9
750,1.368845,0.00001174,881.6
800,1.368837,0.00001075,940.3
850,1.368255,0.00000976,998.6
900,1.368689,0.00000879,1057.2
950,1.369118,0.00000784,1116.0
1000,1.368695,0.00000694,1174.6
1050,1.368546,0.00000608,1244.5
1100,1.368757,0.00000528,1303.3
1150,1.368713,0.00000455,1362.0
1200,1.368843,0.00000390,1420.7
1250,1.368759,0.00000333,1479.0
1300,1.368770,0.00000286,1537.5
1350,1.368720,0.00000249,1596.3
1400,1.369854,0.00000222,1654.9
1450,1.368740,0.00000205,1713.1
1500,1.368679,0.00000200,1771.7
