step,loss,lr,elapsed_sec
50,4.791869,0.00000250,69.3
100,1.779241,0.00000500,138.3
150,1.381304,0.00000750,207.2
200,1.364883,0.00001000,276.0
250,1.363674,0.00001250,345.0
300,1.366653,0.00001500,413.8
350,1.369959,0.00001750,482.7
400,1.368431,0.00002000,551.7
450,1.369747,0.00002000,620.5
500,1.364364,0.00002000,689.6
550,1.363489,0.00001999,759.3
600,1.363041,0.00001998,828.3
650,1.362871,0.00001997,897.2
700,1.362993,0.00001996,966.1
750,1.362986,0.00001994,1035.0
800,1.364678,0.00001992,1104.0
850,1.362967,0.00001990,1172.9
900,1.366701,0.00001988,1241.9
950,1.362832,0.00001985,1310.7
1000,1.363041,0.00001983,1379.6
1050,1.362714,0.00001980,1466.0
1100,1.362752,0.00001976,1535.0
1150,1.362900,0.00001973,1604.2
1200,1.362721,0.00001969,1673.2
1250,1.362916,0.00001965,1742.2
1300,1.362669,0.00001961,1811.2
1350,1.362648,0.00001957,1880.2
1400,1.362543,0.00001952,1949.2
1450,1.362630,0.00001947,2018.2
1500,1.362475,0.00001942,2087.2
1550,1.362641,0.00001937,2157.0
1600,1.362718,0.00001931,2225.9
1650,1.362714,0.00001926,2295.0
1700,1.362627,0.00001920,2363.8
1750,1.362367,0.00001914,2432.8
1800,1.362720,0.00001907,2501.7
1850,1.362450,0.00001901,2570.6
1900,1.362764,0.00001894,2639.7
1950,1.362694,0.00001887,2708.9
2000,1.362865,0.00001879,2778.0
2050,1.362695,0.00001872,2866.1
2100,1.362590,0.00001864,2935.1
2150,1.362789,0.00001856,3004.2
2200,1.362758,0.00001848,3073.3
2250,1.362639,0.00001840,3142.5
2300,1.362600,0.00001832,3211.5
2350,1.362888,0.00001823,3280.6
2400,1.362523,0.00001814,3349.6
2450,1.362777,0.00001805,3418.7
2500,1.362506,0.00001796,3487.7
2550,1.362378,0.00001786,3557.5
2600,1.362429,0.00001777,3626.6
2650,1.362569,0.00001767,3695.6
2700,1.362671,0.00001757,3764.7
2750,1.362480,0.00001747,3833.8
2800,1.362651,0.00001736,3902.9
2850,1.362611,0.00001726,3971.9
2900,1.362411,0.00001715,4041.0
2950,1.362367,0.00001704,4110.2
3000,1.362408,0.00001693,4179.4
3050,1.362431,0.00001682,4267.4
3100,1.362573,0.00001671,4336.4
3150,1.362205,0.00001659,4405.5
3200,1.362223,0.00001648,4474.6
3250,1.362150,0.00001636,4543.7
3300,1.362201,0.00001624,4612.6
3350,1.362282,0.00001612,4681.6
3400,1.362539,0.00001600,4750.5
3450,1.362452,0.00001588,4819.5
3500,1.362654,0.00001575,4888.6
3550,1.362478,0.00001563,4958.6
3600,1.362579,0.00001550,5027.7
3650,1.362653,0.00001537,5096.7
3700,1.362997,0.00001524,5165.7
3750,1.362692,0.00001511,5234.8
3800,1.362635,0.00001498,5303.9
3850,1.362821,0.00001485,5373.0
3900,1.362665,0.00001471,5442.1
3950,1.362876,0.00001458,5511.1
4000,1.362494,0.00001444,5580.1
