step,loss,lr,elapsed_sec
50,2.778689,0.00000250,215.3
100,2.367471,0.00000500,430.5
150,2.027734,0.00000750,645.9
200,2.234665,0.00001000,861.2
250,2.093348,0.00001250,1076.5
300,1.827648,0.00001500,1291.8
350,1.756578,0.00001750,1507.1
400,1.827146,0.00002000,1722.4
450,1.589807,0.00002000,1937.8
500,1.638244,0.00001999,2153.0
550,1.679403,0.00001998,2371.3
600,1.551890,0.00001997,2586.7
650,1.521536,0.00001995,2802.0
700,1.480816,0.00001993,3017.3
750,1.443189,0.00001991,3232.7
800,1.450220,0.00001988,3448.0
850,1.462850,0.00001984,3663.3
900,1.438558,0.00001981,3878.7
950,1.432092,0.00001977,4093.9
1000,1.428083,0.00001972,4309.1
1050,1.448158,0.00001968,4540.9
1100,1.426799,0.00001963,4756.2
1150,1.416376,0.00001957,4971.6
1200,1.420309,0.00001951,5187.0
1250,1.414048,0.00001945,5402.2
1300,1.405847,0.00001938,5618.0
1350,1.410771,0.00001931,5833.5
1400,1.398022,0.00001924,6048.9
1450,1.401455,0.00001917,6264.5
1500,1.412318,0.00001909,6480.0
1550,1.410111,0.00001900,6698.6
1600,1.401956,0.00001892,6914.4
1650,1.408277,0.00001883,7129.8
1700,1.414386,0.00001873,7345.3
1750,1.397299,0.00001863,7561.1
1800,1.400267,0.00001853,7776.7
1850,1.396398,0.00001843,7992.1
1900,1.399997,0.00001832,8207.8
1950,1.394089,0.00001821,8423.1
2000,1.392903,0.00001810,8638.5
2050,1.402579,0.00001799,8870.8
2100,1.390873,0.00001787,9086.1
2150,1.390643,0.00001775,9301.8
2200,1.389994,0.00001762,9517.1
2250,1.395273,0.00001749,9732.5
2300,1.393658,0.00001736,9948.1
2350,1.383022,0.00001723,10163.6
2400,1.387981,0.00001710,10378.9
2450,1.388962,0.00001696,10594.6
2500,1.392939,0.00001682,10810.0
2550,1.393143,0.00001667,11028.5
2600,1.389120,0.00001653,11244.2
2650,1.389042,0.00001638,11459.6
2700,1.387739,0.00001623,11675.0
2750,1.380463,0.00001608,11890.7
2800,1.383083,0.00001592,12106.1
2850,1.386544,0.00001577,12321.5
2900,1.382512,0.00001561,12537.2
2950,1.383150,0.00001545,12752.6
3000,1.385789,0.00001528,12968.0
3050,1.384799,0.00001512,13200.7
3100,1.382428,0.00001495,13416.1
3150,1.379824,0.00001478,13631.8
3200,1.383979,0.00001462,13847.2
3250,1.385952,0.00001444,14062.7
3300,1.382641,0.00001427,14278.4
