step,loss,lr,elapsed_sec
50,1.724431,0.00001333,59.8
100,1.471832,0.00001999,118.3
150,1.442309,0.00001988,176.6
200,1.417610,0.00001966,235.4
250,1.406488,0.00001934,293.8
300,1.389113,0.00001892,352.2
350,1.381057,0.00001840,410.9
400,1.375988,0.00001779,469.4
450,1.370983,0.00001710,527.8
500,1.369586,0.00001633,586.7
550,1.368138,0.00001550,645.8
600,1.367720,0.00001462,704.2
650,1.367226,0.00001369,762.9
700,1.367139,0.00001273,821.4
750,1.366906,0.00001174,879.8
800,1.367071,0.00001075,938.4
850,1.366992,0.00000976,996.7
900,1.366891,0.00000879,1055.0
950,1.366901,0.00000784,1113.6
1000,1.366976,0.00000694,1171.9
1050,1.368478,0.00000608,1240.9
1100,1.366849,0.00000528,1299.5
1150,1.366820,0.00000455,1358.0
1200,1.366929,0.00000390,1416.5
1250,1.366848,0.00000333,1475.0
1300,1.366841,0.00000286,1533.3
1350,1.366815,0.00000249,1591.8
1400,1.366912,0.00000222,1650.5
1450,1.366881,0.00000205,1708.8
1500,1.366766,0.00000200,1767.2
