step,loss,lr,elapsed_sec
50,1.738840,0.00001333,59.6
100,1.434524,0.00001999,118.4
150,1.404776,0.00001988,177.3
200,1.395254,0.00001966,236.1
250,1.388015,0.00001934,294.4
300,1.382172,0.00001892,353.2
350,1.376185,0.00001840,411.9
400,1.373736,0.00001779,470.6
450,1.372978,0.00001710,528.8
500,1.368446,0.00001633,587.6
550,1.368165,0.00001550,647.3
600,1.368023,0.00001462,706.0
650,1.368298,0.00001369,764.1
700,1.367106,0.00001273,822.8
750,1.367353,0.00001174,881.7
800,1.366893,0.00001075,940.3
850,1.367463,0.00000976,998.6
900,1.367381,0.00000879,1057.2
950,1.367358,0.00000784,1116.1
1000,1.367332,0.00000694,1175.0
1050,1.367400,0.00000608,1245.6
1100,1.367345,0.00000528,1304.4
1150,1.367297,0.00000455,1363.3
1200,1.367311,0.00000390,1422.0
1250,1.367363,0.00000333,1480.2
1300,1.367271,0.00000286,1539.0
1350,1.367158,0.00000249,1597.9
1400,1.367381,0.00000222,1656.6
1450,1.367242,0.00000205,1714.7
1500,1.367158,0.00000200,1773.4
