step,loss,lr,elapsed_sec
50,1.830614,0.00001333,59.6
100,1.477539,0.00001999,118.4
150,1.424356,0.00001988,177.2
200,1.428978,0.00001966,235.8
250,1.408881,0.00001934,294.0
300,1.388253,0.00001892,352.7
350,1.383021,0.00001840,411.3
400,1.378232,0.00001779,469.9
450,1.372431,0.00001710,528.2
500,1.371559,0.00001633,586.8
550,1.370699,0.00001550,646.3
600,1.370288,0.00001462,704.8
650,1.370685,0.00001369,763.1
700,1.369277,0.00001273,821.7
750,1.369327,0.00001174,880.4
800,1.369321,0.00001075,938.9
850,1.369534,0.00000976,997.2
900,1.369061,0.00000879,1055.8
950,1.369147,0.00000784,1114.5
1000,1.368951,0.00000694,1173.1
1050,1.368991,0.00000608,1243.0
1100,1.368962,0.00000528,1301.8
1150,1.369752,0.00000455,1360.5
1200,1.369127,0.00000390,1419.3
1250,1.368911,0.00000333,1477.4
1300,1.368927,0.00000286,1536.2
1350,1.368956,0.00000249,1594.9
1400,1.368892,0.00000222,1653.6
1450,1.369038,0.00000205,1711.8
1500,1.369015,0.00000200,1770.5
