step,loss,lr,elapsed_sec
50,6.056044,0.00000250,65.2
100,3.438304,0.00000500,129.3
150,1.667226,0.00000750,193.3
200,1.427432,0.00001000,257.4
250,1.397360,0.00001250,321.0
300,1.393321,0.00001500,385.0
350,1.388973,0.00001750,449.0
400,1.389764,0.00002000,513.2
450,1.376892,0.00002000,577.2
500,1.371261,0.00002000,640.9
550,1.370365,0.00001999,706.5
600,1.365583,0.00001998,770.8
650,1.366490,0.00001997,835.0
700,1.365130,0.00001996,898.6
750,1.364233,0.00001994,962.6
800,1.364033,0.00001992,1026.5
850,1.363597,0.00001990,1090.6
900,1.363120,0.00001988,1154.5
950,1.363098,0.00001985,1218.1
1000,1.362886,0.00001983,1282.2
1050,1.362867,0.00001980,1360.5
1100,1.362849,0.00001976,1424.4
1150,1.362885,0.00001973,1488.1
1200,1.362813,0.00001969,1552.0
1250,1.362877,0.00001965,1616.0
1300,1.362726,0.00001961,1680.2
1350,1.362798,0.00001957,1744.2
1400,1.362752,0.00001952,1808.0
1450,1.362731,0.00001947,1872.1
1500,1.362725,0.00001942,1936.3
1550,1.362822,0.00001937,2001.8
1600,1.362648,0.00001931,2065.6
1650,1.362797,0.00001926,2129.5
1700,1.362743,0.00001920,2195.9
1750,1.362780,0.00001914,2261.3
1800,1.362795,0.00001907,2325.2
1850,1.362782,0.00001901,2389.0
1900,1.362742,0.00001894,2452.9
1950,1.362702,0.00001887,2516.9
2000,1.362696,0.00001879,2581.0
2050,1.362764,0.00001872,2660.1
2100,1.362670,0.00001864,2724.0
2150,1.362647,0.00001856,2787.9
2200,1.362679,0.00001848,2852.1
2250,1.362621,0.00001840,2916.1
2300,1.362709,0.00001832,2979.9
2350,1.362640,0.00001823,3043.8
2400,1.362672,0.00001814,3107.9
2450,1.362634,0.00001805,3171.8
2500,1.362673,0.00001796,3235.5
2550,1.362615,0.00001786,3301.3
2600,1.362708,0.00001777,3365.3
2650,1.362590,0.00001767,3429.4
2700,1.362672,0.00001757,3493.3
2750,1.362659,0.00001747,3556.9
2800,1.362718,0.00001736,3620.9
2850,1.362678,0.00001726,3684.9
2900,1.362704,0.00001715,3749.0
2950,1.362679,0.00001704,3816.3
3000,1.362647,0.00001693,3880.7
3050,1.362702,0.00001682,3961.0
3100,1.362642,0.00001671,4028.5
3150,1.362602,0.00001659,4092.7
3200,1.362663,0.00001648,4156.2
3250,1.362698,0.00001636,4221.1
3300,1.362699,0.00001624,4285.3
3350,1.362650,0.00001612,4349.2
3400,1.362634,0.00001600,4413.3
3450,1.362632,0.00001588,4476.8
3500,1.362728,0.00001575,4540.9
3550,1.362544,0.00001563,4606.5
3600,1.362623,0.00001550,4670.6
3650,1.362597,0.00001537,4734.2
3700,1.362634,0.00001524,4798.2
3750,1.362590,0.00001511,4862.3
3800,1.362622,0.00001498,4926.2
3850,1.362679,0.00001485,4990.3
3900,1.362574,0.00001471,5053.8
3950,1.362645,0.00001458,5118.1
4000,1.362632,0.00001444,5182.2
4050,1.362577,0.00001431,5262.1
4100,1.362545,0.00001417,5325.6
4150,1.362702,0.00001403,5389.5
4200,1.362613,0.00001389,5453.8
4250,1.362595,0.00001375,5517.8
4300,1.362579,0.00001361,5581.9
4350,1.362593,0.00001347,5645.5
4400,1.362572,0.00001333,5709.7
4450,1.362587,0.00001319,5773.8
4500,1.362647,0.00001304,5837.9
4550,1.362649,0.00001290,5903.2
4600,1.362712,0.00001276,5967.2
4650,1.362619,0.00001261,6031.3
4700,1.362580,0.00001247,6095.3
4750,1.362605,0.00001232,6159.6
4800,1.362577,0.00001217,6223.1
4850,1.362624,0.00001203,6287.4
4900,1.362563,0.00001188,6351.6
4950,1.362601,0.00001174,6415.7
5000,1.362669,0.00001159,6479.3
5050,1.362566,0.00001144,6556.4
5100,1.362599,0.00001129,6620.4
5150,1.362611,0.00001115,6684.4
5200,1.362588,0.00001100,6748.6
5250,1.362605,0.00001085,6812.2
5300,1.362534,0.00001071,6876.3
5350,1.362556,0.00001056,6940.4
5400,1.362630,0.00001041,7005.4
5450,1.362628,0.00001026,7069.8
5500,1.362595,0.00001012,7133.9
5550,1.362623,0.00000997,7199.5
5600,1.362627,0.00000983,7263.6
5650,1.362630,0.00000968,7327.6
5700,1.362639,0.00000953,7391.2
5750,1.362640,0.00000939,7455.3
5800,1.362597,0.00000924,7519.3
5850,1.362666,0.00000910,7583.5
5900,1.362515,0.00000896,7647.5
5950,1.362633,0.00000881,7711.2
6000,1.362600,0.00000867,7775.1
6050,1.362678,0.00000853,7854.3
6100,1.362520,0.00000839,7918.4
6150,1.362572,0.00000825,7982.2
6200,1.362590,0.00000811,8047.1
6250,1.362476,0.00000797,8111.9
6300,1.362592,0.00000783,8176.0
6350,1.362634,0.00000769,8239.9
6400,1.362599,0.00000756,8303.5
6450,1.362619,0.00000742,8367.4
6500,1.362604,0.00000729,8431.6
6550,1.362586,0.00000715,8497.3
6600,1.362583,0.00000702,8560.8
6650,1.362598,0.00000689,8624.8
6700,1.362663,0.00000676,8688.7
6750,1.362508,0.00000663,8752.8
6800,1.362613,0.00000650,8816.9
6850,1.362568,0.00000637,8888.2
6900,1.362610,0.00000625,8953.4
6950,1.362556,0.00000612,9017.6
7000,1.362620,0.00000600,9081.6
7050,1.362621,0.00000588,9160.8
7100,1.362580,0.00000576,9225.4
7150,1.362596,0.00000564,9289.6
7200,1.362535,0.00000552,9354.3
7250,1.362628,0.00000541,9418.3
7300,1.362604,0.00000529,9482.7
7350,1.362578,0.00000518,9546.7
7400,1.362569,0.00000507,9610.9
7450,1.362644,0.00000496,9679.8
7500,1.362663,0.00000485,9745.9
50,6.818371,0.00000250,59.1
100,4.714462,0.00000500,117.5
150,2.606413,0.00000750,175.6
200,1.623908,0.00001000,233.8
250,1.449797,0.00001250,291.5
300,1.438975,0.00001500,349.7
350,1.404191,0.00001750,407.8
400,1.410153,0.00002000,465.9
450,1.398561,0.00002000,524.0
500,1.384412,0.00002000,581.9
550,1.384209,0.00001999,641.5
600,1.379859,0.00001998,699.6
650,1.383146,0.00001997,757.7
700,1.378240,0.00001996,815.5
750,1.375895,0.00001994,873.7
800,1.376487,0.00001992,931.9
850,1.374097,0.00001990,990.0
900,1.373790,0.00001988,1048.1
950,1.371361,0.00001985,1106.7
1000,1.371253,0.00001983,1164.9
1050,1.371216,0.00001980,1239.4
1100,1.371132,0.00001976,1297.6
1150,1.371385,0.00001973,1355.3
1200,1.370717,0.00001969,1413.6
1250,1.370652,0.00001965,1471.7
1300,1.371017,0.00001961,1529.7
1350,1.372450,0.00001957,1587.7
1400,1.369783,0.00001952,1645.7
1450,1.369519,0.00001947,1703.7
1500,1.369532,0.00001942,1761.8
1550,1.370632,0.00001937,1821.4
1600,1.370756,0.00001931,1879.1
1650,1.370272,0.00001926,1937.4
1700,1.369289,0.00001920,1995.5
1750,1.369719,0.00001914,2053.5
1800,1.370775,0.00001907,2111.5
1850,1.369306,0.00001901,2169.5
1900,1.369335,0.00001894,2227.6
1950,1.369322,0.00001887,2285.7
2000,1.369312,0.00001879,2343.8
2050,1.370095,0.00001872,2415.8
2100,1.369577,0.00001864,2474.0
2150,1.369838,0.00001856,2532.1
2200,1.369736,0.00001848,2590.2
2250,1.370081,0.00001840,2648.5
2300,1.369148,0.00001832,2706.4
2350,1.370691,0.00001823,2764.5
2400,1.369501,0.00001814,2822.5
2450,1.370290,0.00001805,2880.6
2500,1.369600,0.00001796,2938.3
2550,1.369720,0.00001786,2998.1
2600,1.369503,0.00001777,3056.2
