step,loss,lr,elapsed_sec
50,6.658260,0.00000250,59.5
100,3.763529,0.00000500,117.8
150,1.751811,0.00000750,176.2
200,1.449877,0.00001000,234.2
250,1.394441,0.00001250,292.3
300,1.382381,0.00001500,350.7
350,1.375621,0.00001750,408.7
400,1.376610,0.00002000,467.1
450,1.373570,0.00002000,525.2
500,1.371292,0.00002000,583.3
550,1.369057,0.00001999,642.7
600,1.368610,0.00001998,700.9
650,1.369765,0.00001997,759.3
700,1.367912,0.00001996,817.6
750,1.368031,0.00001994,875.7
800,1.367777,0.00001992,934.1
850,1.367939,0.00001990,992.3
900,1.367820,0.00001988,1050.7
950,1.367732,0.00001985,1108.8
1000,1.368008,0.00001983,1167.0
1050,1.367813,0.00001980,1236.7
1100,1.369120,0.00001976,1294.9
1150,1.367665,0.00001973,1353.3
1200,1.367939,0.00001969,1411.5
1250,1.369133,0.00001965,1469.6
1300,1.367727,0.00001961,1528.2
1350,1.367885,0.00001957,1586.3
1400,1.368068,0.00001952,1644.8
1450,1.367830,0.00001947,1702.8
1500,1.367969,0.00001942,1760.9
1550,1.368874,0.00001937,1820.3
1600,1.367859,0.00001931,1878.5
1650,1.367650,0.00001926,1936.9
1700,1.367930,0.00001920,1994.9
1750,1.367256,0.00001914,2053.0
1800,1.368414,0.00001907,2111.6
1850,1.368076,0.00001901,2169.7
1900,1.367973,0.00001894,2228.0
1950,1.367810,0.00001887,2286.1
2000,1.368145,0.00001879,2344.3
2050,1.367707,0.00001872,2413.7
2100,1.367837,0.00001864,2471.9
2150,1.367681,0.00001856,2530.3
2200,1.368068,0.00001848,2588.4
2250,1.367616,0.00001840,2646.7
2300,1.367876,0.00001832,2705.1
2350,1.367622,0.00001823,2763.1
2400,1.367735,0.00001814,2821.6
2450,1.368202,0.00001805,2879.6
2500,1.368379,0.00001796,2937.8
2550,1.367617,0.00001786,2997.2
2600,1.367495,0.00001777,3055.2
2650,1.367959,0.00001767,3113.8
2700,1.367716,0.00001757,3172.0
2750,1.367651,0.00001747,3230.0
2800,1.367614,0.00001736,3288.4
2850,1.367602,0.00001726,3346.5
2900,1.367638,0.00001715,3405.0
2950,1.367480,0.00001704,3463.1
3000,1.367613,0.00001693,3521.2
3050,1.368544,0.00001682,3590.5
3100,1.367604,0.00001671,3648.6
3150,1.367652,0.00001659,3707.2
3200,1.367621,0.00001648,3765.3
3250,1.367332,0.00001636,3823.4
3300,1.367739,0.00001624,3881.7
3350,1.367587,0.00001612,3939.9
3400,1.368135,0.00001600,3998.3
3450,1.368532,0.00001588,4056.3
3500,1.367452,0.00001575,4114.4
3550,1.367483,0.00001563,4174.0
3600,1.367577,0.00001550,4232.0
3650,1.367451,0.00001537,4290.4
3700,1.367815,0.00001524,4348.6
3750,1.367552,0.00001511,4406.7
3800,1.367418,0.00001498,4465.2
3850,1.367546,0.00001485,4523.3
3900,1.368244,0.00001471,4581.5
3950,1.368849,0.00001458,4639.6
4000,1.367553,0.00001444,4697.9
4050,1.367454,0.00001431,4766.9
4100,1.367945,0.00001417,4825.0
4150,1.367822,0.00001403,4883.4
4200,1.367390,0.00001389,4941.6
4250,1.367189,0.00001375,4999.8
4300,1.367143,0.00001361,5058.3
4350,1.367537,0.00001347,5116.3
4400,1.367250,0.00001333,5174.8
4450,1.367291,0.00001319,5232.9
4500,1.367490,0.00001304,5290.9
4550,1.367028,0.00001290,5350.4
4600,1.367557,0.00001276,5408.5
4650,1.367571,0.00001261,5467.0
4700,1.367568,0.00001247,5525.2
4750,1.367176,0.00001232,5583.2
4800,1.367617,0.00001217,5641.7
4850,1.367590,0.00001203,5699.8
4900,1.368638,0.00001188,5758.2
4950,1.367526,0.00001174,5816.3
5000,1.367477,0.00001159,5874.4
5050,1.367515,0.00001144,5943.6
5100,1.367455,0.00001129,6001.8
5150,1.367494,0.00001115,6060.3
5200,1.367614,0.00001100,6118.4
5250,1.367416,0.00001085,6176.4
5300,1.367310,0.00001071,6234.9
5350,1.367378,0.00001056,6293.0
5400,1.367417,0.00001041,6351.3
5450,1.367378,0.00001026,6409.4
5500,1.367138,0.00001012,6467.4
5550,1.367339,0.00000997,6526.9
5600,1.367521,0.00000983,6584.9
5650,1.367553,0.00000968,6643.2
5700,1.367500,0.00000953,6701.2
5750,1.367520,0.00000939,6759.3
5800,1.367279,0.00000924,6817.8
5850,1.367387,0.00000910,6875.9
5900,1.367457,0.00000896,6934.3
5950,1.367339,0.00000881,6992.4
6000,1.367372,0.00000867,7050.5
6050,1.367603,0.00000853,7119.8
6100,1.367530,0.00000839,7177.8
6150,1.367450,0.00000825,7236.2
6200,1.367453,0.00000811,7294.3
6250,1.367812,0.00000797,7352.4
6300,1.367598,0.00000783,7410.7
6350,1.367445,0.00000769,7468.9
6400,1.367395,0.00000756,7527.4
6450,1.367573,0.00000742,7585.5
6500,1.367378,0.00000729,7643.5
6550,1.367568,0.00000715,7703.0
6600,1.367323,0.00000702,7761.0
6650,1.367383,0.00000689,7819.4
6700,1.367606,0.00000676,7877.4
6750,1.367394,0.00000663,7935.5
6800,1.367456,0.00000650,7993.8
6850,1.367291,0.00000637,8052.0
6900,1.367454,0.00000625,8110.3
6950,1.367375,0.00000612,8168.3
7000,1.367703,0.00000600,8226.5
7050,1.367291,0.00000588,8295.8
7100,1.367551,0.00000576,8353.9
7150,1.368508,0.00000564,8411.8
7200,1.367321,0.00000552,8470.3
7250,1.367472,0.00000541,8528.3
7300,1.367308,0.00000529,8586.7
7350,1.367297,0.00000518,8644.8
7400,1.367561,0.00000507,8702.9
7450,1.367349,0.00000496,8761.2
7500,1.367489,0.00000485,8819.4
7550,1.367478,0.00000474,8878.7
7600,1.367554,0.00000464,8936.7
7650,1.367458,0.00000453,8994.7
7700,1.367263,0.00000443,9053.2
7750,1.367487,0.00000433,9111.2
7800,1.368751,0.00000423,9169.6
