step,loss,lr,elapsed_sec
50,3.125603,0.00000250,77.1
100,1.863166,0.00000500,153.8
150,1.664347,0.00000750,230.4
200,1.746304,0.00001000,307.1
250,1.455065,0.00001250,383.8
300,1.376581,0.00001500,460.7
350,1.393164,0.00001750,537.5
400,1.547507,0.00002000,614.4
450,1.390298,0.00002000,691.2
500,1.406434,0.00002000,767.9
550,1.440252,0.00001999,845.4
600,1.438191,0.00001998,922.1
650,1.383440,0.00001997,998.8
700,1.375094,0.00001996,1075.5
750,1.386684,0.00001994,1152.1
800,1.363168,0.00001992,1228.8
850,1.409622,0.00001990,1305.4
900,1.371136,0.00001988,1382.1
950,1.401122,0.00001985,1458.9
1000,1.363073,0.00001983,1535.5
1050,1.376865,0.00001980,1624.8
1050,1.381444,0.00001980,65.6
1100,1.368114,0.00001976,130.2
1150,1.370956,0.00001973,194.4
1200,1.362865,0.00001969,258.9
1250,1.362887,0.00001965,323.7
1300,1.378453,0.00001961,387.6
1350,1.385965,0.00001957,452.2
1400,1.363878,0.00001952,516.6
1450,1.366516,0.00001947,581.1
1500,1.375026,0.00001942,645.9
1550,1.362865,0.00001937,711.0
1600,1.362823,0.00001931,775.6
1650,1.362861,0.00001926,839.5
1700,1.366297,0.00001920,904.1
1750,1.363558,0.00001914,968.6
1800,1.376635,0.00001907,1032.7
1850,1.366959,0.00001901,1097.1
1900,1.363166,0.00001894,1161.5
1950,1.362809,0.00001887,1225.6
2000,1.362715,0.00001879,1290.1
2050,1.363100,0.00001872,1367.2
2100,1.364364,0.00001864,1431.6
2150,1.363482,0.00001856,1496.3
2200,1.366595,0.00001848,1560.3
2250,1.366389,0.00001840,1625.0
2300,1.363558,0.00001832,1688.9
2350,1.362835,0.00001823,1753.3
2400,1.364430,0.00001814,1817.8
2450,1.365155,0.00001805,1881.7
2500,1.362711,0.00001796,1946.3
2550,1.367858,0.00001786,2011.4
2600,1.365083,0.00001777,2076.2
2650,1.368107,0.00001767,2140.6
2700,1.363282,0.00001757,2204.9
2750,1.362748,0.00001747,2269.4
2800,1.362803,0.00001736,2333.9
2850,1.362712,0.00001726,2397.9
2900,1.364428,0.00001715,2462.5
2950,1.367897,0.00001704,2526.6
3000,1.368754,0.00001693,2591.0
3050,1.365393,0.00001682,2668.1
3100,1.363811,0.00001671,2731.9
3150,1.364528,0.00001659,2796.5
3200,1.368646,0.00001648,2860.4
3250,1.363109,0.00001636,2925.0
3300,1.362698,0.00001624,2989.3
3350,1.364229,0.00001612,3053.2
3400,1.365737,0.00001600,3117.8
3450,1.365502,0.00001588,3182.3
3500,1.364490,0.00001575,3246.3
3550,1.370671,0.00001563,3312.0
3600,1.362634,0.00001550,3376.1
3650,1.365148,0.00001537,3440.5
3700,1.364714,0.00001524,3505.1
3750,1.363971,0.00001511,3569.2
3800,1.362701,0.00001498,3633.7
3850,1.362731,0.00001485,3697.9
3900,1.366682,0.00001471,3762.2
3950,1.366185,0.00001458,3826.9
4000,1.362939,0.00001444,3890.8
4050,1.363298,0.00001431,3967.8
4100,1.370094,0.00001417,4031.8
4150,1.363202,0.00001403,4096.4
4200,1.362683,0.00001389,4161.1
4250,1.364821,0.00001375,4225.0
4300,1.364650,0.00001361,4289.6
4350,1.363530,0.00001347,4354.0
4400,1.364099,0.00001333,4418.0
4450,1.366732,0.00001319,4482.4
4500,1.368359,0.00001304,4546.6
4550,1.362957,0.00001290,4612.0
4600,1.362733,0.00001276,4676.7
4650,1.362911,0.00001261,4740.7
4700,1.364378,0.00001247,4805.3
4750,1.362681,0.00001232,4869.3
4800,1.363566,0.00001217,4933.9
4850,1.363465,0.00001203,4998.5
4900,1.362766,0.00001188,5062.6
4950,1.365596,0.00001174,5127.1
5000,1.363158,0.00001159,5191.5
5050,1.364805,0.00001144,5269.0
5100,1.363271,0.00001129,5333.5
5150,1.362670,0.00001115,5397.7
5200,1.362684,0.00001100,5462.2
5250,1.362639,0.00001085,5526.7
5300,1.363020,0.00001071,5590.8
5350,1.364446,0.00001056,5655.3
5400,1.362655,0.00001041,5719.5
5450,1.364882,0.00001026,5783.8
5500,1.363520,0.00001012,5848.3
5550,1.362601,0.00000997,5913.2
5600,1.363173,0.00000983,5977.6
5650,1.364826,0.00000968,6041.7
5700,1.362661,0.00000953,6106.2
5750,1.363364,0.00000939,6170.8
5800,1.365014,0.00000924,6234.7
5850,1.363887,0.00000910,6299.2
5900,1.362660,0.00000896,6363.7
5950,1.363183,0.00000881,6427.7
6000,1.364140,0.00000867,6492.2
6050,1.362844,0.00000853,6569.4
6100,1.363241,0.00000839,6634.0
6150,1.362832,0.00000825,6698.5
6200,1.362743,0.00000811,6762.6
6250,1.363471,0.00000797,6826.9
6300,1.363540,0.00000783,6890.9
6350,1.365617,0.00000769,6955.4
6400,1.365194,0.00000756,7020.0
6450,1.364632,0.00000742,7083.9
6500,1.362664,0.00000729,7148.7
6550,1.364561,0.00000715,7214.2
6600,1.362905,0.00000702,7278.1
6650,1.363563,0.00000689,7342.6
6700,1.364111,0.00000676,7406.5
6750,1.362603,0.00000663,7471.1
6800,1.363830,0.00000650,7535.4
6850,1.363858,0.00000637,7599.5
6900,1.362839,0.00000625,7663.9
6950,1.363764,0.00000612,7727.7
7000,1.368240,0.00000600,7792.1
7050,1.362654,0.00000588,7870.2
7100,1.363364,0.00000576,7934.3
7150,1.363433,0.00000564,7998.7
7200,1.362661,0.00000552,8062.7
7250,1.369382,0.00000541,8127.2
7300,1.362659,0.00000529,8192.0
7350,1.363919,0.00000518,8255.9
7400,1.363457,0.00000507,8320.5
7450,1.363153,0.00000496,8385.1
7500,1.363078,0.00000485,8449.1
7550,1.363206,0.00000474,8514.8
7600,1.362645,0.00000464,8578.8
7650,1.362784,0.00000453,8643.5
7700,1.363581,0.00000443,8708.0
7750,1.364840,0.00000433,8772.1
