step,loss,lr,elapsed_sec
50,5.656023,0.00000250,65.3
100,2.281077,0.00000500,129.2
150,1.496032,0.00000750,193.7
200,1.423298,0.00001000,257.6
250,1.408533,0.00001250,322.0
300,1.397904,0.00001500,385.9
350,1.392721,0.00001750,449.7
400,1.378808,0.00002000,514.2
450,1.370706,0.00002000,578.1
500,1.366249,0.00002000,642.5
550,1.364453,0.00001999,707.4
600,1.363574,0.00001998,771.3
650,1.363201,0.00001997,835.6
700,1.362976,0.00001996,899.7
750,1.362931,0.00001994,964.1
800,1.362902,0.00001992,1027.9
850,1.362846,0.00001990,1091.9
900,1.362766,0.00001988,1156.1
950,1.362766,0.00001985,1220.0
1000,1.362797,0.00001983,1284.2
1050,1.362762,0.00001980,1362.2
1100,1.362783,0.00001976,1426.2
1150,1.362736,0.00001973,1490.7
1200,1.362768,0.00001969,1554.6
1250,1.362629,0.00001965,1618.8
1300,1.362680,0.00001961,1682.6
1350,1.362690,0.00001957,1746.4
1400,1.362683,0.00001952,1810.8
1450,1.362730,0.00001947,1874.5
1500,1.362725,0.00001942,1938.8
1550,1.362705,0.00001937,2003.8
1600,1.362654,0.00001931,2068.0
1650,1.362716,0.00001926,2132.3
1700,1.362730,0.00001920,2196.2
1750,1.362727,0.00001914,2260.4
1800,1.362642,0.00001907,2324.2
1850,1.362624,0.00001901,2388.2
1900,1.362667,0.00001894,2452.3
1950,1.362645,0.00001887,2516.3
2000,1.362642,0.00001879,2580.5
2050,1.362717,0.00001872,2659.7
2100,1.362721,0.00001864,2723.6
2150,1.362658,0.00001856,2788.3
2200,1.362643,0.00001848,2852.2
2250,1.362572,0.00001840,2916.7
2300,1.362596,0.00001832,2980.6
2350,1.362606,0.00001823,3044.5
2400,1.362557,0.00001814,3108.9
2450,1.362632,0.00001805,3172.7
2500,1.362536,0.00001796,3237.1
2550,1.362689,0.00001786,3302.1
2600,1.362635,0.00001777,3366.1
2650,1.362625,0.00001767,3430.4
2700,1.362588,0.00001757,3494.5
2750,1.362563,0.00001747,3558.8
2800,1.362617,0.00001736,3622.9
2850,1.362660,0.00001726,3686.7
2900,1.362676,0.00001715,3751.0
2950,1.362588,0.00001704,3815.1
3000,1.362648,0.00001693,3879.3
3050,1.362611,0.00001682,3958.5
3100,1.362594,0.00001671,4022.9
3150,1.362602,0.00001659,4086.9
3200,1.362587,0.00001648,4150.8
3250,1.362565,0.00001636,4215.3
3300,1.362579,0.00001624,4279.1
3350,1.362632,0.00001612,4343.5
3400,1.362666,0.00001600,4407.4
3450,1.362590,0.00001588,4471.2
3500,1.362552,0.00001575,4535.6
3550,1.362590,0.00001563,4600.5
3600,1.362564,0.00001550,4665.1
3650,1.362622,0.00001537,4729.0
3700,1.362535,0.00001524,4792.9
3750,1.362580,0.00001511,4857.0
3800,1.362680,0.00001498,4921.0
3850,1.362584,0.00001485,4985.3
3900,1.362585,0.00001471,5049.3
3950,1.362604,0.00001458,5113.3
4000,1.362599,0.00001444,5177.6
4050,1.362585,0.00001431,5257.6
4100,1.362606,0.00001417,5322.0
4150,1.362569,0.00001403,5386.2
4200,1.362600,0.00001389,5450.2
4250,1.362549,0.00001375,5514.7
4300,1.362531,0.00001361,5578.6
4350,1.362561,0.00001347,5643.0
4400,1.362636,0.00001333,5706.9
4450,1.362634,0.00001319,5770.9
4500,1.362437,0.00001304,5835.3
4550,1.362588,0.00001290,5900.4
4600,1.362547,0.00001276,5964.9
4650,1.362612,0.00001261,6028.8
4700,1.362566,0.00001247,6092.9
4750,1.362528,0.00001232,6157.3
4800,1.362577,0.00001217,6221.3
4850,1.362585,0.00001203,6285.5
4900,1.362626,0.00001188,6349.4
4950,1.362527,0.00001174,6413.3
5000,1.362576,0.00001159,6477.6
5050,1.362574,0.00001144,6557.5
5100,1.362526,0.00001129,6621.9
5150,1.362536,0.00001115,6686.0
5200,1.362573,0.00001100,6750.1
5250,1.362580,0.00001085,6814.7
5300,1.362566,0.00001071,6878.7
5350,1.362522,0.00001056,6943.4
5400,1.362590,0.00001041,7007.4
5450,1.362564,0.00001026,7071.4
5500,1.362539,0.00001012,7135.9
5550,1.362584,0.00000997,7201.0
5600,1.362544,0.00000983,7265.6
5650,1.362498,0.00000968,7329.6
5700,1.362601,0.00000953,7393.8
5750,1.362513,0.00000939,7458.1
5800,1.362587,0.00000924,7522.2
5850,1.362592,0.00000910,7586.7
5900,1.362578,0.00000896,7650.9
5950,1.362546,0.00000881,7715.4
6000,1.362570,0.00000867,7779.3
6050,1.362538,0.00000853,7858.7
6100,1.362557,0.00000839,7923.2
6150,1.362527,0.00000825,7987.4
6200,1.362562,0.00000811,8051.9
6250,1.362553,0.00000797,8116.0
6300,1.362532,0.00000783,8179.9
6350,1.362558,0.00000769,8244.4
6400,1.362535,0.00000756,8308.5
6450,1.362586,0.00000742,8373.0
6500,1.362488,0.00000729,8437.0
6550,1.362560,0.00000715,8502.1
6600,1.362600,0.00000702,8566.5
6650,1.362575,0.00000689,8630.5
6700,1.362596,0.00000676,8695.1
6750,1.362564,0.00000663,8759.2
6800,1.362525,0.00000650,8823.3
6850,1.362591,0.00000637,8887.8
6900,1.362555,0.00000625,8952.0
6950,1.362514,0.00000612,9016.5
7000,1.362578,0.00000600,9080.5
7050,1.362600,0.00000588,9160.4
7100,1.362569,0.00000576,9224.8
7150,1.362598,0.00000564,9288.8
7200,1.362560,0.00000552,9353.3
7250,1.362572,0.00000541,9417.5
7300,1.362562,0.00000529,9481.4
7350,1.362559,0.00000518,9546.0
7400,1.362560,0.00000507,9609.9
7450,1.362565,0.00000496,9674.2
7500,1.362534,0.00000485,9738.2
7550,1.362550,0.00000474,9803.1
7600,1.362491,0.00000464,9867.4
7650,1.362525,0.00000453,9931.3
7700,1.362513,0.00000443,9995.6
7750,1.362481,0.00000433,10059.5
7800,1.362602,0.00000423,10123.6
7850,1.362584,0.00000414,10188.1
7900,1.362558,0.00000404,10252.2
7950,1.362555,0.00000395,10316.7
8000,1.362537,0.00000386,10380.6
8050,1.362527,0.00000377,10460.6
8100,1.362539,0.00000368,10525.1
8150,1.362513,0.00000360,10589.2
8200,1.362564,0.00000352,10653.5
8250,1.362537,0.00000344,10717.6
8300,1.362502,0.00000336,10781.4
8350,1.362573,0.00000328,10845.8
8400,1.362507,0.00000321,10909.8
8450,1.362594,0.00000313,10974.4
8500,1.362624,0.00000306,11038.3
8550,1.362559,0.00000299,11103.3
8600,1.362512,0.00000293,11167.8
8650,1.362577,0.00000286,11231.7
8700,1.362579,0.00000280,11296.2
8750,1.362504,0.00000274,11360.1
8800,1.362562,0.00000269,11424.7
8850,1.362569,0.00000263,11488.5
8900,1.362559,0.00000258,11552.7
8950,1.362573,0.00000253,11617.2
9000,1.362577,0.00000248,11681.3
9050,1.362540,0.00000243,11761.2
9100,1.362567,0.00000239,11825.2
9150,1.362548,0.00000235,11889.2
9200,1.362533,0.00000231,11953.5
9250,1.362570,0.00000227,12017.6
9300,1.362562,0.00000224,12081.9
9350,1.362530,0.00000220,12145.9
9400,1.362560,0.00000217,12209.8
9450,1.362559,0.00000215,12274.2
9500,1.362536,0.00000212,12338.1
9550,1.362588,0.00000210,12403.4
9600,1.362554,0.00000208,12467.5
9650,1.362576,0.00000206,12531.5
9700,1.362542,0.00000204,12595.9
9750,1.362555,0.00000203,12659.8
9800,1.362543,0.00000202,12724.1
9850,1.362543,0.00000201,12788.0
9900,1.362577,0.00000200,12852.0
9950,1.362537,0.00000200,12916.2
10000,1.362566,0.00000200,12980.2
