step,loss,lr,elapsed_sec
50,6.866048,0.00000250,59.6
100,4.100984,0.00000500,118.0
150,2.512545,0.00000750,176.6
200,1.516745,0.00001000,234.8
250,1.461306,0.00001250,293.0
300,1.919494,0.00001500,351.9
350,1.422863,0.00001750,410.2
400,1.418879,0.00002000,468.9
450,1.392441,0.00002000,527.1
500,1.394746,0.00001999,585.4
550,1.643406,0.00001998,645.1
600,1.616917,0.00001997,703.3
650,1.377112,0.00001995,762.0
700,1.373877,0.00001993,820.3
750,1.436704,0.00001991,878.6
800,1.372967,0.00001988,937.1
850,1.441005,0.00001984,995.4
900,1.370316,0.00001981,1053.7
950,1.370071,0.00001977,1112.4
1000,1.369427,0.00001972,1170.8
1050,1.369352,0.00001968,1240.5
1100,1.369091,0.00001963,1298.8
1150,1.369160,0.00001957,1357.2
1200,1.368810,0.00001951,1415.8
1250,1.403281,0.00001945,1474.1
1300,1.368726,0.00001938,1532.8
1350,1.369131,0.00001931,1591.0
1400,1.368939,0.00001924,1649.3
1450,1.368744,0.00001917,1707.8
1500,1.385635,0.00001909,1766.0
1550,1.369443,0.00001900,1825.5
1600,1.368312,0.00001892,1883.9
1650,1.369127,0.00001883,1942.1
1700,1.368812,0.00001873,2000.7
1750,1.368827,0.00001863,2058.9
1800,1.368399,0.00001853,2117.1
1850,1.369256,0.00001843,2175.9
1900,1.368667,0.00001832,2234.2
1950,1.368502,0.00001821,2292.8
2000,1.368956,0.00001810,2351.0
2050,1.379369,0.00001799,2421.2
2100,1.368195,0.00001787,2479.7
2150,1.368486,0.00001775,2537.9
2200,1.368545,0.00001762,2596.7
2250,1.368496,0.00001749,2654.9
2300,1.368889,0.00001736,2713.1
2350,1.382023,0.00001723,2771.7
2400,1.376355,0.00001710,2829.9
2450,1.368708,0.00001696,2888.5
2500,1.370087,0.00001682,2946.9
2550,1.367913,0.00001667,3006.1
2600,1.368521,0.00001653,3064.6
2650,1.368689,0.00001638,3122.7
2700,1.377747,0.00001623,3181.0
2750,1.368381,0.00001608,3239.8
2800,1.368406,0.00001592,3298.1
2850,1.368106,0.00001577,3356.7
2900,1.368427,0.00001561,3415.1
2950,1.368615,0.00001545,3473.2
3000,1.368284,0.00001528,3531.8
3050,1.368322,0.00001512,3600.7
3100,1.368625,0.00001495,3659.2
3150,1.368501,0.00001478,3717.5
3200,1.370137,0.00001462,3775.6
3250,1.378097,0.00001444,3834.1
3300,1.369854,0.00001427,3892.4
3350,1.382974,0.00001410,3951.1
3400,1.368833,0.00001392,4009.3
3450,1.385767,0.00001375,4067.4
3500,1.375887,0.00001357,4126.1
3550,1.368373,0.00001339,4185.3
3600,1.368486,0.00001321,4243.5
3650,1.368570,0.00001303,4302.0
3700,1.368718,0.00001285,4360.2
3750,1.368437,0.00001266,4418.8
3800,1.368549,0.00001248,4477.1
3850,1.368532,0.00001230,4535.2
3900,1.368007,0.00001211,4593.7
3950,1.379654,0.00001193,4652.0
4000,1.368502,0.00001174,4710.8
4050,1.368466,0.00001156,4779.7
4100,1.368247,0.00001137,4838.0
4150,1.368487,0.00001119,4896.6
4200,1.374028,0.00001100,4954.9
4250,1.375311,0.00001081,5013.5
4300,1.379573,0.00001063,5071.8
4350,1.368423,0.00001044,5130.0
4400,1.368433,0.00001026,5188.6
4450,1.386999,0.00001007,5246.9
4500,1.368419,0.00000989,5305.1
4550,1.368339,0.00000970,5364.7
4600,1.368323,0.00000952,5422.9
4650,1.368356,0.00000934,5481.6
4700,1.368290,0.00000915,5539.8
4750,1.368395,0.00000897,5598.0
4800,1.368238,0.00000879,5656.6
4850,1.368561,0.00000861,5714.9
4900,1.368243,0.00000843,5773.6
4950,1.368373,0.00000825,5831.8
5000,1.368392,0.00000808,5890.0
5050,1.376443,0.00000790,5959.3
5100,1.368350,0.00000773,6017.6
5150,1.368415,0.00000756,6076.2
5200,1.368371,0.00000738,6134.5
5250,1.373639,0.00000722,6192.9
5300,1.368321,0.00000705,6251.6
5350,1.368477,0.00000688,6309.8
5400,1.368111,0.00000672,6368.0
5450,1.368277,0.00000655,6426.6
5500,1.368170,0.00000639,6484.8
5550,1.369246,0.00000623,6544.6
5600,1.368756,0.00000608,6602.8
5650,1.368489,0.00000592,6661.1
5700,1.369336,0.00000577,6719.8
5750,1.368450,0.00000562,6778.2
5800,1.368512,0.00000547,6836.9
5850,1.368343,0.00000533,6895.1
5900,1.368186,0.00000518,6953.3
5950,1.387717,0.00000504,7012.1
6000,1.369432,0.00000490,7070.4
6050,1.368238,0.00000477,7140.4
6100,1.368668,0.00000464,7198.6
6150,1.369113,0.00000451,7256.7
6200,1.368692,0.00000438,7315.5
6250,1.368552,0.00000425,7373.8
6300,1.368484,0.00000413,7432.0
6350,1.368403,0.00000401,7490.5
6400,1.368290,0.00000390,7548.9
6450,1.368312,0.00000379,7607.6
6500,1.368775,0.00000368,7665.8
6550,1.376181,0.00000357,7725.1
6600,1.373996,0.00000347,7783.8
6650,1.369834,0.00000337,7842.0
6700,1.368222,0.00000327,7900.6
6750,1.368102,0.00000317,7959.0
6800,1.368328,0.00000308,8017.3
6850,1.369174,0.00000300,8076.1
6900,1.379448,0.00000291,8134.4
6950,1.368282,0.00000283,8193.1
7000,1.368220,0.00000276,8251.3
7050,1.375178,0.00000269,8322.1
7100,1.368311,0.00000262,8380.8
7150,1.368220,0.00000255,8439.0
7200,1.368518,0.00000249,8497.1
7250,1.375882,0.00000243,8555.9
7300,1.368283,0.00000237,8614.1
7350,1.368288,0.00000232,8672.8
7400,1.368357,0.00000228,8731.1
7450,1.368285,0.00000223,8789.4
7500,1.368337,0.00000219,8848.1
7550,1.368173,0.00000216,8907.3
7600,1.368485,0.00000212,8966.0
7650,1.368430,0.00000209,9024.4
7700,1.368402,0.00000207,9082.8
7750,1.368291,0.00000205,9141.5
7800,1.368316,0.00000203,9199.7
7850,1.368260,0.00000202,9258.4
7900,1.368282,0.00000201,9316.7
7950,1.368269,0.00000200,9375.0
8000,1.368930,0.00000200,9433.7
