step,loss,lr,elapsed_sec
50,6.574767,0.00000250,59.7
100,3.838923,0.00000500,118.7
150,1.851465,0.00000750,177.5
200,1.569298,0.00001000,235.8
250,2.480312,0.00001250,294.4
300,1.494050,0.00001500,353.2
350,1.480542,0.00001750,411.4
400,1.462820,0.00002000,470.1
450,1.649623,0.00002000,528.9
500,1.452169,0.00001999,587.2
550,1.411863,0.00001998,647.0
600,1.417766,0.00001997,705.6
650,1.399740,0.00001995,763.9
700,1.392206,0.00001993,822.7
750,1.447159,0.00001991,881.5
800,1.382512,0.00001988,939.9
850,1.381831,0.00001984,998.7
900,1.426808,0.00001981,1057.4
950,1.375202,0.00001977,1115.8
1000,1.372299,0.00001972,1174.4
1050,1.372848,0.00001968,1247.7
1100,1.424171,0.00001963,1306.0
1150,1.389212,0.00001957,1364.9
1200,1.393381,0.00001951,1423.6
1250,1.369284,0.00001945,1482.4
1300,1.392760,0.00001938,1540.7
1350,1.369038,0.00001931,1599.5
1400,1.386340,0.00001924,1658.1
1450,1.368437,0.00001917,1716.3
1500,1.395074,0.00001909,1775.0
1550,1.368055,0.00001900,1834.6
1600,1.378125,0.00001892,1893.1
1650,1.388794,0.00001883,1951.7
1700,1.376027,0.00001873,2010.4
1750,1.368227,0.00001863,2068.8
1800,1.394110,0.00001853,2127.5
1850,1.368378,0.00001843,2186.2
1900,1.368124,0.00001832,2244.4
1950,1.368395,0.00001821,2303.1
2000,1.379699,0.00001810,2361.8
2050,1.367835,0.00001799,2433.5
2100,1.368024,0.00001787,2492.1
2150,1.367815,0.00001775,2550.9
2200,1.375864,0.00001762,2609.1
2250,1.368191,0.00001749,2667.9
2300,1.375386,0.00001736,2726.6
2350,1.373724,0.00001723,2784.9
2400,1.367904,0.00001710,2843.5
2450,1.368161,0.00001696,2902.3
2500,1.367957,0.00001682,2961.0
2550,1.367944,0.00001667,3020.2
2600,1.367719,0.00001653,3078.8
2650,1.367755,0.00001638,3137.6
2700,1.381700,0.00001623,3195.9
2750,1.388715,0.00001608,3254.8
2800,1.382591,0.00001592,3313.5
2850,1.380511,0.00001577,3371.8
2900,1.376859,0.00001561,3430.7
2950,1.368121,0.00001545,3489.4
3000,1.367653,0.00001528,3547.6
3050,1.367926,0.00001512,3620.3
3100,1.367855,0.00001495,3679.1
3150,1.367669,0.00001478,3737.3
3200,1.367796,0.00001462,3796.0
3250,1.367627,0.00001444,3854.6
3300,1.367694,0.00001427,3912.9
3350,1.367746,0.00001410,3971.5
3400,1.371684,0.00001392,4030.2
3450,1.377671,0.00001375,4088.4
3500,1.367809,0.00001357,4147.3
3550,1.376770,0.00001339,4206.8
3600,1.371671,0.00001321,4265.4
3650,1.367638,0.00001303,4323.6
3700,1.367619,0.00001285,4382.2
3750,1.375777,0.00001266,4440.9
3800,1.368311,0.00001248,4499.2
3850,1.374024,0.00001230,4557.8
3900,1.367634,0.00001211,4616.4
3950,1.376935,0.00001193,4674.8
4000,1.367639,0.00001174,4733.6
4050,1.367672,0.00001156,4806.3
4100,1.380881,0.00001137,4864.6
4150,1.369170,0.00001119,4923.3
4200,1.388032,0.00001100,4982.0
4250,1.371681,0.00001081,5040.2
4300,1.371096,0.00001063,5098.8
4350,1.372579,0.00001044,5157.6
4400,1.374134,0.00001026,5215.8
4450,1.367453,0.00001007,5274.4
4500,1.367568,0.00000989,5333.2
4550,1.371693,0.00000970,5392.4
4600,1.367585,0.00000952,5451.2
4650,1.367506,0.00000934,5509.9
4700,1.384683,0.00000915,5568.1
4750,1.367720,0.00000897,5626.8
4800,1.367639,0.00000879,5685.6
4850,1.367720,0.00000861,5744.3
4900,1.367594,0.00000843,5802.4
4950,1.387080,0.00000825,5861.2
5000,1.378348,0.00000808,5920.2
5050,1.367674,0.00000790,5992.5
5100,1.375286,0.00000773,6051.2
5150,1.372130,0.00000756,6109.9
5200,1.367604,0.00000738,6168.2
5250,1.376248,0.00000722,6227.0
5300,1.367553,0.00000705,6285.8
5350,1.367789,0.00000688,6344.0
5400,1.367716,0.00000672,6402.8
5450,1.367604,0.00000655,6461.7
5500,1.375001,0.00000639,6520.0
5550,1.385018,0.00000623,6579.6
5600,1.374730,0.00000608,6638.3
5650,1.371273,0.00000592,6696.6
5700,1.373380,0.00000577,6755.5
5750,1.367509,0.00000562,6814.3
5800,1.384085,0.00000547,6872.5
5850,1.367583,0.00000533,6931.3
5900,1.367590,0.00000518,6990.1
5950,1.367656,0.00000504,7048.5
6000,1.367668,0.00000490,7107.2
6050,1.367597,0.00000477,7180.1
6100,1.367337,0.00000464,7239.0
6150,1.371326,0.00000451,7297.3
6200,1.374892,0.00000438,7356.0
6250,1.378542,0.00000425,7414.8
6300,1.369025,0.00000413,7473.1
6350,1.376304,0.00000401,7531.8
6400,1.367657,0.00000390,7590.5
6450,1.371248,0.00000379,7648.8
6500,1.376350,0.00000368,7707.4
6550,1.367384,0.00000357,7767.1
6600,1.380964,0.00000347,7825.3
6650,1.375366,0.00000337,7884.0
6700,1.367375,0.00000327,7942.6
6750,1.376485,0.00000317,8001.0
6800,1.371223,0.00000308,8059.6
6850,1.376364,0.00000300,8118.4
6900,1.367582,0.00000291,8176.7
6950,1.367733,0.00000283,8235.3
7000,1.367726,0.00000276,8294.2
7050,1.367545,0.00000269,8365.8
7100,1.370725,0.00000262,8424.8
7150,1.367570,0.00000255,8483.8
7200,1.373775,0.00000249,8543.0
7250,1.367475,0.00000243,8601.2
7300,1.391983,0.00000237,8660.0
7350,1.367737,0.00000232,8718.7
7400,1.371104,0.00000228,8777.0
7450,1.367483,0.00000223,8835.9
7500,1.367434,0.00000219,8894.8
7550,1.376250,0.00000216,8954.5
7600,1.367748,0.00000212,9013.7
7650,1.376303,0.00000209,9072.9
7700,1.376415,0.00000207,9131.5
7750,1.367494,0.00000205,9190.6
7800,1.367547,0.00000203,9249.7
7850,1.373407,0.00000202,9308.3
7900,1.372052,0.00000201,9367.2
7950,1.367645,0.00000200,9426.3
8000,1.378211,0.00000200,9484.8
