step,loss,lr,elapsed_sec
50,6.527247,0.00000250,59.5
100,3.490081,0.00000500,117.8
150,1.690655,0.00000750,176.1
200,1.498873,0.00001000,234.2
250,1.455587,0.00001250,292.3
300,1.428243,0.00001500,350.9
350,1.426098,0.00001750,409.1
400,1.406913,0.00002000,467.5
450,1.397375,0.00002000,525.7
500,1.389350,0.00001999,583.9
550,1.379551,0.00001998,643.4
600,1.382134,0.00001997,701.5
650,1.373137,0.00001995,760.0
700,1.374942,0.00001993,818.2
750,1.370563,0.00001991,876.4
800,1.368638,0.00001988,935.0
850,1.369383,0.00001984,993.3
900,1.368653,0.00001981,1051.7
950,1.368718,0.00001977,1110.0
1000,1.368728,0.00001972,1168.3
1050,1.368720,0.00001968,1239.3
1100,1.368234,0.00001963,1297.5
1150,1.367651,0.00001957,1356.0
1200,1.367888,0.00001951,1414.2
1250,1.366984,0.00001945,1472.3
1300,1.368194,0.00001938,1530.8
1350,1.367792,0.00001931,1589.1
1400,1.367817,0.00001924,1647.6
1450,1.367460,0.00001917,1705.8
1500,1.367818,0.00001909,1763.9
1550,1.367819,0.00001900,1823.4
1600,1.368499,0.00001892,1881.7
1650,1.367706,0.00001883,1940.2
1700,1.367641,0.00001873,1998.4
1750,1.369359,0.00001863,2056.5
1800,1.367502,0.00001853,2115.2
1850,1.367894,0.00001843,2173.3
1900,1.367866,0.00001832,2231.7
1950,1.367923,0.00001821,2289.9
2000,1.368051,0.00001810,2348.2
2050,1.368601,0.00001799,2420.0
2100,1.367788,0.00001787,2478.3
2150,1.367492,0.00001775,2536.9
2200,1.367437,0.00001762,2595.1
2250,1.367559,0.00001749,2653.3
2300,1.367882,0.00001736,2711.8
2350,1.367585,0.00001723,2770.0
2400,1.367936,0.00001710,2828.4
2450,1.367869,0.00001696,2886.5
2500,1.367499,0.00001682,2944.8
2550,1.367737,0.00001667,3004.4
2600,1.367517,0.00001653,3062.5
2650,1.367910,0.00001638,3121.0
2700,1.367336,0.00001623,3179.1
2750,1.367690,0.00001608,3237.3
2800,1.367448,0.00001592,3295.9
2850,1.367630,0.00001577,3354.1
2900,1.367919,0.00001561,3412.6
2950,1.367426,0.00001545,3470.9
3000,1.367941,0.00001528,3529.1
3050,1.367618,0.00001512,3601.2
3100,1.367660,0.00001495,3659.3
3150,1.367208,0.00001478,3717.8
3200,1.367566,0.00001462,3776.0
3250,1.367435,0.00001444,3834.2
3300,1.367473,0.00001427,3892.6
3350,1.367656,0.00001410,3950.9
3400,1.367377,0.00001392,4009.4
3450,1.367392,0.00001375,4067.5
3500,1.367343,0.00001357,4125.7
3550,1.367635,0.00001339,4185.3
3600,1.367270,0.00001321,4243.5
3650,1.367317,0.00001303,4302.0
3700,1.367371,0.00001285,4360.2
3750,1.367353,0.00001266,4418.3
3800,1.367568,0.00001248,4476.9
3850,1.367658,0.00001230,4535.1
3900,1.367470,0.00001211,4593.5
3950,1.367453,0.00001193,4651.7
4000,1.367531,0.00001174,4710.0
4050,1.367545,0.00001156,4784.4
4100,1.367624,0.00001137,4842.5
4150,1.368422,0.00001119,4900.9
4200,1.367367,0.00001100,4959.3
4250,1.367566,0.00001081,5017.5
4300,1.367515,0.00001063,5075.9
4350,1.367286,0.00001044,5134.0
4400,1.367362,0.00001026,5192.4
4450,1.367337,0.00001007,5250.5
4500,1.367472,0.00000989,5308.7
4550,1.367298,0.00000970,5368.1
4600,1.367275,0.00000952,5426.3
4650,1.367410,0.00000934,5484.9
4700,1.367337,0.00000915,5543.1
4750,1.367481,0.00000897,5601.2
4800,1.367505,0.00000879,5659.8
4850,1.367428,0.00000861,5718.0
4900,1.367529,0.00000843,5776.5
4950,1.367253,0.00000825,5834.6
5000,1.367273,0.00000808,5892.8
5050,1.367263,0.00000790,5966.2
5100,1.367368,0.00000773,6024.6
5150,1.367291,0.00000756,6083.1
5200,1.367450,0.00000738,6141.3
5250,1.367131,0.00000722,6199.4
5300,1.367437,0.00000705,6257.9
5350,1.368457,0.00000688,6316.0
5400,1.367358,0.00000672,6374.5
5450,1.367397,0.00000655,6432.6
5500,1.367454,0.00000639,6490.9
5550,1.367181,0.00000623,6550.5
5600,1.367256,0.00000608,6608.6
5650,1.367383,0.00000592,6667.2
5700,1.367362,0.00000577,6725.4
5750,1.367421,0.00000562,6783.5
5800,1.367368,0.00000547,6841.9
5850,1.367418,0.00000533,6900.0
5900,1.367605,0.00000518,6958.3
5950,1.367429,0.00000504,7016.5
6000,1.367458,0.00000490,7074.9
6050,1.367338,0.00000477,7145.6
6100,1.367322,0.00000464,7203.7
6150,1.367363,0.00000451,7262.2
6200,1.367327,0.00000438,7320.4
6250,1.367489,0.00000425,7378.5
6300,1.367289,0.00000413,7437.0
6350,1.367398,0.00000401,7495.1
6400,1.370241,0.00000390,7553.7
6450,1.367220,0.00000379,7612.0
6500,1.367321,0.00000368,7670.1
6550,1.367547,0.00000357,7729.6
6600,1.367580,0.00000347,7787.7
6650,1.367234,0.00000337,7846.2
6700,1.368130,0.00000327,7904.3
6750,1.367469,0.00000317,7962.4
6800,1.367283,0.00000308,8020.8
6850,1.367298,0.00000300,8079.2
6900,1.367199,0.00000291,8137.5
6950,1.367435,0.00000283,8195.6
7000,1.367487,0.00000276,8253.7
7050,1.367349,0.00000269,8325.0
7100,1.368437,0.00000262,8383.1
7150,1.367406,0.00000255,8441.1
7200,1.367447,0.00000249,8499.6
7250,1.367405,0.00000243,8557.8
7300,1.367297,0.00000237,8616.3
7350,1.367407,0.00000232,8674.5
7400,1.367347,0.00000228,8732.6
7450,1.367400,0.00000223,8791.0
7500,1.367433,0.00000219,8849.2
7550,1.367254,0.00000216,8908.7
7600,1.367423,0.00000212,8966.8
7650,1.367367,0.00000209,9025.0
7700,1.367320,0.00000207,9083.6
7750,1.367218,0.00000205,9141.6
7800,1.367447,0.00000203,9200.1
7850,1.367451,0.00000202,9258.2
7900,1.367274,0.00000201,9316.3
7950,1.367304,0.00000200,9374.9
8000,1.367633,0.00000200,9433.1
