step,loss,lr,elapsed_sec
50,1.919067,0.00001333,59.8
100,1.418843,0.00001999,118.7
150,1.395191,0.00001988,177.4
200,1.389247,0.00001966,236.3
250,1.381246,0.00001934,294.4
300,1.376640,0.00001892,353.1
350,1.371835,0.00001840,411.8
400,1.369488,0.00001779,470.4
450,1.368745,0.00001710,528.7
500,1.369745,0.00001633,587.5
550,1.367894,0.00001550,647.2
600,1.367675,0.00001462,705.9
650,1.367555,0.00001369,764.2
700,1.368382,0.00001273,823.0
750,1.367866,0.00001174,881.7
800,1.367716,0.00001075,940.4
850,1.367473,0.00000976,998.7
900,1.367594,0.00000879,1057.4
950,1.367538,0.00000784,1116.1
1000,1.367616,0.00000694,1174.8
1050,1.367684,0.00000608,1243.7
1100,1.367520,0.00000528,1302.3
1150,1.367482,0.00000455,1361.1
1200,1.367659,0.00000390,1419.8
1250,1.368707,0.00000333,1478.1
1300,1.367636,0.00000286,1536.7
1350,1.367474,0.00000249,1595.5
1400,1.367609,0.00000222,1654.1
1450,1.367587,0.00000205,1712.5
1500,1.367586,0.00000200,1771.3
