step,loss,lr,elapsed_sec
50,1.933456,0.00001333,59.6
100,1.421585,0.00001999,117.8
150,1.789776,0.00001988,176.2
200,1.384047,0.00001966,234.4
250,1.383420,0.00001934,292.5
300,1.373805,0.00001892,351.0
350,1.372794,0.00001840,409.2
400,1.371747,0.00001779,467.5
450,1.370371,0.00001710,525.6
500,1.369363,0.00001633,583.7
550,1.368969,0.00001550,643.3
600,1.368863,0.00001462,701.4
650,1.368489,0.00001369,759.5
700,1.368558,0.00001273,818.0
750,1.368537,0.00001174,876.2
800,1.369041,0.00001075,934.6
850,1.368026,0.00000976,992.7
900,1.368306,0.00000879,1050.8
950,1.384533,0.00000784,1109.3
1000,1.383139,0.00000694,1167.5
1050,1.377646,0.00000608,1236.7
1100,1.368097,0.00000528,1295.2
1150,1.368033,0.00000455,1353.6
1200,1.368166,0.00000390,1411.9
1250,1.367912,0.00000333,1470.0
1300,1.368464,0.00000286,1528.1
1350,1.368717,0.00000249,1586.4
1400,1.368150,0.00000222,1644.6
1450,1.368430,0.00000205,1702.6
1500,1.368190,0.00000200,1761.1
