step,loss,lr,elapsed_sec
50,3.529327,0.00001333,74.4
100,1.560057,0.00001999,148.4
150,1.467362,0.00001988,222.0
200,1.433786,0.00001966,295.5
250,1.415645,0.00001934,369.2
300,1.405059,0.00001892,442.3
350,1.395700,0.00001840,516.3
400,1.388886,0.00001779,589.8
450,1.386895,0.00001710,663.1
500,1.383391,0.00001633,736.9
550,1.381453,0.00001550,811.0
600,1.379269,0.00001462,884.3
650,1.380102,0.00001369,958.2
700,1.379650,0.00001273,1031.4
750,1.377996,0.00001174,1105.0
800,1.377417,0.00001075,1178.6
850,1.376810,0.00000976,1252.3
900,1.378572,0.00000879,1326.5
950,1.377301,0.00000784,1400.0
1000,1.376024,0.00000694,1473.8
1050,1.377217,0.00000608,1558.6
1100,1.375217,0.00000528,1632.5
1150,1.376709,0.00000455,1705.8
1200,1.376671,0.00000390,1779.6
1250,1.375384,0.00000333,1853.4
1300,1.377716,0.00000286,1926.6
1350,1.376493,0.00000249,2000.2
1400,1.377323,0.00000222,2073.7
1450,1.375782,0.00000205,2147.9
1500,1.377182,0.00000200,2221.4
