step,loss,lr,elapsed_sec
50,2.824068,0.00001333,73.1
100,1.470243,0.00001999,144.4
150,1.434335,0.00001988,216.2
200,1.409760,0.00001966,287.6
250,1.399507,0.00001934,359.0
300,1.392947,0.00001892,430.3
350,1.386895,0.00001840,501.8
400,1.383800,0.00001779,573.3
450,1.379198,0.00001710,644.8
500,1.375126,0.00001633,715.9
550,1.373036,0.00001550,788.2
600,1.371580,0.00001462,859.8
650,1.370480,0.00001369,931.3
700,1.370802,0.00001273,1003.0
750,1.370081,0.00001174,1074.7
800,1.369716,0.00001075,1146.4
850,1.369671,0.00000976,1218.0
900,1.369387,0.00000879,1289.7
950,1.369801,0.00000784,1361.4
1000,1.369709,0.00000694,1432.8
1050,1.369685,0.00000608,1515.7
1100,1.369399,0.00000528,1587.9
1150,1.369581,0.00000455,1659.7
1200,1.369311,0.00000390,1731.3
1250,1.369534,0.00000333,1803.4
1300,1.369605,0.00000286,1875.1
1350,1.369762,0.00000249,1946.6
1400,1.369305,0.00000222,2018.3
1450,1.369418,0.00000205,2090.1
1500,1.369622,0.00000200,2161.8
