step,loss,lr,elapsed_sec
50,3.296552,0.00001333,70.0
100,1.450655,0.00001999,139.1
150,1.409059,0.00001988,208.1
200,1.398143,0.00001966,277.1
250,1.388610,0.00001934,345.7
300,1.381797,0.00001892,414.3
350,1.378807,0.00001840,483.0
400,1.383221,0.00001779,551.8
450,1.374873,0.00001710,621.1
500,1.373666,0.00001633,690.4
550,1.372596,0.00001550,760.2
600,1.371891,0.00001462,829.1
650,1.370794,0.00001369,898.2
700,1.370669,0.00001273,968.0
750,1.370730,0.00001174,1037.2
800,1.370114,0.00001075,1106.2
850,1.370076,0.00000976,1174.8
900,1.372162,0.00000879,1243.1
950,1.370205,0.00000784,1311.9
1000,1.369660,0.00000694,1380.9
1050,1.370122,0.00000608,1462.8
1100,1.369558,0.00000528,1532.3
1150,1.369835,0.00000455,1601.3
1200,1.369660,0.00000390,1670.7
1250,1.369758,0.00000333,1739.7
1300,1.370166,0.00000286,1808.8
1350,1.371751,0.00000249,1878.0
1400,1.370262,0.00000222,1946.7
1450,1.369641,0.00000205,2016.1
1500,1.369698,0.00000200,2085.0
