step,loss,lr,elapsed_sec
50,5.387306,0.00000250,59.4
100,3.511035,0.00000500,117.6
150,1.983537,0.00000750,175.8
200,1.560173,0.00001000,234.0
250,1.451132,0.00001250,292.2
300,1.403602,0.00001500,350.3
350,1.403491,0.00001750,408.4
400,1.390534,0.00002000,466.6
450,1.387315,0.00002000,524.7
500,1.375754,0.00002000,583.5
550,1.383030,0.00001999,644.0
600,1.377627,0.00001998,702.0
650,1.375659,0.00001997,760.0
700,1.374601,0.00001996,818.0
750,1.376082,0.00001994,876.1
800,1.373852,0.00001992,934.1
850,1.374739,0.00001990,992.1
900,1.373061,0.00001988,1050.1
950,1.373647,0.00001985,1108.1
1000,1.371243,0.00001983,1166.7
1050,1.370552,0.00001980,1237.9
1100,1.373489,0.00001976,1296.2
1150,1.370539,0.00001973,1354.5
1200,1.370009,0.00001969,1412.8
1250,1.375937,0.00001965,1471.1
1300,1.370876,0.00001961,1529.3
1350,1.372619,0.00001957,1587.5
1400,1.371928,0.00001952,1645.7
1450,1.372822,0.00001947,1704.5
1500,1.372333,0.00001942,1762.4
1550,1.372891,0.00001937,1822.9
1600,1.370905,0.00001931,1880.9
1650,1.370734,0.00001926,1939.0
1700,1.372046,0.00001920,1997.1
1750,1.372659,0.00001914,2055.1
1800,1.370575,0.00001907,2113.1
1850,1.371045,0.00001901,2171.1
1900,1.371112,0.00001894,2229.2
1950,1.371031,0.00001887,2287.6
2000,1.372409,0.00001879,2345.5
2050,1.372178,0.00001872,2417.1
2100,1.371559,0.00001864,2475.4
2150,1.370605,0.00001856,2533.6
2200,1.372162,0.00001848,2591.5
2250,1.370478,0.00001840,2649.4
2300,1.370035,0.00001832,2707.3
2350,1.371503,0.00001823,2765.2
2400,1.371048,0.00001814,2823.7
2450,1.369604,0.00001805,2881.7
2500,1.371769,0.00001796,2939.7
2550,1.370588,0.00001786,3000.2
2600,1.371119,0.00001777,3058.2
2650,1.369943,0.00001767,3116.4
2700,1.370816,0.00001757,3174.5
2750,1.370991,0.00001747,3232.5
2800,1.370923,0.00001736,3290.5
2850,1.371245,0.00001726,3348.6
2900,1.369974,0.00001715,3407.0
2950,1.373174,0.00001704,3465.0
3000,1.369887,0.00001693,3523.0
3050,1.371035,0.00001682,3594.1
3100,1.369766,0.00001671,3652.1
3150,1.371432,0.00001659,3710.1
3200,1.370622,0.00001648,3768.2
3250,1.370764,0.00001636,3826.1
3300,1.370065,0.00001624,3884.1
3350,1.370204,0.00001612,3942.7
3400,1.370217,0.00001600,4000.9
3450,1.370367,0.00001588,4059.1
3500,1.371376,0.00001575,4117.3
3550,1.369373,0.00001563,4177.9
3600,1.371014,0.00001550,4235.9
3650,1.369886,0.00001537,4293.9
3700,1.370932,0.00001524,4351.9
3750,1.369908,0.00001511,4410.0
3800,1.370647,0.00001498,4468.1
3850,1.368784,0.00001485,4526.5
3900,1.371461,0.00001471,4584.5
3950,1.371205,0.00001458,4642.5
4000,1.371779,0.00001444,4700.5
4050,1.370108,0.00001431,4771.8
4100,1.370486,0.00001417,4830.0
4150,1.370200,0.00001403,4888.2
4200,1.369372,0.00001389,4946.4
4250,1.369873,0.00001375,5004.6
4300,1.370871,0.00001361,5063.2
4350,1.370183,0.00001347,5121.2
4400,1.371008,0.00001333,5179.3
4450,1.370100,0.00001319,5237.3
4500,1.370405,0.00001304,5295.4
4550,1.371308,0.00001290,5356.2
4600,1.370130,0.00001276,5414.3
4650,1.370089,0.00001261,5472.4
4700,1.369877,0.00001247,5530.4
4750,1.372005,0.00001232,5588.5
4800,1.369768,0.00001217,5646.9
4850,1.370436,0.00001203,5704.9
4900,1.369670,0.00001188,5763.0
4950,1.371413,0.00001174,5821.1
5000,1.369848,0.00001159,5879.2
5050,1.369917,0.00001144,5950.3
5100,1.369221,0.00001129,6008.7
5150,1.369536,0.00001115,6066.9
5200,1.369427,0.00001100,6125.1
5250,1.369554,0.00001085,6183.9
5300,1.370251,0.00001071,6242.1
5350,1.369334,0.00001056,6300.4
5400,1.369884,0.00001041,6358.6
5450,1.369708,0.00001026,6416.9
5500,1.370406,0.00001012,6475.1
5550,1.371818,0.00000997,6535.6
5600,1.369752,0.00000983,6593.5
5650,1.371215,0.00000968,6651.5
5700,1.369817,0.00000953,6709.6
5750,1.369405,0.00000939,6768.0
5800,1.370135,0.00000924,6825.9
5850,1.369931,0.00000910,6884.0
5900,1.370455,0.00000896,6941.9
5950,1.371060,0.00000881,7000.0
6000,1.369957,0.00000867,7057.9
6050,1.369778,0.00000853,7128.7
6100,1.370287,0.00000839,7186.9
6150,1.369548,0.00000825,7245.1
6200,1.371641,0.00000811,7303.7
6250,1.370429,0.00000797,7361.7
6300,1.368939,0.00000783,7419.7
6350,1.369240,0.00000769,7477.8
6400,1.369737,0.00000756,7535.8
6450,1.370985,0.00000742,7593.9
6500,1.370222,0.00000729,7651.9
6550,1.371737,0.00000715,7712.4
6600,1.369774,0.00000702,7770.4
6650,1.369858,0.00000689,7828.5
6700,1.370412,0.00000676,7886.8
6750,1.370513,0.00000663,7944.8
6800,1.369871,0.00000650,8002.8
6850,1.369201,0.00000637,8060.8
