step,loss,lr,elapsed_sec
50,5.677284,0.00000250,59.4
100,3.433532,0.00000500,117.5
150,1.958457,0.00000750,175.6
200,2.049870,0.00001000,233.6
250,1.421482,0.00001250,291.8
300,1.400980,0.00001500,349.8
350,1.394586,0.00001750,407.8
400,1.390477,0.00002000,465.8
450,1.382854,0.00002000,523.8
500,1.382350,0.00002000,582.3
550,1.378490,0.00001999,642.7
600,1.378749,0.00001998,700.5
650,1.377956,0.00001997,758.3
700,1.378453,0.00001996,816.2
750,1.374649,0.00001994,874.2
800,1.374174,0.00001992,932.0
850,1.373497,0.00001990,989.9
900,1.374284,0.00001988,1047.8
950,1.886561,0.00001985,1105.7
1000,1.374554,0.00001983,1164.0
1050,1.373368,0.00001980,1235.2
1100,1.373646,0.00001976,1293.2
1150,1.374053,0.00001973,1351.3
1200,1.372360,0.00001969,1409.4
1250,1.373815,0.00001965,1467.5
1300,1.371742,0.00001961,1525.5
1350,1.374429,0.00001957,1583.6
1400,1.373731,0.00001952,1641.6
1450,1.373044,0.00001947,1699.9
1500,1.374201,0.00001942,1757.8
1550,1.371994,0.00001937,1818.2
1600,1.373216,0.00001931,1876.1
1650,1.370866,0.00001926,1933.9
1700,1.372327,0.00001920,1991.9
1750,1.374444,0.00001914,2049.7
1800,1.372899,0.00001907,2107.6
1850,1.374818,0.00001901,2165.4
1900,1.371289,0.00001894,2223.3
1950,1.372778,0.00001887,2281.6
2000,1.371281,0.00001879,2339.7
2050,1.373125,0.00001872,2410.7
2100,1.374678,0.00001864,2468.9
2150,1.372365,0.00001856,2527.1
2200,1.372423,0.00001848,2585.2
2250,1.374097,0.00001840,2643.2
2300,1.851323,0.00001832,2701.2
2350,1.374335,0.00001823,2759.2
2400,1.372769,0.00001814,2817.5
2450,1.372572,0.00001805,2875.4
2500,1.372626,0.00001796,2933.4
2550,1.372900,0.00001786,2993.7
2600,1.372864,0.00001777,3051.6
2650,1.371721,0.00001767,3109.5
2700,1.374055,0.00001757,3167.4
2750,1.371629,0.00001747,3225.3
2800,1.372644,0.00001736,3283.1
2850,1.374240,0.00001726,3341.0
2900,1.371935,0.00001715,3399.2
2950,1.373379,0.00001704,3457.1
3000,1.370465,0.00001693,3515.0
3050,1.372812,0.00001682,3586.1
3100,1.371329,0.00001671,3644.2
3150,1.371616,0.00001659,3702.3
3200,1.373055,0.00001648,3760.3
3250,1.373260,0.00001636,3818.4
3300,1.373489,0.00001624,3876.4
3350,1.372493,0.00001612,3934.8
3400,1.372836,0.00001600,3992.7
3450,1.371914,0.00001588,4050.5
3500,1.372763,0.00001575,4108.4
3550,1.372936,0.00001563,4168.9
3600,1.370936,0.00001550,4226.8
3650,1.371994,0.00001537,4284.7
3700,1.373055,0.00001524,4342.5
3750,1.372148,0.00001511,4400.4
3800,1.370915,0.00001498,4458.3
3850,1.374690,0.00001485,4516.5
3900,1.372995,0.00001471,4574.3
3950,1.372967,0.00001458,4632.2
4000,1.371407,0.00001444,4690.0
4050,1.370813,0.00001431,4761.4
4100,1.372791,0.00001417,4819.5
4150,1.371368,0.00001403,4877.5
4200,1.372980,0.00001389,4935.5
4250,1.372335,0.00001375,4993.6
4300,1.372257,0.00001361,5052.0
4350,1.372598,0.00001347,5109.8
4400,1.373750,0.00001333,5167.7
4450,1.372688,0.00001319,5225.5
4500,1.373471,0.00001304,5283.5
4550,1.370978,0.00001290,5344.0
4600,1.370604,0.00001276,5401.8
4650,1.374369,0.00001261,5459.7
4700,1.372831,0.00001247,5517.6
4750,1.372762,0.00001232,5575.5
4800,1.372030,0.00001217,5633.6
4850,1.454244,0.00001203,5691.5
