step,loss,lr,elapsed_sec
50,5.684121,0.00000250,60.2
100,3.231207,0.00000500,118.7
150,1.657126,0.00000750,177.2
200,1.431598,0.00001000,235.6
250,1.389811,0.00001250,294.1
300,1.381465,0.00001500,352.5
350,1.377211,0.00001750,410.9
400,1.373008,0.00002000,469.3
450,1.369969,0.00002000,527.7
500,1.370331,0.00002000,586.7
550,1.670308,0.00001999,647.6
600,1.369737,0.00001998,706.0
650,1.369225,0.00001997,764.4
700,1.368578,0.00001996,822.8
750,1.369958,0.00001994,881.3
800,1.368133,0.00001992,939.8
850,1.367438,0.00001990,998.3
900,1.368902,0.00001988,1056.8
950,1.367826,0.00001985,1115.4
1000,1.368552,0.00001983,1174.3
1050,1.367650,0.00001980,1246.1
1100,1.368510,0.00001976,1304.5
1150,1.368704,0.00001973,1363.0
1200,1.367362,0.00001969,1421.6
1250,1.668643,0.00001965,1480.0
1300,1.367666,0.00001961,1538.4
1350,1.368195,0.00001957,1596.9
1400,1.368207,0.00001952,1655.4
1450,1.368167,0.00001947,1714.3
1500,1.368620,0.00001942,1772.7
1550,1.368149,0.00001937,1833.7
1600,1.367731,0.00001931,1892.1
1650,1.368388,0.00001926,1950.6
1700,1.367307,0.00001920,2009.2
1750,1.367959,0.00001914,2067.6
1800,1.367513,0.00001907,2126.1
1850,1.368098,0.00001901,2184.6
1900,1.367685,0.00001894,2243.1
1950,1.367623,0.00001887,2301.9
2000,1.367707,0.00001879,2360.3
2050,1.367469,0.00001872,2431.5
2100,1.367168,0.00001864,2490.0
2150,1.367690,0.00001856,2548.5
2200,1.368217,0.00001848,2607.0
2250,1.367077,0.00001840,2665.5
2300,1.367266,0.00001832,2724.0
2350,1.367368,0.00001823,2782.4
2400,1.367534,0.00001814,2841.3
2450,1.367788,0.00001805,2899.8
2500,1.367466,0.00001796,2958.2
2550,1.367018,0.00001786,3019.3
2600,1.367251,0.00001777,3077.7
2650,1.367688,0.00001767,3136.3
2700,1.368197,0.00001757,3194.8
2750,1.367556,0.00001747,3253.2
2800,1.367218,0.00001736,3311.6
2850,1.367988,0.00001726,3370.1
2900,1.367158,0.00001715,3428.9
2950,1.368608,0.00001704,3487.3
3000,1.367451,0.00001693,3545.8
3050,1.368070,0.00001682,3617.3
3100,1.367342,0.00001671,3675.9
3150,1.367466,0.00001659,3734.4
3200,1.367409,0.00001648,3792.8
3250,1.367451,0.00001636,3851.2
3300,1.367637,0.00001624,3909.7
3350,1.367294,0.00001612,3968.6
3400,1.367158,0.00001600,4027.1
3450,1.368349,0.00001588,4085.5
3500,1.368345,0.00001575,4144.0
3550,1.368182,0.00001563,4205.0
3600,1.367490,0.00001550,4263.5
3650,1.367779,0.00001537,4322.0
3700,1.367799,0.00001524,4380.5
3750,1.367454,0.00001511,4439.0
3800,1.367407,0.00001498,4497.6
3850,1.367041,0.00001485,4556.5
3900,1.367357,0.00001471,4615.0
3950,1.367947,0.00001458,4673.5
4000,1.367373,0.00001444,4732.0
4050,1.450566,0.00001431,4803.2
4100,1.367651,0.00001417,4861.6
4150,1.367241,0.00001403,4920.0
4200,1.367869,0.00001389,4978.4
4250,1.367250,0.00001375,5036.8
4300,1.367883,0.00001361,5095.7
4350,1.367596,0.00001347,5154.2
4400,1.367558,0.00001333,5212.6
4450,1.367068,0.00001319,5271.1
4500,1.367971,0.00001304,5329.6
4550,1.367664,0.00001290,5390.5
4600,1.367494,0.00001276,5449.0
4650,1.367151,0.00001261,5507.5
4700,1.367688,0.00001247,5566.0
4750,1.367320,0.00001232,5624.5
4800,1.400918,0.00001217,5683.4
4850,1.367002,0.00001203,5741.8
4900,1.366996,0.00001188,5800.3
4950,1.367625,0.00001174,5858.6
5000,1.367833,0.00001159,5917.2
5050,1.367184,0.00001144,5988.1
5100,1.367013,0.00001129,6046.6
5150,1.368613,0.00001115,6105.1
5200,1.367683,0.00001100,6163.6
5250,1.367131,0.00001085,6222.5
5300,1.367009,0.00001071,6281.0
5350,1.367545,0.00001056,6339.4
5400,1.367213,0.00001041,6397.8
5450,1.367516,0.00001026,6456.4
5500,1.367814,0.00001012,6514.9
5550,1.367903,0.00000997,6575.9
5600,1.367331,0.00000983,6634.4
5650,1.367419,0.00000968,6692.9
5700,1.367703,0.00000953,6751.4
5750,1.367317,0.00000939,6810.1
5800,1.367295,0.00000924,6868.6
5850,1.367329,0.00000910,6927.1
5900,1.367690,0.00000896,6985.6
5950,1.368409,0.00000881,7044.1
6000,1.367075,0.00000867,7102.5
6050,1.367424,0.00000853,7173.5
6100,1.367291,0.00000839,7232.0
6150,1.367013,0.00000825,7290.5
6200,1.367053,0.00000811,7349.6
6250,1.367511,0.00000797,7408.0
6300,1.367568,0.00000783,7466.5
6350,1.367552,0.00000769,7524.9
6400,1.367838,0.00000756,7583.3
6450,1.367426,0.00000742,7641.9
6500,1.367602,0.00000729,7700.4
6550,1.367796,0.00000715,7761.4
6600,1.367017,0.00000702,7819.9
6650,1.367654,0.00000689,7878.4
6700,1.367016,0.00000676,7937.2
6750,1.367166,0.00000663,7995.6
6800,1.367300,0.00000650,8054.1
6850,1.367028,0.00000637,8112.5
6900,1.367342,0.00000625,8171.0
6950,1.368631,0.00000612,8229.5
7000,1.367817,0.00000600,8288.0
7050,1.367493,0.00000588,8358.9
7100,1.367208,0.00000576,8417.4
7150,1.367657,0.00000564,8476.4
7200,1.367137,0.00000552,8534.8
7250,1.367254,0.00000541,8593.3
7300,1.367057,0.00000529,8651.7
7350,1.367345,0.00000518,8710.1
7400,1.367182,0.00000507,8768.6
7450,1.367201,0.00000496,8827.1
7500,1.367653,0.00000485,8885.5
7550,1.367201,0.00000474,8946.4
7600,1.367012,0.00000464,9004.8
7650,1.367560,0.00000453,9063.7
7700,1.367326,0.00000443,9122.1
7750,1.367242,0.00000433,9180.6
7800,1.367307,0.00000423,9239.1
7850,1.367391,0.00000414,9297.7
7900,1.367976,0.00000404,9356.1
7950,1.366999,0.00000395,9414.6
8000,1.366923,0.00000386,9473.1
8050,1.367456,0.00000377,9544.4
8100,1.367848,0.00000368,9603.4
8150,1.367414,0.00000360,9661.5
8200,1.367379,0.00000352,9719.7
8250,1.367497,0.00000344,9777.9
8300,1.367793,0.00000336,9836.0
8350,1.367638,0.00000328,9894.2
8400,1.367249,0.00000321,9952.3
8450,1.367906,0.00000313,10010.5
8500,1.367232,0.00000306,10068.7
8550,1.366929,0.00000299,10129.3
8600,1.367504,0.00000293,10188.0
8650,1.367547,0.00000286,10246.2
8700,1.367310,0.00000280,10304.4
8750,1.367333,0.00000274,10362.5
8800,1.367498,0.00000269,10420.6
8850,1.367365,0.00000263,10478.7
8900,1.367633,0.00000258,10536.7
8950,1.367357,0.00000253,10594.9
9000,1.367137,0.00000248,10653.0
9050,1.367584,0.00000243,10726.4
9100,1.367408,0.00000239,10784.6
9150,1.367602,0.00000235,10842.8
9200,1.367278,0.00000231,10900.9
9250,1.367498,0.00000227,10959.1
9300,1.386527,0.00000224,11017.5
9350,1.367167,0.00000220,11075.7
9400,1.366910,0.00000217,11133.9
9450,1.366908,0.00000215,11192.1
9500,1.367409,0.00000212,11250.3
9550,1.367196,0.00000210,11311.6
9600,1.367185,0.00000208,11369.8
9650,1.367036,0.00000206,11428.1
9700,1.367536,0.00000204,11486.4
9750,1.367364,0.00000203,11544.6
9800,1.367219,0.00000202,11603.0
9850,1.367026,0.00000201,11661.2
9900,1.367401,0.00000200,11719.4
9950,1.367451,0.00000200,11777.5
10000,1.367547,0.00000200,11835.7
