step,loss,lr,elapsed_sec
50,5.454853,0.00000250,59.3
100,3.806389,0.00000500,117.6
150,2.151624,0.00000750,175.8
200,1.658776,0.00001000,234.1
250,1.488642,0.00001250,292.4
300,1.418504,0.00001500,350.7
350,1.405674,0.00001750,408.9
400,1.395474,0.00002000,467.1
450,1.389125,0.00002000,525.4
500,1.387282,0.00002000,584.1
550,1.385907,0.00001999,644.7
600,1.377101,0.00001998,702.7
650,1.375526,0.00001997,760.8
700,1.373605,0.00001996,818.8
750,1.377091,0.00001994,877.0
800,1.372050,0.00001992,935.1
850,1.372257,0.00001990,993.3
900,1.370236,0.00001988,1051.4
950,1.370984,0.00001985,1109.4
1000,1.373559,0.00001983,1168.1
1050,1.369852,0.00001980,1239.3
1100,1.372345,0.00001976,1297.4
1150,1.371235,0.00001973,1355.4
1200,1.370678,0.00001969,1413.6
1250,1.371692,0.00001965,1471.6
1300,1.369487,0.00001961,1529.6
1350,1.371126,0.00001957,1587.7
1400,1.369130,0.00001952,1645.7
1450,1.371055,0.00001947,1704.2
1500,1.370511,0.00001942,1762.3
1550,1.370415,0.00001937,1822.8
1600,1.369883,0.00001931,1880.8
1650,1.369380,0.00001926,1938.9
1700,1.369582,0.00001920,1996.9
1750,1.369937,0.00001914,2054.9
1800,1.370016,0.00001907,2112.9
1850,1.369800,0.00001901,2170.9
1900,1.369818,0.00001894,2228.9
1950,1.369753,0.00001887,2287.3
2000,1.369961,0.00001879,2345.3
2050,1.370870,0.00001872,2416.3
2100,1.370261,0.00001864,2474.6
2150,1.369923,0.00001856,2533.0
2200,1.371101,0.00001848,2591.3
2250,1.369108,0.00001840,2649.5
2300,1.369082,0.00001832,2707.7
2350,1.370010,0.00001823,2766.0
2400,1.370158,0.00001814,2824.7
2450,1.368944,0.00001805,2882.7
2500,1.369882,0.00001796,2940.8
2550,1.370178,0.00001786,3001.4
2600,1.369306,0.00001777,3059.4
2650,1.367664,0.00001767,3117.5
2700,1.369058,0.00001757,3175.5
2750,1.369761,0.00001747,3233.5
2800,1.369274,0.00001736,3291.5
2850,1.370304,0.00001726,3349.5
2900,1.368152,0.00001715,3408.0
2950,1.369684,0.00001704,3466.0
3000,1.369499,0.00001693,3524.0
3050,1.369462,0.00001682,3594.7
3100,1.367904,0.00001671,3653.0
3150,1.368549,0.00001659,3711.3
3200,1.369101,0.00001648,3769.5
3250,1.369332,0.00001636,3827.7
3300,1.368393,0.00001624,3886.0
3350,1.369324,0.00001612,3944.8
3400,1.369567,0.00001600,4003.0
3450,1.369228,0.00001588,4061.3
3500,1.369169,0.00001575,4119.6
3550,1.368380,0.00001563,4180.5
3600,1.368980,0.00001550,4238.7
3650,1.369389,0.00001537,4296.9
3700,1.369615,0.00001524,4355.2
3750,1.369796,0.00001511,4413.4
3800,1.368808,0.00001498,4471.7
3850,1.368272,0.00001485,4530.3
3900,1.368228,0.00001471,4588.5
3950,1.368086,0.00001458,4646.7
4000,1.368871,0.00001444,4704.9
4050,1.369702,0.00001431,4776.0
4100,1.368921,0.00001417,4834.3
4150,1.368222,0.00001403,4892.5
4200,1.368750,0.00001389,4950.7
4250,1.368951,0.00001375,5008.9
4300,1.368554,0.00001361,5067.4
4350,1.368682,0.00001347,5125.4
4400,1.368578,0.00001333,5183.3
4450,1.368516,0.00001319,5241.3
4500,1.369780,0.00001304,5299.4
4550,1.368806,0.00001290,5360.0
4600,1.368986,0.00001276,5418.0
4650,1.369454,0.00001261,5476.0
4700,1.369100,0.00001247,5534.0
4750,1.369833,0.00001232,5592.0
4800,1.369588,0.00001217,5650.4
4850,1.368549,0.00001203,5708.4
4900,1.370218,0.00001188,5766.4
4950,1.368606,0.00001174,5824.3
5000,1.368815,0.00001159,5882.4
5050,1.369430,0.00001144,5954.8
5100,1.368560,0.00001129,6013.0
5150,1.369890,0.00001115,6071.2
5200,1.368719,0.00001100,6129.4
5250,1.368662,0.00001085,6188.1
5300,1.369574,0.00001071,6246.3
5350,1.369950,0.00001056,6304.6
5400,1.368762,0.00001041,6362.8
5450,1.369787,0.00001026,6421.1
5500,1.369865,0.00001012,6479.3
5550,1.367936,0.00000997,6539.8
5600,1.368012,0.00000983,6597.9
5650,1.369417,0.00000968,6655.9
5700,1.369681,0.00000953,6714.0
5750,1.369695,0.00000939,6772.5
5800,1.368778,0.00000924,6830.5
5850,1.370033,0.00000910,6888.5
5900,1.368558,0.00000896,6946.6
5950,1.368938,0.00000881,7004.7
6000,1.369659,0.00000867,7062.6
6050,1.368716,0.00000853,7133.5
6100,1.369154,0.00000839,7191.5
6150,1.368347,0.00000825,7249.5
6200,1.368107,0.00000811,7308.0
6250,1.369228,0.00000797,7365.9
6300,1.368108,0.00000783,7423.9
6350,1.367957,0.00000769,7481.9
6400,1.368716,0.00000756,7539.8
6450,1.369549,0.00000742,7597.9
6500,1.369326,0.00000729,7655.9
6550,1.369215,0.00000715,7716.4
6600,1.368424,0.00000702,7774.4
6650,1.368238,0.00000689,7832.5
6700,1.369410,0.00000676,7890.8
6750,1.369587,0.00000663,7948.8
6800,1.369915,0.00000650,8006.9
6850,1.368582,0.00000637,8064.9
6900,1.368687,0.00000625,8123.0
6950,1.369390,0.00000612,8181.0
7000,1.369320,0.00000600,8239.1
7050,1.368634,0.00000588,8309.6
7100,1.369596,0.00000576,8367.6
7150,1.368759,0.00000564,8426.1
7200,1.368791,0.00000552,8484.1
7250,1.368253,0.00000541,8542.1
7300,1.368895,0.00000529,8600.0
7350,1.368238,0.00000518,8658.0
7400,1.368640,0.00000507,8716.1
7450,1.367821,0.00000496,8774.0
7500,1.369727,0.00000485,8832.1
7550,1.367788,0.00000474,8892.6
7600,1.369647,0.00000464,8950.6
7650,1.368887,0.00000453,9009.3
7700,1.368608,0.00000443,9067.3
7750,1.369004,0.00000433,9125.3
7800,1.368608,0.00000423,9183.3
7850,1.367949,0.00000414,9241.4
7900,1.368606,0.00000404,9299.3
7950,1.368953,0.00000395,9357.3
8000,1.368683,0.00000386,9415.3
8050,1.369725,0.00000377,9485.8
8100,1.368399,0.00000368,9544.3
8150,1.370081,0.00000360,9602.3
8200,1.367935,0.00000352,9660.3
8250,1.368684,0.00000344,9718.3
8300,1.368822,0.00000336,9776.3
8350,1.368748,0.00000328,9834.4
8400,1.368934,0.00000321,9892.4
8450,1.368500,0.00000313,9950.4
8500,1.368407,0.00000306,10008.4
8550,1.368832,0.00000299,10068.9
8600,1.368699,0.00000293,10127.4
8650,1.369000,0.00000286,10185.4
8700,1.370121,0.00000280,10243.5
8750,1.369049,0.00000274,10301.5
8800,1.368227,0.00000269,10359.6
8850,1.367795,0.00000263,10417.7
8900,1.368914,0.00000258,10475.7
8950,1.369216,0.00000253,10533.8
9000,1.369163,0.00000248,10591.9
9050,1.368523,0.00000243,10664.6
9100,1.368462,0.00000239,10722.6
9150,1.368157,0.00000235,10780.7
9200,1.367985,0.00000231,10838.6
9250,1.368118,0.00000227,10896.6
9300,1.369015,0.00000224,10954.7
9350,1.369285,0.00000220,11012.7
9400,1.368165,0.00000217,11070.7
9450,1.367689,0.00000215,11128.7
9500,1.368035,0.00000212,11186.7
9550,1.369243,0.00000210,11247.8
9600,1.369380,0.00000208,11305.8
9650,1.368861,0.00000206,11363.7
9700,1.368810,0.00000204,11421.7
9750,1.368436,0.00000203,11479.7
9800,1.369531,0.00000202,11537.8
9850,1.370871,0.00000201,11595.9
9900,1.369387,0.00000200,11653.9
9950,1.368351,0.00000200,11711.9
10000,1.368225,0.00000200,11770.4
