step,loss,lr,elapsed_sec
50,5.686216,0.00000250,59.8
100,3.318692,0.00000500,118.4
150,1.678845,0.00000750,177.0
200,1.420474,0.00001000,235.5
250,1.383034,0.00001250,294.1
300,1.375213,0.00001500,352.6
350,1.371010,0.00001750,411.2
400,1.370425,0.00002000,469.7
450,1.367901,0.00002000,528.2
500,1.370259,0.00002000,587.4
550,1.367261,0.00001999,648.5
600,1.367286,0.00001998,707.1
650,1.366753,0.00001997,765.7
700,1.368079,0.00001996,824.3
750,1.366602,0.00001994,883.1
800,1.366298,0.00001992,941.7
850,1.366557,0.00001990,1000.4
900,1.366549,0.00001988,1059.0
950,1.366133,0.00001985,1117.6
1000,1.366219,0.00001983,1176.7
1050,1.366182,0.00001980,1248.2
1100,1.366141,0.00001976,1306.9
1150,1.366490,0.00001973,1365.5
1200,1.365975,0.00001969,1424.3
1250,1.366170,0.00001965,1482.9
1300,1.366082,0.00001961,1541.5
1350,1.365977,0.00001957,1600.0
1400,1.366019,0.00001952,1658.6
1450,1.366536,0.00001947,1717.8
1500,1.365987,0.00001942,1776.4
1550,1.366260,0.00001937,1837.4
1600,1.366158,0.00001931,1896.0
1650,1.365993,0.00001926,1954.5
1700,1.366007,0.00001920,2013.2
1750,1.366170,0.00001914,2071.8
1800,1.366066,0.00001907,2130.3
1850,1.365906,0.00001901,2188.9
1900,1.366163,0.00001894,2247.5
1950,1.366513,0.00001887,2306.5
2000,1.365953,0.00001879,2365.1
2050,1.365741,0.00001872,2436.5
2100,1.366082,0.00001864,2495.0
2150,1.365946,0.00001856,2553.7
2200,1.366122,0.00001848,2612.2
2250,1.365999,0.00001840,2670.7
2300,1.367037,0.00001832,2729.3
2350,1.365965,0.00001823,2787.9
2400,1.365948,0.00001814,2847.0
2450,1.366175,0.00001805,2905.6
2500,1.366203,0.00001796,2964.1
2550,1.365768,0.00001786,3025.2
2600,1.365842,0.00001777,3083.7
2650,1.365972,0.00001767,3142.4
2700,1.365791,0.00001757,3201.0
2750,1.365999,0.00001747,3259.6
2800,1.365888,0.00001736,3318.1
2850,1.365777,0.00001726,3376.7
2900,1.365815,0.00001715,3435.7
2950,1.366078,0.00001704,3494.2
3000,1.365740,0.00001693,3552.8
3050,1.366012,0.00001682,3623.7
3100,1.365924,0.00001671,3682.3
3150,1.365922,0.00001659,3740.8
3200,1.365974,0.00001648,3799.4
3250,1.365916,0.00001636,3857.9
3300,1.366029,0.00001624,3916.4
3350,1.365869,0.00001612,3975.5
3400,1.365903,0.00001600,4034.1
3450,1.365798,0.00001588,4092.7
3500,1.365839,0.00001575,4151.3
3550,1.365856,0.00001563,4212.5
3600,1.365981,0.00001550,4271.1
3650,1.365965,0.00001537,4329.6
3700,1.365908,0.00001524,4388.2
3750,1.365894,0.00001511,4446.9
3800,1.365885,0.00001498,4505.6
3850,1.365891,0.00001485,4564.7
3900,1.365897,0.00001471,4623.4
3950,1.365806,0.00001458,4682.1
4000,1.365759,0.00001444,4740.7
4050,1.366508,0.00001431,4812.2
4100,1.365877,0.00001417,4870.7
4150,1.365748,0.00001403,4929.2
4200,1.366136,0.00001389,4987.8
4250,1.365880,0.00001375,5046.3
4300,1.366093,0.00001361,5105.4
4350,1.365849,0.00001347,5163.9
4400,1.365784,0.00001333,5222.5
4450,1.365972,0.00001319,5281.0
4500,1.365850,0.00001304,5339.6
4550,1.365776,0.00001290,5400.7
4600,1.365846,0.00001276,5459.2
4650,1.365804,0.00001261,5517.8
4700,1.365812,0.00001247,5576.4
4750,1.365804,0.00001232,5635.0
4800,1.365871,0.00001217,5694.1
4850,1.365819,0.00001203,5752.6
4900,1.365820,0.00001188,5811.2
4950,1.365840,0.00001174,5869.8
5000,1.365760,0.00001159,5928.5
5050,1.366133,0.00001144,6000.2
5100,1.365822,0.00001129,6058.8
5150,1.365859,0.00001115,6117.4
5200,1.365837,0.00001100,6176.0
5250,1.365838,0.00001085,6235.2
5300,1.365780,0.00001071,6293.8
5350,1.365811,0.00001056,6352.3
5400,1.365796,0.00001041,6410.9
5450,1.365737,0.00001026,6469.7
5500,1.365756,0.00001012,6528.4
5550,1.365961,0.00000997,6589.6
5600,1.365682,0.00000983,6648.3
5650,1.365748,0.00000968,6707.0
5700,1.365737,0.00000953,6765.7
5750,1.365766,0.00000939,6824.8
5800,1.366054,0.00000924,6883.4
5850,1.365788,0.00000910,6942.0
5900,1.365737,0.00000896,7000.6
5950,1.365687,0.00000881,7059.3
6000,1.365660,0.00000867,7117.9
6050,1.365730,0.00000853,7189.4
6100,1.365835,0.00000839,7248.0
6150,1.365696,0.00000825,7306.6
6200,1.365773,0.00000811,7365.8
6250,1.365770,0.00000797,7424.4
6300,1.365729,0.00000783,7483.0
6350,1.365979,0.00000769,7541.6
6400,1.365705,0.00000756,7600.2
6450,1.365761,0.00000742,7658.9
6500,1.365804,0.00000729,7717.4
6550,1.365766,0.00000715,7778.5
6600,1.365738,0.00000702,7837.1
6650,1.365720,0.00000689,7895.8
6700,1.365720,0.00000676,7954.9
6750,1.365730,0.00000663,8013.5
6800,1.365756,0.00000650,8072.1
6850,1.365764,0.00000637,8130.7
6900,1.365736,0.00000625,8189.4
6950,1.365819,0.00000612,8248.0
7000,1.365694,0.00000600,8306.6
7050,1.365796,0.00000588,8377.5
7100,1.365736,0.00000576,8436.1
7150,1.365765,0.00000564,8495.2
7200,1.365758,0.00000552,8553.8
7250,1.365786,0.00000541,8612.5
7300,1.365756,0.00000529,8671.0
7350,1.365708,0.00000518,8729.6
7400,1.365771,0.00000507,8788.2
7450,1.365735,0.00000496,8846.8
7500,1.365770,0.00000485,8905.4
7550,1.365747,0.00000474,8966.6
7600,1.365812,0.00000464,9025.2
7650,1.365815,0.00000453,9084.3
7700,1.365778,0.00000443,9142.9
7750,1.365737,0.00000433,9201.5
7800,1.365709,0.00000423,9260.1
7850,1.365809,0.00000414,9318.7
7900,1.365727,0.00000404,9377.2
7950,1.365846,0.00000395,9435.7
8000,1.365750,0.00000386,9494.3
8050,1.365787,0.00000377,9565.3
8100,1.365781,0.00000368,9624.3
8150,1.365746,0.00000360,9682.5
8200,1.365752,0.00000352,9740.7
8250,1.365744,0.00000344,9798.9
8300,1.365719,0.00000336,9857.2
8350,1.365762,0.00000328,9915.5
8400,1.365765,0.00000321,9973.8
8450,1.365770,0.00000313,10032.1
8500,1.365764,0.00000306,10090.4
8550,1.365738,0.00000299,10151.2
8600,1.365742,0.00000293,10210.1
8650,1.365745,0.00000286,10268.4
8700,1.365751,0.00000280,10326.7
8750,1.365766,0.00000274,10384.9
8800,1.365731,0.00000269,10443.1
8850,1.365741,0.00000263,10501.3
8900,1.365756,0.00000258,10559.6
8950,1.365798,0.00000253,10617.9
9000,1.365747,0.00000248,10676.1
9050,1.365739,0.00000243,10749.4
9100,1.365712,0.00000239,10808.0
9150,1.365748,0.00000235,10866.6
9200,1.365722,0.00000231,10925.2
9250,1.365682,0.00000227,10983.7
9300,1.365753,0.00000224,11042.4
9350,1.365753,0.00000220,11101.0
9400,1.365771,0.00000217,11159.5
9450,1.365761,0.00000215,11218.1
9500,1.365742,0.00000212,11276.7
9550,1.365848,0.00000210,11338.4
9600,1.365766,0.00000208,11397.0
9650,1.365764,0.00000206,11455.5
9700,1.365763,0.00000204,11514.1
9750,1.365754,0.00000203,11572.7
9800,1.365730,0.00000202,11631.4
9850,1.365745,0.00000201,11689.9
9900,1.365745,0.00000200,11748.5
9950,1.365749,0.00000200,11807.0
10000,1.365747,0.00000200,11866.1
