step,loss,lr,elapsed_sec
50,5.787515,0.00000250,60.2
100,2.953419,0.00000500,118.8
150,1.579435,0.00000750,177.5
200,1.414988,0.00001000,236.2
250,1.387695,0.00001250,294.9
300,1.381751,0.00001500,353.6
350,1.378245,0.00001750,412.3
400,1.376097,0.00002000,471.0
450,1.371946,0.00002000,529.7
500,1.371629,0.00002000,589.0
550,1.372597,0.00001999,650.2
600,1.371323,0.00001998,708.8
650,1.369771,0.00001997,767.4
700,1.369429,0.00001996,826.0
750,1.368259,0.00001994,884.7
800,1.369589,0.00001992,943.4
850,1.368910,0.00001990,1001.9
900,1.370324,0.00001988,1060.5
950,1.368757,0.00001985,1119.1
1000,1.368365,0.00001983,1178.2
1050,1.368659,0.00001980,1250.5
1100,1.368336,0.00001976,1309.2
1150,1.367987,0.00001973,1367.8
1200,1.368460,0.00001969,1426.5
1250,1.368368,0.00001965,1485.1
1300,1.368566,0.00001961,1543.8
1350,1.368363,0.00001957,1602.4
1400,1.367878,0.00001952,1661.0
1450,1.368338,0.00001947,1720.2
1500,1.368109,0.00001942,1778.9
1550,1.368063,0.00001937,1840.1
1600,1.368221,0.00001931,1898.7
1650,1.367769,0.00001926,1957.4
1700,1.367900,0.00001920,2016.1
1750,1.368179,0.00001914,2074.8
1800,1.367983,0.00001907,2133.4
1850,1.368425,0.00001901,2192.0
1900,1.368200,0.00001894,2250.7
1950,1.367586,0.00001887,2309.8
2000,1.368469,0.00001879,2368.5
2050,1.367860,0.00001872,2440.1
2100,1.368392,0.00001864,2498.8
2150,1.367358,0.00001856,2557.5
2200,1.367867,0.00001848,2616.1
2250,1.367980,0.00001840,2674.9
2300,1.368140,0.00001832,2733.6
2350,1.367848,0.00001823,2792.3
2400,1.367874,0.00001814,2851.6
2450,1.367851,0.00001805,2910.2
2500,1.367882,0.00001796,2968.9
2550,1.368024,0.00001786,3030.2
2600,1.367788,0.00001777,3088.9
2650,1.368031,0.00001767,3147.7
2700,1.367907,0.00001757,3206.4
2750,1.368206,0.00001747,3265.1
2800,1.368279,0.00001736,3323.8
2850,1.368378,0.00001726,3382.6
2900,1.368136,0.00001715,3441.7
2950,1.368307,0.00001704,3500.4
3000,1.368471,0.00001693,3559.0
3050,1.368039,0.00001682,3630.3
3100,1.367813,0.00001671,3689.0
3150,1.368075,0.00001659,3747.7
3200,1.368239,0.00001648,3806.3
3250,1.368407,0.00001636,3865.0
3300,1.367781,0.00001624,3923.7
3350,1.368283,0.00001612,3983.1
3400,1.367949,0.00001600,4041.8
3450,1.368101,0.00001588,4100.4
3500,1.367650,0.00001575,4159.1
3550,1.367668,0.00001563,4220.4
3600,1.368279,0.00001550,4279.0
3650,1.367809,0.00001537,4337.7
3700,1.368204,0.00001524,4396.3
3750,1.368129,0.00001511,4455.0
3800,1.367750,0.00001498,4513.8
3850,1.367863,0.00001485,4572.9
3900,1.367980,0.00001471,4631.6
3950,1.368422,0.00001458,4690.3
