step,loss,lr,elapsed_sec
50,5.450164,0.00000250,220.0
100,4.980039,0.00000500,439.7
150,4.873073,0.00000750,659.3
200,4.701244,0.00001000,879.0
250,4.616487,0.00001250,1098.7
300,4.541961,0.00001500,1318.4
350,4.560061,0.00001750,1538.2
400,4.371402,0.00002000,1758.0
450,4.362242,0.00002000,1977.6
500,4.357960,0.00001999,2197.4
550,4.244026,0.00001998,2420.1
600,4.361557,0.00001997,2639.8
650,4.300371,0.00001995,2859.6
700,4.302208,0.00001993,3079.4
750,4.276252,0.00001991,3299.3
800,4.205851,0.00001988,3519.1
850,4.232697,0.00001984,3738.9
900,4.227543,0.00001981,3958.7
950,4.242078,0.00001977,4178.7
1000,4.107117,0.00001972,4398.5
1050,4.048273,0.00001968,4635.1
1100,4.206841,0.00001963,4855.0
1150,4.174198,0.00001957,5074.9
1200,4.114273,0.00001951,5294.7
1250,4.106377,0.00001945,5514.6
1300,4.113002,0.00001938,5734.6
1350,4.102873,0.00001931,5954.5
1400,4.022719,0.00001924,6174.5
1450,4.157467,0.00001917,6394.4
1500,4.104648,0.00001909,6614.5
1550,4.119672,0.00001900,6837.6
1600,4.047623,0.00001892,7057.8
1650,4.012794,0.00001883,7277.8
1700,4.063775,0.00001873,7498.0
1750,4.054757,0.00001863,7718.3
1800,3.958165,0.00001853,7938.4
1850,4.044940,0.00001843,8158.6
1900,3.991654,0.00001832,8378.8
1950,4.034079,0.00001821,8599.0
2000,4.019155,0.00001810,8819.3
2050,3.986620,0.00001799,9056.3
2100,3.973699,0.00001787,9276.2
2150,3.957474,0.00001775,9495.2
2200,3.955835,0.00001762,9714.0
2250,4.004565,0.00001749,9933.3
2300,3.955468,0.00001736,10152.6
2350,4.025424,0.00001723,10372.1
2400,3.986071,0.00001710,10591.5
2450,3.958929,0.00001696,10811.0
2500,3.978433,0.00001682,11030.7
2550,3.988532,0.00001667,11253.3
2600,3.932449,0.00001653,11473.0
2650,3.917096,0.00001638,11692.6
2700,3.866220,0.00001623,11912.3
2750,3.956287,0.00001608,12132.1
2800,4.002151,0.00001592,12351.8
2850,3.990947,0.00001577,12571.7
2900,3.974767,0.00001561,12791.7
2950,3.945400,0.00001545,13011.7
3000,3.942860,0.00001528,13231.6
3050,3.922345,0.00001512,13468.6
3100,3.943293,0.00001495,13688.5
3150,3.932716,0.00001478,13908.5
3200,3.900458,0.00001462,14128.5
3250,3.896353,0.00001444,14348.5
3300,3.882061,0.00001427,14568.4
3350,3.915267,0.00001410,14788.4
3400,3.917222,0.00001392,15008.4
3450,3.840758,0.00001375,15228.4
3500,3.881047,0.00001357,15448.3
3550,3.861120,0.00001339,15671.0
3600,3.912174,0.00001321,15889.9
3650,3.876696,0.00001303,16108.5
3700,3.871622,0.00001285,16327.7
3750,3.886332,0.00001266,16547.1
3800,3.940930,0.00001248,16766.6
3850,3.911969,0.00001230,16986.5
3900,3.798697,0.00001211,17206.5
3950,3.875726,0.00001193,17426.6
4000,3.845974,0.00001174,17646.7
4050,3.889724,0.00001156,17883.7
4100,3.872763,0.00001137,18104.2
4150,3.749695,0.00001119,18324.4
4200,3.834970,0.00001100,18544.5
4250,3.841304,0.00001081,18764.6
4300,3.777815,0.00001063,18984.8
4350,3.781096,0.00001044,19204.9
4400,3.781357,0.00001026,19425.0
4450,3.821550,0.00001007,19645.0
4500,3.802889,0.00000989,19865.0
4550,3.824231,0.00000970,20088.1
4600,3.838561,0.00000952,20308.2
4650,3.782559,0.00000934,20528.4
4700,3.749960,0.00000915,20748.6
4750,3.727806,0.00000897,20968.6
4800,3.715161,0.00000879,21188.6
4850,3.782890,0.00000861,21408.4
4900,3.812899,0.00000843,21628.3
4950,3.759402,0.00000825,21848.2
5000,3.785995,0.00000808,22068.1
5050,3.849533,0.00000790,22304.8
5100,3.781065,0.00000773,22524.7
5150,3.738235,0.00000756,22744.6
5200,3.706309,0.00000738,22964.5
5250,3.830263,0.00000722,23184.5
5300,3.800879,0.00000705,23404.3
5350,3.759697,0.00000688,23624.2
5400,3.862127,0.00000672,23844.0
5450,3.763249,0.00000655,24063.1
5500,3.712865,0.00000639,24281.8
5550,3.778947,0.00000623,24504.2
5600,3.829026,0.00000608,24723.7
5650,3.726085,0.00000592,24943.2
5700,3.688581,0.00000577,25162.6
5750,3.769264,0.00000562,25382.1
5800,3.800437,0.00000547,25601.6
5850,3.713896,0.00000533,25821.3
5900,3.757467,0.00000518,26040.9
5950,3.748452,0.00000504,26260.5
6000,3.772376,0.00000490,26480.3
6050,3.734177,0.00000477,26717.0
6100,3.787794,0.00000464,26936.7
6150,3.739004,0.00000451,27156.4
6200,3.720102,0.00000438,27376.1
6250,3.733544,0.00000425,27595.9
6300,3.710116,0.00000413,27815.7
6350,3.720332,0.00000401,28035.5
6400,3.718205,0.00000390,28255.3
6450,3.772687,0.00000379,28475.2
6500,3.712091,0.00000368,28695.1
6550,3.751434,0.00000357,28917.9
6600,3.757069,0.00000347,29137.7
6650,3.719652,0.00000337,29357.5
6700,3.692867,0.00000327,29577.3
6750,3.734644,0.00000317,29797.0
6800,3.726165,0.00000308,30016.8
6850,3.680723,0.00000300,30236.5
6900,3.725039,0.00000291,30456.2
6950,3.774414,0.00000283,30675.9
7000,3.758379,0.00000276,30895.6
7050,3.730513,0.00000269,31132.5
7100,3.721943,0.00000262,31352.1
7150,3.729179,0.00000255,31571.9
7200,3.731046,0.00000249,31791.7
7250,3.750754,0.00000243,32011.6
7300,3.704194,0.00000237,32231.5
7350,3.744562,0.00000232,32451.3
7400,3.808443,0.00000228,32671.2
7450,3.783983,0.00000223,32891.4
7500,3.730619,0.00000219,33111.1
