step,loss,lr,elapsed_sec
50,1.654306,0.00001333,60.5
100,1.393031,0.00001999,119.7
150,1.381777,0.00001988,178.8
200,1.374853,0.00001966,237.9
250,1.372178,0.00001934,297.0
300,1.372015,0.00001892,356.0
350,1.369857,0.00001840,415.5
400,1.369642,0.00001779,474.5
450,1.369692,0.00001710,533.5
500,1.370764,0.00001633,592.5
550,1.369356,0.00001550,652.3
600,1.369982,0.00001462,711.2
650,1.368906,0.00001369,770.7
700,1.369083,0.00001273,830.0
750,1.369067,0.00001174,889.0
800,1.368976,0.00001075,948.0
850,1.369156,0.00000976,1007.2
900,1.369042,0.00000879,1066.1
950,1.369210,0.00000784,1125.6
1000,1.368829,0.00000694,1184.7
1050,1.369035,0.00000608,1254.5
1100,1.369019,0.00000528,1313.6
1150,1.368939,0.00000455,1372.9
1200,1.368953,0.00000390,1431.8
1250,1.369114,0.00000333,1491.4
1300,1.368876,0.00000286,1550.5
1350,1.368892,0.00000249,1609.4
1400,1.369069,0.00000222,1668.5
1450,1.368950,0.00000205,1727.5
1500,1.369176,0.00000200,1786.5
