step,loss,lr,elapsed_sec
50,1.762499,0.00001333,60.1
100,1.385438,0.00001999,119.1
150,1.381501,0.00001988,177.8
200,1.374459,0.00001966,236.6
250,1.373301,0.00001934,295.4
300,1.369163,0.00001892,354.2
350,1.370200,0.00001840,413.4
400,1.367325,0.00001779,472.1
450,1.367447,0.00001710,531.2
500,1.366961,0.00001633,590.2
550,1.366738,0.00001550,649.6
600,1.367764,0.00001462,708.2
650,1.366633,0.00001369,767.4
700,1.366477,0.00001273,826.3
750,1.366585,0.00001174,885.2
800,1.366474,0.00001075,944.0
850,1.366964,0.00000976,1002.7
900,1.366549,0.00000879,1061.5
950,1.366498,0.00000784,1120.9
1000,1.366481,0.00000694,1179.7
1050,1.366408,0.00000608,1250.2
1100,1.366395,0.00000528,1309.2
1150,1.366501,0.00000455,1368.0
1200,1.366484,0.00000390,1426.7
1250,1.366477,0.00000333,1486.0
1300,1.366476,0.00000286,1545.0
1350,1.366466,0.00000249,1603.9
1400,1.366424,0.00000222,1662.7
1450,1.366508,0.00000205,1721.5
1500,1.366451,0.00000200,1780.4
