step,loss,lr,elapsed_sec
50,3.676863,0.00001333,62.4
100,2.016487,0.00001999,123.5
150,1.611086,0.00001988,185.4
200,1.482500,0.00001966,246.5
250,1.446616,0.00001934,308.2
300,1.401786,0.00001892,369.3
350,1.400600,0.00001840,430.4
400,1.415076,0.00001779,492.2
450,1.403325,0.00001710,553.5
500,1.394486,0.00001633,615.1
550,1.394436,0.00001550,676.8
600,1.385523,0.00001462,738.0
650,1.384366,0.00001369,799.9
700,1.387108,0.00001273,861.2
750,1.395530,0.00001174,922.7
800,1.382953,0.00001075,983.9
850,1.389810,0.00000976,1045.2
900,1.379414,0.00000879,1106.7
950,1.382506,0.00000784,1167.7
1000,1.374874,0.00000694,1229.2
1050,1.379806,0.00000608,1301.3
1100,1.383486,0.00000528,1362.4
1150,1.380605,0.00000455,1424.0
1200,1.380916,0.00000390,1485.4
1250,1.384676,0.00000333,1547.1
1300,1.379877,0.00000286,1608.4
1350,1.383935,0.00000249,1669.5
1400,1.383608,0.00000222,1731.1
1450,1.383458,0.00000205,1792.3
1500,1.384028,0.00000200,1853.9
