step,loss,lr,elapsed_sec
50,1.642140,0.00001333,60.4
100,1.382408,0.00001999,119.5
150,1.377053,0.00001988,178.7
200,1.373463,0.00001966,237.6
250,1.373690,0.00001934,296.6
300,1.372115,0.00001892,355.5
350,1.371535,0.00001840,414.9
400,1.370506,0.00001779,474.0
450,1.369964,0.00001710,533.0
500,1.369285,0.00001633,592.1
550,1.370043,0.00001550,651.8
600,1.368992,0.00001462,710.7
650,1.369775,0.00001369,770.1
700,1.368924,0.00001273,829.2
750,1.368807,0.00001174,888.2
800,1.368963,0.00001075,947.2
850,1.368815,0.00000976,1006.4
900,1.369078,0.00000879,1065.5
950,1.368799,0.00000784,1125.1
1000,1.368921,0.00000694,1184.1
1050,1.370031,0.00000608,1253.9
1100,1.368759,0.00000528,1313.1
1150,1.368952,0.00000455,1372.2
1200,1.368841,0.00000390,1431.1
1250,1.368874,0.00000333,1490.6
1300,1.370141,0.00000286,1549.8
1350,1.368819,0.00000249,1608.9
1400,1.368870,0.00000222,1668.0
1450,1.369009,0.00000205,1727.1
1500,1.368913,0.00000200,1786.2
