step,loss,lr,elapsed_sec
50,4.939003,0.00000250,59.4
100,4.379232,0.00000500,117.6
150,3.878181,0.00000750,176.0
200,3.846901,0.00001000,233.9
250,3.641703,0.00001250,292.2
300,3.691863,0.00001500,350.2
350,3.657638,0.00001750,408.0
400,3.456767,0.00002000,466.3
450,3.595714,0.00002000,524.2
500,3.075184,0.00002000,582.6
550,3.208428,0.00001999,643.1
600,2.934284,0.00001998,701.5
650,2.969143,0.00001997,759.4
700,2.995071,0.00001996,817.3
750,2.681048,0.00001994,875.8
800,2.793338,0.00001992,933.8
850,2.404093,0.00001990,992.3
900,2.458511,0.00001988,1050.1
950,2.489336,0.00001985,1108.0
1000,2.220066,0.00001983,1166.5
1050,2.253856,0.00001980,1238.2
1100,2.107090,0.00001976,1296.6
1150,2.096061,0.00001973,1354.6
1200,1.954418,0.00001969,1413.2
1250,1.995591,0.00001965,1471.0
1300,1.939179,0.00001961,1528.9
1350,1.872410,0.00001957,1587.2
1400,1.875063,0.00001952,1645.1
1450,1.789038,0.00001947,1703.7
1500,1.865636,0.00001942,1761.5
1550,1.719247,0.00001937,1822.6
1600,1.766318,0.00001931,1880.5
1650,1.767428,0.00001926,1938.3
1700,1.708084,0.00001920,1996.6
1750,1.759964,0.00001914,2054.5
1800,1.642683,0.00001907,2112.9
1850,1.667575,0.00001901,2170.7
1900,1.706146,0.00001894,2228.7
1950,1.646558,0.00001887,2287.0
2000,1.670101,0.00001879,2344.8
2050,1.603098,0.00001872,2416.4
2100,1.640663,0.00001864,2474.3
2150,1.573325,0.00001856,2532.7
2200,1.596858,0.00001848,2590.6
2250,1.601162,0.00001840,2648.5
2300,1.571641,0.00001832,2706.8
2350,1.592395,0.00001823,2764.8
2400,1.548799,0.00001814,2823.0
2450,1.555659,0.00001805,2880.9
2500,1.548501,0.00001796,2939.1
2550,1.538889,0.00001786,2999.7
2600,1.572426,0.00001777,3057.7
2650,1.543486,0.00001767,3116.1
2700,1.538621,0.00001757,3173.9
2750,1.520207,0.00001747,3232.2
2800,1.517104,0.00001736,3290.2
2850,1.509179,0.00001726,3348.1
2900,1.521037,0.00001715,3406.4
2950,1.583217,0.00001704,3464.3
3000,1.518035,0.00001693,3522.7
3050,1.522220,0.00001682,3594.2
3100,1.511665,0.00001671,3652.6
3150,1.530672,0.00001659,3710.4
3200,1.489876,0.00001648,3768.2
3250,1.485849,0.00001636,3826.7
3300,1.513472,0.00001624,3884.6
3350,1.499972,0.00001612,3943.1
3400,1.495764,0.00001600,4000.9
3450,1.473197,0.00001588,4059.5
3500,1.476950,0.00001575,4117.3
3550,1.504842,0.00001563,4177.9
3600,1.486326,0.00001550,4236.2
3650,1.497051,0.00001537,4294.1
3700,1.475993,0.00001524,4352.6
3750,1.474893,0.00001511,4410.5
3800,1.480139,0.00001498,4468.4
3850,1.472195,0.00001485,4526.7
3900,1.467848,0.00001471,4584.6
3950,1.461644,0.00001458,4643.1
4000,1.472871,0.00001444,4700.9
4050,1.463844,0.00001431,4772.4
4100,1.478447,0.00001417,4830.3
4150,1.465557,0.00001403,4888.4
4200,1.476317,0.00001389,4946.8
4250,1.464080,0.00001375,5004.6
4300,1.455448,0.00001361,5062.9
4350,1.475321,0.00001347,5120.8
4400,1.459830,0.00001333,5179.3
4450,1.475043,0.00001319,5237.1
4500,1.454860,0.00001304,5295.0
4550,1.456516,0.00001290,5355.9
4600,1.459631,0.00001276,5413.9
4650,1.459326,0.00001261,5472.2
4700,1.451412,0.00001247,5530.1
4750,1.461316,0.00001232,5588.0
4800,1.444124,0.00001217,5646.3
4850,1.458715,0.00001203,5704.3
4900,1.457079,0.00001188,5762.7
4950,1.466110,0.00001174,5820.6
5000,1.446037,0.00001159,5879.1
5050,1.454949,0.00001144,5949.9
5100,1.456141,0.00001129,6007.8
5150,1.453471,0.00001115,6066.1
5200,1.452654,0.00001100,6124.0
5250,1.437505,0.00001085,6182.3
5300,1.444197,0.00001071,6240.4
5350,1.454036,0.00001056,6298.8
5400,1.437892,0.00001041,6356.7
5450,1.453081,0.00001026,6414.5
5500,1.436658,0.00001012,6472.9
5550,1.443948,0.00000997,6533.4
5600,1.457983,0.00000983,6591.9
5650,1.451890,0.00000968,6650.0
5700,1.462880,0.00000953,6708.1
5750,1.448606,0.00000939,6766.7
5800,1.447533,0.00000924,6824.6
5850,1.440049,0.00000910,6883.2
5900,1.460517,0.00000896,6941.1
5950,1.446862,0.00000881,6999.7
6000,1.438537,0.00000867,7057.6
6050,1.450331,0.00000853,7128.6
6100,1.449535,0.00000839,7187.2
6150,1.440559,0.00000825,7245.2
6200,1.442682,0.00000811,7303.9
6250,1.448614,0.00000797,7361.9
6300,1.442451,0.00000783,7420.6
6350,1.435307,0.00000769,7478.5
6400,1.448053,0.00000756,7536.3
6450,1.438641,0.00000742,7594.9
6500,1.426817,0.00000729,7652.8
6550,1.445080,0.00000715,7713.9
6600,1.457617,0.00000702,7771.9
6650,1.447176,0.00000689,7829.9
6700,1.439803,0.00000676,7888.3
6750,1.445211,0.00000663,7946.3
6800,1.430546,0.00000650,8004.8
6850,1.446153,0.00000637,8062.7
6900,1.429449,0.00000625,8121.3
6950,1.440843,0.00000612,8179.2
7000,1.440664,0.00000600,8237.1
7050,1.440046,0.00000588,8309.1
7100,1.436952,0.00000576,8367.3
7150,1.438201,0.00000564,8425.8
7200,1.431290,0.00000552,8483.7
7250,1.440012,0.00000541,8542.2
7300,1.432257,0.00000529,8600.1
7350,1.440449,0.00000518,8658.2
7400,1.424601,0.00000507,8716.7
7450,1.427779,0.00000496,8774.6
7500,1.438328,0.00000485,8833.2
7550,1.446373,0.00000474,8894.0
7600,1.447305,0.00000464,8952.0
7650,1.441364,0.00000453,9010.5
7700,1.439689,0.00000443,9068.4
7750,1.438126,0.00000433,9126.9
7800,1.437501,0.00000423,9184.9
7850,1.436262,0.00000414,9243.5
7900,1.431555,0.00000404,9301.4
7950,1.436004,0.00000395,9359.3
8000,1.458873,0.00000386,9417.9
8050,1.432515,0.00000377,9490.5
8100,1.443860,0.00000368,9549.1
8150,1.451230,0.00000360,9607.1
