step,loss,lr,elapsed_sec
50,6.744832,0.00000250,59.2
100,3.860953,0.00000500,117.4
150,1.921466,0.00000750,175.3
200,1.567456,0.00001000,233.5
250,1.454047,0.00001250,291.6
300,1.433294,0.00001500,349.6
350,1.411698,0.00001750,407.8
400,1.414224,0.00002000,465.9
450,1.408548,0.00002000,523.9
500,1.390967,0.00002000,582.1
550,1.388128,0.00001999,641.2
600,1.389459,0.00001998,699.1
650,1.386177,0.00001997,757.3
700,1.389210,0.00001996,815.2
750,1.383579,0.00001994,873.4
800,1.386181,0.00001992,931.6
850,1.380504,0.00001990,989.6
900,1.381021,0.00001988,1047.8
950,1.378772,0.00001985,1106.2
1000,1.379927,0.00001983,1164.2
1050,1.381926,0.00001980,1233.3
1100,1.380260,0.00001976,1291.6
1150,1.381123,0.00001973,1349.7
1200,1.379892,0.00001969,1408.0
1250,1.382335,0.00001965,1466.0
1300,1.378978,0.00001961,1524.3
1350,1.379043,0.00001957,1582.7
1400,1.378693,0.00001952,1640.7
1450,1.379247,0.00001947,1699.1
1500,1.380351,0.00001942,1757.3
1550,1.381669,0.00001937,1816.3
1600,1.378406,0.00001931,1874.6
1650,1.378153,0.00001926,1932.7
1700,1.379866,0.00001920,1990.7
1750,1.381408,0.00001914,2048.9
1800,1.381720,0.00001907,2107.2
1850,1.381911,0.00001901,2165.1
1900,1.378603,0.00001894,2223.3
1950,1.378552,0.00001887,2281.3
2000,1.378531,0.00001879,2339.6
2050,1.378439,0.00001872,2410.1
2100,1.378516,0.00001864,2468.1
2150,1.377806,0.00001856,2526.3
2200,1.378544,0.00001848,2584.5
2250,1.378391,0.00001840,2642.7
2300,1.380253,0.00001832,2700.8
2350,1.376801,0.00001823,2759.0
2400,1.379058,0.00001814,2816.9
2450,1.379466,0.00001805,2875.2
2500,1.378163,0.00001796,2933.2
2550,1.379712,0.00001786,2992.3
2600,1.378748,0.00001777,3050.4
2650,1.378550,0.00001767,3108.5
2700,1.378431,0.00001757,3166.7
2750,1.381232,0.00001747,3224.8
2800,1.379190,0.00001736,3282.8
2850,1.379366,0.00001726,3340.9
2900,1.378583,0.00001715,3399.3
2950,1.378534,0.00001704,3457.2
3000,1.378140,0.00001693,3515.3
3050,1.378275,0.00001682,3586.9
3100,1.378855,0.00001671,3645.5
3150,1.379843,0.00001659,3703.8
3200,1.384211,0.00001648,3761.8
3250,1.378760,0.00001636,3820.0
3300,1.379664,0.00001624,3878.3
3350,1.376912,0.00001612,3936.3
3400,1.379266,0.00001600,3994.5
3450,1.378836,0.00001588,4052.8
3500,1.379575,0.00001575,4110.9
3550,1.380986,0.00001563,4169.9
3600,1.380456,0.00001550,4228.1
3650,1.377798,0.00001537,4286.1
3700,1.377953,0.00001524,4344.2
3750,1.379316,0.00001511,4402.2
3800,1.379663,0.00001498,4460.5
3850,1.380597,0.00001485,4518.7
3900,1.378112,0.00001471,4576.8
3950,1.377990,0.00001458,4635.1
4000,1.378742,0.00001444,4693.2
4050,1.377571,0.00001431,4765.1
4100,1.379380,0.00001417,4823.3
4150,1.378173,0.00001403,4881.7
4200,1.378132,0.00001389,4939.7
4250,1.378806,0.00001375,4997.9
4300,1.378773,0.00001361,5055.9
4350,1.378549,0.00001347,5114.2
4400,1.378877,0.00001333,5172.5
4450,1.379797,0.00001319,5230.6
4500,1.378088,0.00001304,5288.8
4550,1.377793,0.00001290,5347.9
4600,1.379935,0.00001276,5406.0
4650,1.379011,0.00001261,5464.2
4700,1.377980,0.00001247,5522.3
4750,1.377757,0.00001232,5580.4
4800,1.378115,0.00001217,5638.7
4850,1.380406,0.00001203,5696.9
4900,1.380346,0.00001188,5754.8
4950,1.378284,0.00001174,5813.0
5000,1.377845,0.00001159,5871.0
5050,1.378858,0.00001144,5942.8
5100,1.379574,0.00001129,6001.1
5150,1.379697,0.00001115,6059.0
5200,1.377854,0.00001100,6117.1
5250,1.380159,0.00001085,6175.4
5300,1.379879,0.00001071,6233.4
5350,1.377675,0.00001056,6291.6
5400,1.377376,0.00001041,6349.9
5450,1.378007,0.00001026,6407.9
5500,1.379284,0.00001012,6466.2
5550,1.377457,0.00000997,6525.0
5600,1.378171,0.00000983,6583.3
5650,1.379531,0.00000968,6641.8
5700,1.379061,0.00000953,6699.7
5750,1.379294,0.00000939,6758.2
5800,1.379755,0.00000924,6816.5
5850,1.377956,0.00000910,6874.5
5900,1.377757,0.00000896,6932.7
5950,1.379703,0.00000881,6991.0
6000,1.377746,0.00000867,7049.0
6050,1.378194,0.00000853,7120.4
6100,1.378194,0.00000839,7178.3
6150,1.379738,0.00000825,7236.7
6200,1.377935,0.00000811,7295.1
6250,1.379561,0.00000797,7353.1
6300,1.379585,0.00000783,7411.5
6350,1.379301,0.00000769,7469.8
6400,1.377850,0.00000756,7527.8
6450,1.377220,0.00000742,7586.2
6500,1.379549,0.00000729,7644.5
6550,1.379688,0.00000715,7703.5
6600,1.378017,0.00000702,7761.6
6650,1.379336,0.00000689,7820.0
6700,1.379465,0.00000676,7878.0
6750,1.378756,0.00000663,7936.4
6800,1.377900,0.00000650,7994.3
6850,1.377872,0.00000637,8052.6
6900,1.377516,0.00000625,8110.7
6950,1.378320,0.00000612,8168.7
7000,1.379438,0.00000600,8227.0
7050,1.377645,0.00000588,8299.6
7100,1.377955,0.00000576,8357.5
7150,1.377970,0.00000564,8415.7
7200,1.378328,0.00000552,8474.0
7250,1.377784,0.00000541,8532.0
7300,1.378996,0.00000529,8590.3
7350,1.377656,0.00000518,8648.1
7400,1.377519,0.00000507,8706.5
7450,1.378187,0.00000496,8764.6
7500,1.379063,0.00000485,8822.6
7550,1.378007,0.00000474,8881.8
7600,1.377880,0.00000464,8940.0
7650,1.378521,0.00000453,8997.9
7700,1.378043,0.00000443,9056.1
7750,1.378346,0.00000433,9114.2
7800,1.378011,0.00000423,9172.2
7850,1.377737,0.00000414,9230.5
7900,1.378492,0.00000404,9288.8
7950,1.382332,0.00000395,9346.7
8000,1.378151,0.00000386,9404.9
8050,1.378922,0.00000377,9477.2
8100,1.381380,0.00000368,9535.3
8150,1.377616,0.00000360,9593.6
8200,1.378030,0.00000352,9651.5
8250,1.377741,0.00000344,9709.7
8300,1.378136,0.00000336,9767.9
8350,1.377658,0.00000328,9825.9
8400,1.377909,0.00000321,9884.0
8450,1.379245,0.00000313,9942.1
8500,1.377682,0.00000306,10000.1
8550,1.377270,0.00000299,10059.2
8600,1.379490,0.00000293,10117.2
8650,1.379397,0.00000286,10175.3
8700,1.377928,0.00000280,10233.6
8750,1.379875,0.00000274,10291.5
8800,1.377965,0.00000269,10349.7
8850,1.377647,0.00000263,10407.8
8900,1.378801,0.00000258,10465.9
8950,1.378153,0.00000253,10524.2
9000,1.378103,0.00000248,10582.4
9050,1.378487,0.00000243,10654.4
9100,1.379348,0.00000239,10712.5
9150,1.380840,0.00000235,10770.3
9200,1.377868,0.00000231,10828.9
9250,1.377614,0.00000227,10887.1
9300,1.378382,0.00000224,10944.9
9350,1.379270,0.00000220,11003.4
9400,1.377690,0.00000217,11061.5
9450,1.378061,0.00000215,11119.5
9500,1.379722,0.00000212,11177.6
9550,1.378996,0.00000210,11236.7
9600,1.378265,0.00000208,11294.7
9650,1.378137,0.00000206,11352.8
9700,1.377473,0.00000204,11410.9
9750,1.378104,0.00000203,11468.9
9800,1.379800,0.00000202,11527.2
9850,1.379170,0.00000201,11585.1
9900,1.378199,0.00000200,11643.4
9950,1.377394,0.00000200,11701.8
10000,1.378067,0.00000200,11760.0
