step,loss,lr,elapsed_sec
50,1.510555,0.00000250,217.1
100,1.375292,0.00000500,434.5
150,1.370567,0.00000750,652.0
200,1.368677,0.00001000,869.5
250,1.372850,0.00001250,1086.9
300,1.366212,0.00001500,1303.9
350,1.365956,0.00001750,1521.2
400,1.365184,0.00002000,1738.5
450,1.364977,0.00002000,1955.7
500,1.364884,0.00001999,2172.9
550,1.364621,0.00001998,2391.8
600,1.364261,0.00001997,2608.9
650,1.364553,0.00001995,2826.2
700,1.365470,0.00001993,3043.4
750,1.363795,0.00001991,3260.6
800,1.365455,0.00001988,3477.4
850,1.363653,0.00001984,3694.6
900,1.363607,0.00001981,3911.7
950,1.363598,0.00001977,4128.9
1000,1.363554,0.00001972,4346.1
1050,1.363871,0.00001968,4578.3
1100,1.363453,0.00001963,4795.5
1150,1.363659,0.00001957,5012.6
1200,1.363274,0.00001951,5230.0
1250,1.363269,0.00001945,5447.2
1300,1.363384,0.00001938,5664.2
1350,1.363306,0.00001931,5881.4
1400,1.363481,0.00001924,6098.6
1450,1.363297,0.00001917,6315.8
1500,1.363163,0.00001909,6533.0
1550,1.363082,0.00001900,6752.1
1600,1.363403,0.00001892,6969.0
1650,1.363117,0.00001883,7186.3
1700,1.363025,0.00001873,7403.4
1750,1.363007,0.00001863,7620.6
1800,1.363679,0.00001853,7837.9
1850,1.363262,0.00001843,8054.5
1900,1.363142,0.00001832,8271.7
1950,1.363016,0.00001821,8488.7
2000,1.362966,0.00001810,8705.7
2050,1.362951,0.00001799,8938.2
2100,1.362960,0.00001787,9154.7
2150,1.363020,0.00001775,9371.6
2200,1.362956,0.00001762,9588.6
2250,1.362994,0.00001749,9805.4
2300,1.362868,0.00001736,10022.3
2350,1.363138,0.00001723,10238.8
2400,1.362951,0.00001710,10455.8
2450,1.362929,0.00001696,10672.7
2500,1.362954,0.00001682,10889.5
2550,1.362952,0.00001667,11108.3
2600,1.362851,0.00001653,11324.7
2650,1.362860,0.00001638,11541.6
2700,1.363055,0.00001623,11758.5
2750,1.362824,0.00001608,11975.5
2800,1.362907,0.00001592,12192.4
2850,1.362869,0.00001577,12409.0
2900,1.362809,0.00001561,12625.9
2950,1.362803,0.00001545,12842.9
3000,1.362880,0.00001528,13059.9
3050,1.362839,0.00001512,13292.6
3100,1.362783,0.00001495,13509.6
3150,1.362860,0.00001478,13726.1
3200,1.362756,0.00001462,13943.0
3250,1.362768,0.00001444,14160.0
3300,1.362771,0.00001427,14376.9
3350,1.362861,0.00001410,14593.8
3400,1.362766,0.00001392,14810.4
3450,1.362842,0.00001375,15027.6
3500,1.362755,0.00001357,15244.6
3550,1.362780,0.00001339,15463.6
3600,1.362720,0.00001321,15680.7
3650,1.362707,0.00001303,15897.7
3700,1.362722,0.00001285,16115.1
3750,1.362701,0.00001266,16332.7
3800,1.362685,0.00001248,16550.1
3850,1.362718,0.00001230,16767.6
3900,1.362742,0.00001211,16984.5
3950,1.362718,0.00001193,17202.4
4000,1.362729,0.00001174,17420.0
4050,1.362795,0.00001156,17654.7
4100,1.362835,0.00001137,17872.3
4150,1.362757,0.00001119,18089.2
4200,1.362638,0.00001100,18306.7
