step,loss,lr,elapsed_sec
50,1.950104,0.00001333,59.3
100,1.421991,0.00001999,117.7
150,1.418193,0.00001988,175.9
200,1.398007,0.00001966,234.1
250,1.380594,0.00001934,291.9
300,1.384801,0.00001892,350.2
350,1.384578,0.00001840,408.5
400,1.379235,0.00001779,466.6
450,1.373573,0.00001710,524.8
500,1.375015,0.00001633,582.4
550,1.372204,0.00001550,642.5
600,1.370708,0.00001462,700.6
650,1.371473,0.00001369,758.8
700,1.370754,0.00001273,817.0
750,1.370748,0.00001174,874.9
800,1.370274,0.00001075,933.2
850,1.370883,0.00000976,991.3
900,1.369695,0.00000879,1049.4
950,1.369774,0.00000784,1107.6
1000,1.369668,0.00000694,1165.2
1050,1.371678,0.00000608,1235.1
1100,1.370381,0.00000528,1293.4
1150,1.370119,0.00000455,1351.5
1200,1.370790,0.00000390,1409.7
1250,1.370268,0.00000333,1467.4
1300,1.369905,0.00000286,1525.6
1350,1.371439,0.00000249,1583.7
1400,1.369852,0.00000222,1641.9
1450,1.370132,0.00000205,1700.2
1500,1.369747,0.00000200,1757.8
