step,loss,lr,elapsed_sec
50,4.718147,0.00001333,59.3
100,4.150014,0.00001999,117.5
150,3.925310,0.00001988,176.2
200,3.916485,0.00001966,234.2
250,3.640750,0.00001934,292.7
300,3.670682,0.00001892,350.7
350,3.676549,0.00001840,408.5
400,3.576824,0.00001779,466.9
450,3.609460,0.00001710,524.8
500,3.277399,0.00001633,583.4
550,3.279937,0.00001550,643.9
600,3.139509,0.00001462,702.3
650,3.188034,0.00001369,760.2
700,3.188851,0.00001273,818.1
750,3.069793,0.00001174,876.7
800,3.045920,0.00001075,934.7
850,2.917043,0.00000976,993.1
900,3.009601,0.00000879,1051.1
950,3.111996,0.00000784,1109.0
1000,3.063379,0.00000694,1167.3
1050,2.976972,0.00000608,1238.2
1100,2.804991,0.00000528,1296.7
1150,2.928213,0.00000455,1354.6
1200,2.972423,0.00000390,1413.1
1250,2.929244,0.00000333,1471.0
1300,2.971245,0.00000286,1528.9
1350,2.980851,0.00000249,1587.3
1400,2.928986,0.00000222,1645.4
1450,2.912260,0.00000205,1704.0
1500,2.945136,0.00000200,1762.0
