step,loss,lr,elapsed_sec
50,6.363421,0.00000250,78.2
100,5.739848,0.00000500,155.5
150,5.168001,0.00000750,232.9
200,4.676045,0.00001000,310.5
250,4.514984,0.00001250,387.9
300,4.102674,0.00001500,465.5
350,3.783481,0.00001750,542.9
400,3.389110,0.00002000,620.5
450,3.423015,0.00002000,697.9
500,3.137663,0.00002000,775.3
550,2.827231,0.00001999,854.3
600,2.646761,0.00001998,932.0
650,2.415195,0.00001997,1009.6
700,2.210319,0.00001996,1087.0
750,2.189149,0.00001994,1164.4
800,2.035280,0.00001992,1241.8
850,2.019270,0.00001990,1319.4
900,1.908749,0.00001988,1396.8
950,1.815207,0.00001985,1474.2
1000,1.769445,0.00001983,1551.6
1050,1.714331,0.00001980,1646.4
1100,1.728646,0.00001976,1723.9
1150,1.691165,0.00001973,1801.3
1200,1.660450,0.00001969,1879.0
1250,1.695817,0.00001965,1956.4
1300,1.612676,0.00001961,2034.0
1350,1.596296,0.00001957,2111.5
1400,1.585651,0.00001952,2189.0
1450,1.576054,0.00001947,2266.3
1500,1.557098,0.00001942,2343.8
1550,1.553141,0.00001937,2422.8
1600,1.545204,0.00001931,2500.4
1650,1.528731,0.00001926,2577.8
1700,1.504027,0.00001920,2655.2
1750,1.507766,0.00001914,2732.6
1800,1.475571,0.00001907,2810.0
1850,1.460608,0.00001901,2887.6
1900,1.467990,0.00001894,2965.3
1950,1.460418,0.00001887,3042.9
2000,1.453481,0.00001879,3120.5
2050,1.472263,0.00001872,3217.0
2100,1.465146,0.00001864,3294.7
2150,1.450283,0.00001856,3372.3
2200,1.442710,0.00001848,3450.0
2250,1.452145,0.00001840,3527.6
2300,1.432859,0.00001832,3605.4
2350,1.428488,0.00001823,3683.0
2400,1.424992,0.00001814,3760.7
2450,1.436331,0.00001805,3838.5
2500,1.411221,0.00001796,3916.2
2550,1.424408,0.00001786,3995.1
2600,1.415034,0.00001777,4072.6
2650,1.410054,0.00001767,4150.1
2700,1.407888,0.00001757,4227.5
2750,1.406655,0.00001747,4304.9
2800,1.405644,0.00001736,4382.2
2850,1.402954,0.00001726,4460.0
2900,1.408526,0.00001715,4537.5
2950,1.402892,0.00001704,4615.1
3000,1.402037,0.00001693,4692.7
3050,1.401392,0.00001682,4789.5
3100,1.398637,0.00001671,4867.2
3150,1.395925,0.00001659,4944.9
3200,1.390077,0.00001648,5022.5
3250,1.386579,0.00001636,5100.0
3300,1.392443,0.00001624,5177.5
3350,1.395284,0.00001612,5255.2
3400,1.386595,0.00001600,5333.1
3450,1.389122,0.00001588,5410.6
3500,1.387138,0.00001575,5488.2
3550,1.383876,0.00001563,5567.1
3600,1.386025,0.00001550,5644.8
3650,1.381833,0.00001537,5722.3
3700,1.387684,0.00001524,5799.7
3750,1.386187,0.00001511,5877.2
3800,1.383526,0.00001498,5954.8
3850,1.382831,0.00001485,6032.4
3900,1.383793,0.00001471,6109.9
3950,1.379363,0.00001458,6187.4
4000,1.382569,0.00001444,6264.9
4050,1.384420,0.00001431,6361.9
4100,1.380640,0.00001417,6439.3
4150,1.380391,0.00001403,6516.8
4200,1.380416,0.00001389,6594.2
4250,1.381525,0.00001375,6671.7
4300,1.379115,0.00001361,6749.4
4350,1.378158,0.00001347,6827.2
4400,1.377300,0.00001333,6904.9
4450,1.378190,0.00001319,6982.7
4500,1.376461,0.00001304,7060.2
4550,1.378137,0.00001290,7139.2
4600,1.378206,0.00001276,7216.9
4650,1.376598,0.00001261,7294.4
4700,1.374881,0.00001247,7371.9
4750,1.374482,0.00001232,7449.5
4800,1.378312,0.00001217,7527.0
4850,1.374850,0.00001203,7604.8
4900,1.374343,0.00001188,7682.5
4950,1.375809,0.00001174,7760.1
5000,1.375021,0.00001159,7837.5
5050,1.374305,0.00001144,7934.1
5100,1.373136,0.00001129,8011.9
5150,1.372633,0.00001115,8089.5
5200,1.372441,0.00001100,8167.2
5250,1.373502,0.00001085,8244.9
5300,1.371311,0.00001071,8322.8
5350,1.372351,0.00001056,8400.4
5400,1.372855,0.00001041,8477.9
5450,1.370669,0.00001026,8555.3
5500,1.369561,0.00001012,8633.1
5550,1.371669,0.00000997,8712.2
5600,1.371286,0.00000983,8789.8
5650,1.369976,0.00000968,8867.5
5700,1.373050,0.00000953,8945.2
5750,1.369764,0.00000939,9023.0
5800,1.372640,0.00000924,9100.7
5850,1.368891,0.00000910,9178.6
5900,1.369332,0.00000896,9256.2
5950,1.372860,0.00000881,9333.9
6000,1.369418,0.00000867,9411.5
6050,1.369636,0.00000853,9508.9
6100,1.369001,0.00000839,9586.8
6150,1.368409,0.00000825,9664.5
6200,1.372900,0.00000811,9742.4
6250,1.368900,0.00000797,9820.2
6300,1.368328,0.00000783,9897.9
6350,1.368112,0.00000769,9975.6
6400,1.368783,0.00000756,10053.4
6450,1.367395,0.00000742,10131.1
6500,1.367144,0.00000729,10209.0
6550,1.367166,0.00000715,10288.3
6600,1.367465,0.00000702,10366.2
6650,1.368408,0.00000689,10443.9
6700,1.368821,0.00000676,10521.6
6750,1.367887,0.00000663,10599.4
6800,1.367109,0.00000650,10677.2
6850,1.369194,0.00000637,10755.0
6900,1.366591,0.00000625,10832.9
6950,1.366822,0.00000612,10910.5
7000,1.367159,0.00000600,10988.4
7050,1.366682,0.00000588,11084.7
7100,1.367132,0.00000576,11162.5
7150,1.366944,0.00000564,11240.5
7200,1.368131,0.00000552,11318.3
7250,1.366713,0.00000541,11396.0
7300,1.368313,0.00000529,11473.7
7350,1.366302,0.00000518,11551.6
7400,1.366664,0.00000507,11629.3
7450,1.365957,0.00000496,11707.0
7500,1.366404,0.00000485,11784.6
7550,1.366657,0.00000474,11863.6
7600,1.365993,0.00000464,11941.4
7650,1.366194,0.00000453,12019.1
7700,1.365793,0.00000443,12096.7
7750,1.366394,0.00000433,12174.2
7800,1.365738,0.00000423,12251.7
7850,1.365800,0.00000414,12329.1
7900,1.365616,0.00000404,12406.7
7950,1.366267,0.00000395,12484.4
8000,1.366459,0.00000386,12561.9
8050,1.366623,0.00000377,12658.3
8100,1.365630,0.00000368,12736.1
8150,1.365531,0.00000360,12813.6
8200,1.365511,0.00000352,12891.0
8250,1.365752,0.00000344,12968.5
8300,1.365388,0.00000336,13046.0
8350,1.366461,0.00000328,13123.7
8400,1.365349,0.00000321,13201.3
8450,1.365649,0.00000313,13278.9
8500,1.365323,0.00000306,13356.7
8550,1.366618,0.00000299,13435.8
8600,1.365279,0.00000293,13513.4
8650,1.365483,0.00000286,13590.8
8700,1.365198,0.00000280,13668.4
8750,1.365024,0.00000274,13745.9
8800,1.365144,0.00000269,13823.5
8850,1.365129,0.00000263,13901.3
8900,1.365112,0.00000258,13979.0
8950,1.364990,0.00000253,14056.5
9000,1.365155,0.00000248,14134.0
9050,1.365079,0.00000243,14230.7
9100,1.365308,0.00000239,14308.2
9150,1.364934,0.00000235,14385.6
9200,1.365057,0.00000231,14463.0
9250,1.364880,0.00000227,14540.8
9300,1.365020,0.00000224,14618.5
9350,1.364934,0.00000220,14696.2
9400,1.365324,0.00000217,14773.6
9450,1.364860,0.00000215,14851.2
9500,1.364960,0.00000212,14928.7
9550,1.365901,0.00000210,15007.6
9600,1.364910,0.00000208,15085.3
9650,1.364788,0.00000206,15162.8
9700,1.364715,0.00000204,15240.4
9750,1.364850,0.00000203,15318.0
9800,1.365280,0.00000202,15395.6
9850,1.364886,0.00000201,15473.1
9900,1.364833,0.00000200,15550.6
9950,1.364778,0.00000200,15628.1
10000,1.364793,0.00000200,15705.9
