step,loss,lr,elapsed_sec
50,6.704370,0.00000250,76.8
100,5.116527,0.00000500,152.9
150,3.637153,0.00000750,229.1
200,2.629902,0.00001000,305.4
250,2.071914,0.00001250,381.2
300,1.818876,0.00001500,457.1
350,1.584838,0.00001750,532.9
400,1.471400,0.00002000,608.8
450,1.414705,0.00002000,684.6
500,1.396064,0.00002000,760.3
550,1.386670,0.00001999,836.4
600,1.381074,0.00001998,912.3
650,1.378836,0.00001997,988.1
700,1.375490,0.00001996,1063.9
750,1.374793,0.00001994,1139.7
800,1.372391,0.00001992,1215.7
850,1.372538,0.00001990,1291.4
900,1.371030,0.00001988,1367.2
950,1.370342,0.00001985,1443.3
1000,1.369354,0.00001983,1519.4
1050,1.371891,0.00001980,1609.9
1100,1.368810,0.00001976,1686.1
1150,1.368015,0.00001973,1762.4
1200,1.367241,0.00001969,1838.5
1250,1.367319,0.00001965,1914.5
1300,1.366902,0.00001961,1990.5
1350,1.366922,0.00001957,2066.9
1400,1.367413,0.00001952,2142.8
1450,1.366416,0.00001947,2219.0
1500,1.366819,0.00001942,2295.2
1550,1.366335,0.00001937,2371.5
1600,1.365934,0.00001931,2447.4
1650,1.365575,0.00001926,2523.3
1700,1.365535,0.00001920,2599.6
1750,1.365574,0.00001914,2675.7
1800,1.365887,0.00001907,2751.7
1850,1.365248,0.00001901,2827.6
1900,1.365104,0.00001894,2903.7
1950,1.365434,0.00001887,2979.6
2000,1.364786,0.00001879,3055.6
2050,1.364988,0.00001872,3148.1
2100,1.364672,0.00001864,3224.4
2150,1.364646,0.00001856,3300.3
2200,1.364977,0.00001848,3376.2
2250,1.364617,0.00001840,3452.3
2300,1.364648,0.00001832,3528.3
2350,1.364783,0.00001823,3604.5
2400,1.364426,0.00001814,3680.7
2450,1.365352,0.00001805,3757.1
2500,1.365198,0.00001796,3833.2
2550,1.364477,0.00001786,3909.8
2600,1.364281,0.00001777,3985.8
2650,1.364145,0.00001767,4061.8
2700,1.364253,0.00001757,4137.8
2750,1.364337,0.00001747,4213.6
