step,loss,lr,elapsed_sec
50,5.592503,0.00000250,70.5
100,4.141265,0.00000500,140.6
150,2.506761,0.00000750,210.8
200,1.807763,0.00001000,280.9
250,1.589217,0.00001250,351.1
300,1.451948,0.00001500,421.2
350,1.396104,0.00001750,491.6
400,1.378023,0.00002000,561.6
450,1.374016,0.00002000,631.7
500,1.372635,0.00002000,701.9
550,1.367057,0.00001999,772.3
600,1.367555,0.00001998,842.5
650,1.365870,0.00001997,912.7
700,1.366775,0.00001996,982.9
750,1.366532,0.00001994,1053.2
800,1.367560,0.00001992,1123.3
850,1.365807,0.00001990,1193.5
900,1.365313,0.00001988,1263.7
950,1.366681,0.00001985,1333.9
1000,1.367159,0.00001983,1403.9
1050,1.365170,0.00001980,1490.2
1100,1.366056,0.00001976,1560.3
1150,1.364814,0.00001973,1630.3
1200,1.363898,0.00001969,1700.3
1250,1.363916,0.00001965,1770.4
1300,1.364954,0.00001961,1840.5
1350,1.364533,0.00001957,1910.6
1400,1.364149,0.00001952,1980.7
1450,1.363530,0.00001947,2050.9
1500,1.364347,0.00001942,2121.1
1550,1.364386,0.00001937,2191.5
1600,1.364613,0.00001931,2261.5
1650,1.364448,0.00001926,2331.4
1700,1.363389,0.00001920,2401.4
1750,1.364298,0.00001914,2471.5
1800,1.363524,0.00001907,2541.5
1850,1.363338,0.00001901,2611.7
1900,1.363490,0.00001894,2681.8
1950,1.363701,0.00001887,2751.8
2000,1.364376,0.00001879,2821.8
2050,1.363419,0.00001872,2909.7
2100,1.363350,0.00001864,2979.8
2150,1.363973,0.00001856,3049.9
2200,1.364183,0.00001848,3120.0
2250,1.363326,0.00001840,3190.1
2300,1.363521,0.00001832,3260.3
2350,1.363167,0.00001823,3330.4
2400,1.363842,0.00001814,3400.4
2450,1.363937,0.00001805,3470.4
2500,1.363255,0.00001796,3540.3
2550,1.363645,0.00001786,3610.6
2600,1.363905,0.00001777,3680.5
2650,1.363621,0.00001767,3750.4
2700,1.363703,0.00001757,3820.6
2750,1.363191,0.00001747,3890.7
2800,1.363280,0.00001736,3960.8
