step,loss,lr,elapsed_sec
50,4.601128,0.00000250,78.2
100,1.896297,0.00000500,155.6
150,1.519199,0.00000750,233.1
200,1.474239,0.00001000,310.9
250,1.447792,0.00001250,388.5
300,1.423577,0.00001500,466.0
350,1.409217,0.00001750,543.4
400,1.393323,0.00002000,621.0
450,1.379178,0.00002000,698.4
500,1.371235,0.00002000,775.9
550,1.367388,0.00001999,853.9
600,1.366467,0.00001998,931.5
650,1.365639,0.00001997,1009.0
700,1.365637,0.00001996,1086.6
750,1.365708,0.00001994,1164.5
800,1.365876,0.00001992,1241.9
850,1.364312,0.00001990,1319.3
900,1.364692,0.00001988,1396.5
950,1.364942,0.00001985,1474.0
1000,1.366682,0.00001983,1551.4
1050,1.365047,0.00001980,1643.6
1100,1.364158,0.00001976,1721.1
1150,1.364531,0.00001973,1798.8
1200,1.364155,0.00001969,1876.2
1250,1.364330,0.00001965,1953.6
1300,1.364100,0.00001961,2031.2
1350,1.364104,0.00001957,2108.9
1400,1.363925,0.00001952,2186.5
1450,1.363932,0.00001947,2264.1
1500,1.363727,0.00001942,2341.6
1550,1.363713,0.00001937,2419.2
1600,1.363546,0.00001931,2496.7
1650,1.363434,0.00001926,2574.0
1700,1.363784,0.00001920,2651.4
1750,1.364230,0.00001914,2728.8
1800,1.363541,0.00001907,2806.1
1850,1.363669,0.00001901,2883.6
1900,1.363525,0.00001894,2961.1
1950,1.363346,0.00001887,3038.5
2000,1.363467,0.00001879,3115.8
2050,1.364345,0.00001872,3209.2
2100,1.363342,0.00001864,3286.6
2150,1.363487,0.00001856,3364.1
2200,1.363340,0.00001848,3441.4
2250,1.363393,0.00001840,3518.8
2300,1.363369,0.00001832,3596.5
2350,1.363319,0.00001823,3674.1
2400,1.363162,0.00001814,3751.5
2450,1.363274,0.00001805,3829.1
2500,1.363200,0.00001796,3906.6
2550,1.363092,0.00001786,3984.3
2600,1.363216,0.00001777,4061.7
2650,1.363035,0.00001767,4139.4
2700,1.362968,0.00001757,4217.1
2750,1.363022,0.00001747,4294.6
2800,1.362963,0.00001736,4372.2
2850,1.363002,0.00001726,4449.7
2900,1.362960,0.00001715,4527.2
2950,1.362851,0.00001704,4604.7
3000,1.362908,0.00001693,4682.4
3050,1.363014,0.00001682,4777.0
3100,1.362929,0.00001671,4854.5
3150,1.362919,0.00001659,4932.0
3200,1.363002,0.00001648,5009.7
3250,1.363018,0.00001636,5087.2
3300,1.362798,0.00001624,5164.8
3350,1.362949,0.00001612,5242.4
3400,1.362894,0.00001600,5320.0
3450,1.362943,0.00001588,5397.6
3500,1.362776,0.00001575,5475.2
3550,1.362806,0.00001563,5553.2
3600,1.362818,0.00001550,5630.9
3650,1.362938,0.00001537,5708.5
3700,1.362766,0.00001524,5785.9
3750,1.362797,0.00001511,5863.4
3800,1.362785,0.00001498,5940.6
3850,1.362755,0.00001485,6018.2
3900,1.362860,0.00001471,6095.6
3950,1.362964,0.00001458,6173.1
4000,1.362713,0.00001444,6250.6
4050,1.362673,0.00001431,6344.7
4100,1.362729,0.00001417,6422.2
4150,1.362667,0.00001403,6499.9
4200,1.363030,0.00001389,6577.2
4250,1.362891,0.00001375,6654.6
4300,1.362858,0.00001361,6731.9
4350,1.362683,0.00001347,6809.2
4400,1.362785,0.00001333,6886.6
4450,1.363223,0.00001319,6963.8
4500,1.362792,0.00001304,7041.2
4550,1.362614,0.00001290,7118.7
4600,1.362780,0.00001276,7196.1
4650,1.362727,0.00001261,7273.6
4700,1.362732,0.00001247,7351.3
4750,1.362683,0.00001232,7428.8
4800,1.362558,0.00001217,7506.3
4850,1.362768,0.00001203,7583.7
4900,1.362567,0.00001188,7661.2
4950,1.362710,0.00001174,7738.7
5000,1.362611,0.00001159,7816.2
5050,1.362638,0.00001144,7910.5
5100,1.362598,0.00001129,7988.2
5150,1.362814,0.00001115,8065.7
5200,1.362955,0.00001100,8143.3
5250,1.362805,0.00001085,8220.9
5300,1.362663,0.00001071,8298.1
5350,1.362906,0.00001056,8375.4
5400,1.362714,0.00001041,8452.9
5450,1.362872,0.00001026,8530.2
5500,1.362706,0.00001012,8607.6
5550,1.362726,0.00000997,8685.4
5600,1.362524,0.00000983,8762.8
5650,1.362802,0.00000968,8840.4
5700,1.362552,0.00000953,8917.9
5750,1.362626,0.00000939,8995.1
5800,1.362612,0.00000924,9072.3
5850,1.362691,0.00000910,9149.8
5900,1.362653,0.00000896,9227.1
5950,1.362682,0.00000881,9304.6
6000,1.362831,0.00000867,9382.1
6050,1.362633,0.00000853,9476.4
6100,1.362576,0.00000839,9553.9
6150,1.362680,0.00000825,9631.2
6200,1.362714,0.00000811,9708.8
6250,1.362553,0.00000797,9786.2
6300,1.362563,0.00000783,9863.5
6350,1.362593,0.00000769,9940.7
6400,1.362661,0.00000756,10018.2
6450,1.362611,0.00000742,10095.4
6500,1.362572,0.00000729,10172.9
6550,1.362540,0.00000715,10250.6
6600,1.362595,0.00000702,10328.3
6650,1.362580,0.00000689,10405.5
6700,1.362707,0.00000676,10483.0
6750,1.362493,0.00000663,10560.4
