step,loss,lr,elapsed_sec
50,4.007494,0.00001333,71.5
100,1.688789,0.00001999,141.3
150,1.547700,0.00001988,211.3
200,1.479553,0.00001966,281.1
250,1.453711,0.00001934,350.9
300,1.433968,0.00001892,420.5
350,1.418911,0.00001840,490.3
400,1.410663,0.00001779,559.8
450,1.403189,0.00001710,629.6
500,1.391185,0.00001633,699.1
550,1.384690,0.00001550,768.8
600,1.383580,0.00001462,838.9
650,1.378191,0.00001369,908.7
700,1.375129,0.00001273,978.5
750,1.374309,0.00001174,1048.3
800,1.372884,0.00001075,1117.5
850,1.372785,0.00000976,1187.1
900,1.373709,0.00000879,1256.8
950,1.372327,0.00000784,1326.8
1000,1.372993,0.00000694,1396.2
1050,1.372723,0.00000608,1477.3
1100,1.372189,0.00000528,1547.0
1150,1.372900,0.00000455,1616.8
1200,1.373251,0.00000390,1686.8
1250,1.372540,0.00000333,1756.3
1300,1.372579,0.00000286,1826.0
1350,1.372399,0.00000249,1896.1
1400,1.372587,0.00000222,1966.0
1450,1.372417,0.00000205,2036.3
1500,1.372921,0.00000200,2106.9
