step,loss,lr,elapsed_sec
50,3.336117,0.00001333,86.8
100,1.557928,0.00001999,173.9
150,1.471192,0.00001988,259.7
200,1.433817,0.00001966,346.1
250,1.415229,0.00001934,432.5
300,1.400143,0.00001892,518.1
350,1.390891,0.00001840,604.5
400,1.383706,0.00001779,691.5
450,1.380808,0.00001710,777.0
500,1.376677,0.00001633,863.3
550,1.374387,0.00001550,950.3
600,1.372262,0.00001462,1036.4
650,1.370936,0.00001369,1123.0
700,1.369745,0.00001273,1209.4
750,1.369027,0.00001174,1294.8
800,1.368678,0.00001075,1380.9
850,1.368708,0.00000976,1467.1
900,1.368711,0.00000879,1553.2
950,1.368462,0.00000784,1639.0
1000,1.368554,0.00000694,1725.4
1050,1.368505,0.00000608,1822.5
1100,1.368598,0.00000528,1909.3
1150,1.368597,0.00000455,1995.8
1200,1.368361,0.00000390,2081.7
1250,1.368506,0.00000333,2168.2
1300,1.368507,0.00000286,2255.1
1350,1.368421,0.00000249,2341.6
1400,1.368539,0.00000222,2428.8
1450,1.368466,0.00000205,2516.2
1500,1.368473,0.00000200,2602.5
