step,loss,lr,elapsed_sec
50,2.868823,0.00001333,102.2
100,1.458639,0.00001999,204.7
150,1.415242,0.00001988,305.4
200,1.394493,0.00001966,406.1
250,1.384553,0.00001934,506.7
300,1.378290,0.00001892,607.5
350,1.374433,0.00001840,708.8
400,1.371467,0.00001779,809.4
450,1.369423,0.00001710,910.6
500,1.368151,0.00001633,1011.5
550,1.367677,0.00001550,1112.7
600,1.366778,0.00001462,1213.4
650,1.366882,0.00001369,1314.2
700,1.366262,0.00001273,1414.7
750,1.366116,0.00001174,1515.6
800,1.366024,0.00001075,1616.7
850,1.366039,0.00000976,1717.8
900,1.366042,0.00000879,1818.3
950,1.366012,0.00000784,1919.4
1000,1.365950,0.00000694,2020.2
1050,1.366002,0.00000608,2133.7
1100,1.365984,0.00000528,2234.7
1150,1.365920,0.00000455,2335.7
1200,1.365970,0.00000390,2437.0
1250,1.366041,0.00000333,2537.9
1300,1.365930,0.00000286,2639.0
1350,1.365990,0.00000249,2739.8
1400,1.366038,0.00000222,2840.6
1450,1.365929,0.00000205,2942.0
1500,1.365994,0.00000200,3043.3
