step,loss,lr,elapsed_sec
50,1.537810,0.00001333,60.5
100,1.379534,0.00001999,119.9
150,1.373263,0.00001988,179.1
200,1.370698,0.00001966,238.2
250,1.370704,0.00001934,297.3
300,1.369471,0.00001892,356.4
350,1.369269,0.00001840,416.0
400,1.369205,0.00001779,475.3
450,1.369085,0.00001710,534.5
500,1.369211,0.00001633,593.7
550,1.368632,0.00001550,653.5
600,1.368788,0.00001462,712.5
650,1.368734,0.00001369,772.2
700,1.368680,0.00001273,831.4
750,1.368654,0.00001174,890.5
800,1.368655,0.00001075,949.7
850,1.368723,0.00000976,1008.9
900,1.368677,0.00000879,1067.9
950,1.368708,0.00000784,1127.6
1000,1.368882,0.00000694,1186.7
1050,1.368729,0.00000608,1256.9
1100,1.368367,0.00000528,1316.3
1150,1.369686,0.00000455,1375.5
1200,1.368615,0.00000390,1434.6
1250,1.368473,0.00000333,1494.3
1300,1.368672,0.00000286,1553.6
1350,1.368587,0.00000249,1612.8
1400,1.368495,0.00000222,1672.0
1450,1.368743,0.00000205,1731.0
1500,1.368523,0.00000200,1790.2
