step,loss,lr,elapsed_sec
50,3.825412,0.00000250,70.4
100,1.865402,0.00000500,140.5
150,1.427946,0.00000750,210.6
200,1.376747,0.00001000,280.6
250,1.370442,0.00001250,350.5
300,1.367867,0.00001500,420.5
350,1.369172,0.00001750,490.4
400,1.368044,0.00002000,560.4
450,1.367561,0.00002000,630.5
500,1.367251,0.00002000,700.6
550,1.365910,0.00001999,770.9
600,1.365789,0.00001998,840.8
650,1.365431,0.00001997,910.8
700,1.365281,0.00001996,980.7
750,1.366387,0.00001994,1050.7
800,1.367503,0.00001992,1120.8
850,1.365615,0.00001990,1190.9
900,1.364676,0.00001988,1261.1
950,1.365164,0.00001985,1331.2
1000,1.364935,0.00001983,1401.4
1050,1.364734,0.00001980,1487.3
1100,1.364181,0.00001976,1557.5
1150,1.364302,0.00001973,1627.7
1200,1.364120,0.00001969,1697.9
1250,1.365193,0.00001965,1768.0
1300,1.365847,0.00001961,1838.2
1350,1.364391,0.00001957,1908.3
1400,1.364150,0.00001952,1978.4
1450,1.363988,0.00001947,2048.6
1500,1.363640,0.00001942,2118.7
1550,1.363864,0.00001937,2188.9
1600,1.363457,0.00001931,2258.8
1650,1.363646,0.00001926,2328.9
1700,1.363571,0.00001920,2399.0
1750,1.363259,0.00001914,2469.0
1800,1.363379,0.00001907,2539.0
1850,1.363280,0.00001901,2609.0
1900,1.363453,0.00001894,2679.2
1950,1.363315,0.00001887,2749.4
2000,1.363272,0.00001879,2819.5
2050,1.363330,0.00001872,2907.3
2100,1.363218,0.00001864,2977.5
2150,1.364570,0.00001856,3047.6
2200,1.363930,0.00001848,3117.7
2250,1.363352,0.00001840,3187.8
2300,1.363076,0.00001832,3257.8
2350,1.363146,0.00001823,3327.8
2400,1.363110,0.00001814,3397.8
2450,1.363159,0.00001805,3467.7
2500,1.363028,0.00001796,3537.8
2550,1.363062,0.00001786,3608.3
2600,1.362937,0.00001777,3678.4
2650,1.363028,0.00001767,3748.4
2700,1.362998,0.00001757,3818.5
2750,1.362893,0.00001747,3888.6
2800,1.362946,0.00001736,3958.5
2850,1.362842,0.00001726,4028.6
2900,1.362842,0.00001715,4098.7
2950,1.362878,0.00001704,4168.9
3000,1.362867,0.00001693,4239.1
3050,1.362840,0.00001682,4326.9
3100,1.362872,0.00001671,4396.8
3150,1.362909,0.00001659,4466.8
3200,1.362843,0.00001648,4536.7
3250,1.362829,0.00001636,4606.7
3300,1.362760,0.00001624,4676.6
3350,1.365091,0.00001612,4746.6
3400,1.362891,0.00001600,4816.6
3450,1.362983,0.00001588,4886.6
3500,1.362968,0.00001575,4956.8
3550,1.363050,0.00001563,5027.2
3600,1.362973,0.00001550,5097.2
3650,1.363020,0.00001537,5167.2
3700,1.363042,0.00001524,5237.2
3750,1.363008,0.00001511,5307.1
3800,1.362971,0.00001498,5377.1
3850,1.362906,0.00001485,5447.2
3900,1.363003,0.00001471,5517.1
3950,1.363117,0.00001458,5587.1
4000,1.362836,0.00001444,5657.1
