step,loss,lr,elapsed_sec
50,4.887217,0.00000250,59.2
100,4.251592,0.00000500,117.4
150,3.931103,0.00000750,175.8
200,3.570458,0.00001000,233.7
250,3.430436,0.00001250,292.1
300,3.525151,0.00001500,350.2
350,3.206819,0.00001750,408.2
400,3.163049,0.00002000,466.5
450,3.173487,0.00002000,524.4
500,3.041289,0.00002000,582.9
550,3.055602,0.00001999,643.5
600,2.885364,0.00001998,701.9
650,2.881949,0.00001997,759.9
700,2.840777,0.00001996,817.8
750,2.626931,0.00001994,876.3
800,2.564635,0.00001992,934.3
850,2.429876,0.00001990,992.8
900,2.519669,0.00001988,1050.8
950,2.481763,0.00001985,1108.9
1000,2.292256,0.00001983,1167.3
1050,2.393729,0.00001980,1237.9
1100,2.145718,0.00001976,1296.3
1150,2.220653,0.00001973,1354.3
1200,2.006537,0.00001969,1412.7
1250,2.044180,0.00001965,1470.6
1300,2.049980,0.00001961,1528.6
1350,1.957775,0.00001957,1586.9
1400,1.961667,0.00001952,1644.9
1450,1.870949,0.00001947,1703.3
1500,1.920896,0.00001942,1761.4
1550,1.857360,0.00001937,1822.4
1600,1.801666,0.00001931,1880.4
1650,1.791902,0.00001926,1938.6
1700,1.796278,0.00001920,1997.0
1750,1.774846,0.00001914,2054.9
1800,1.709661,0.00001907,2113.2
1850,1.723131,0.00001901,2171.3
1900,1.776812,0.00001894,2229.4
1950,1.666934,0.00001887,2287.8
2000,1.671268,0.00001879,2345.9
2050,1.650117,0.00001872,2416.8
2100,1.663561,0.00001864,2475.0
2150,1.604417,0.00001856,2533.4
2200,1.649030,0.00001848,2591.3
2250,1.647167,0.00001840,2649.3
2300,1.637117,0.00001832,2707.7
2350,1.604317,0.00001823,2765.7
2400,1.619364,0.00001814,2824.0
2450,1.555735,0.00001805,2882.0
2500,1.543665,0.00001796,2940.4
2550,1.613444,0.00001786,3001.1
2600,1.574348,0.00001777,3059.2
2650,1.564049,0.00001767,3117.6
2700,1.547257,0.00001757,3175.7
2750,1.549837,0.00001747,3234.2
2800,1.551089,0.00001736,3292.3
2850,1.561352,0.00001726,3350.4
2900,1.535383,0.00001715,3408.8
2950,1.541080,0.00001704,3466.9
3000,1.523336,0.00001693,3525.4
3050,1.542142,0.00001682,3598.8
3100,1.550188,0.00001671,3657.3
3150,1.540211,0.00001659,3715.3
3200,1.544629,0.00001648,3773.4
3250,1.535042,0.00001636,3832.0
3300,1.508156,0.00001624,3890.0
3350,1.541802,0.00001612,3948.4
3400,1.516144,0.00001600,4006.3
3450,1.512744,0.00001588,4064.8
3500,1.488392,0.00001575,4122.7
3550,1.537942,0.00001563,4183.2
3600,1.520184,0.00001550,4241.7
3650,1.495873,0.00001537,4299.8
3700,1.514147,0.00001524,4358.4
3750,1.482571,0.00001511,4416.5
3800,1.515677,0.00001498,4474.5
3850,1.496047,0.00001485,4532.8
3900,1.501294,0.00001471,4590.8
3950,1.482287,0.00001458,4649.2
4000,1.478329,0.00001444,4707.2
4050,1.467195,0.00001431,4780.7
4100,1.477954,0.00001417,4838.7
4150,1.454699,0.00001403,4896.6
4200,1.470540,0.00001389,4955.0
4250,1.470354,0.00001375,5012.9
4300,1.466922,0.00001361,5071.2
4350,1.474136,0.00001347,5129.1
4400,1.482683,0.00001333,5187.5
4450,1.487426,0.00001319,5245.4
4500,1.470544,0.00001304,5303.3
4550,1.479189,0.00001290,5364.2
4600,1.469522,0.00001276,5422.3
4650,1.465725,0.00001261,5480.8
4700,1.459697,0.00001247,5538.7
4750,1.465549,0.00001232,5596.6
4800,1.459871,0.00001217,5655.0
4850,1.468932,0.00001203,5713.1
4900,1.481012,0.00001188,5771.5
4950,1.469836,0.00001174,5829.5
5000,1.437972,0.00001159,5887.9
5050,1.438503,0.00001144,5960.3
5100,1.468385,0.00001129,6018.4
5150,1.448917,0.00001115,6076.8
5200,1.468619,0.00001100,6134.7
5250,1.480754,0.00001085,6193.1
5300,1.434606,0.00001071,6251.2
5350,1.445124,0.00001056,6309.7
5400,1.445785,0.00001041,6367.6
5450,1.451679,0.00001026,6425.5
5500,1.467494,0.00001012,6484.0
