step,loss,lr,elapsed_sec
50,5.374525,0.00000250,59.3
100,4.630839,0.00000500,117.4
150,4.143871,0.00000750,175.8
200,4.017328,0.00001000,233.7
250,3.779150,0.00001250,292.1
300,3.824692,0.00001500,350.3
350,3.645545,0.00001750,408.3
400,3.495595,0.00002000,466.8
450,3.534660,0.00002000,524.7
500,3.268312,0.00002000,583.1
550,3.238771,0.00001999,643.7
600,3.055607,0.00001998,702.4
650,3.114835,0.00001997,760.3
700,3.106077,0.00001996,818.2
750,2.837706,0.00001994,877.0
800,2.851898,0.00001992,935.0
850,2.520527,0.00001990,993.6
900,2.630274,0.00001988,1051.6
950,2.552480,0.00001985,1109.6
1000,2.423607,0.00001983,1168.0
1050,2.402147,0.00001980,1238.3
1100,2.246029,0.00001976,1296.7
1150,2.176930,0.00001973,1354.8
1200,2.091545,0.00001969,1413.4
1250,2.058241,0.00001965,1471.5
1300,2.190256,0.00001961,1529.5
1350,1.963137,0.00001957,1587.9
1400,1.951736,0.00001952,1645.8
1450,1.854266,0.00001947,1704.3
1500,1.857913,0.00001942,1762.2
1550,1.809181,0.00001937,1823.3
1600,1.884920,0.00001931,1881.3
1650,1.858200,0.00001926,1939.4
1700,1.782542,0.00001920,1997.9
1750,1.797455,0.00001914,2055.7
1800,1.723716,0.00001907,2114.2
1850,1.759384,0.00001901,2172.1
1900,1.734526,0.00001894,2230.0
1950,1.716051,0.00001887,2288.4
2000,1.709982,0.00001879,2346.2
2050,1.658792,0.00001872,2417.3
2100,1.669942,0.00001864,2475.4
2150,1.641041,0.00001856,2533.9
2200,1.665383,0.00001848,2591.8
2250,1.657882,0.00001840,2649.7
2300,1.623480,0.00001832,2708.1
2350,1.638167,0.00001823,2766.1
2400,1.606233,0.00001814,2824.4
2450,1.613218,0.00001805,2882.2
2500,1.581145,0.00001796,2940.6
2550,1.594906,0.00001786,3001.3
2600,1.592475,0.00001777,3059.3
2650,1.575619,0.00001767,3117.7
2700,1.579756,0.00001757,3175.5
2750,1.554486,0.00001747,3233.9
2800,1.567989,0.00001736,3291.9
2850,1.521265,0.00001726,3349.8
2900,1.548063,0.00001715,3408.1
2950,1.580389,0.00001704,3466.1
3000,1.558435,0.00001693,3524.7
3050,1.546867,0.00001682,3597.9
3100,1.522599,0.00001671,3656.5
3150,1.543145,0.00001659,3714.4
3200,1.522390,0.00001648,3772.3
3250,1.501147,0.00001636,3830.9
3300,1.511388,0.00001624,3888.9
3350,1.516255,0.00001612,3947.3
3400,1.518615,0.00001600,4005.2
3450,1.529115,0.00001588,4063.7
3500,1.508415,0.00001575,4121.7
3550,1.520669,0.00001563,4182.2
3600,1.497496,0.00001550,4240.6
3650,1.504168,0.00001537,4298.5
3700,1.498630,0.00001524,4357.1
3750,1.501800,0.00001511,4415.0
3800,1.504298,0.00001498,4472.9
3850,1.487192,0.00001485,4531.3
3900,1.493103,0.00001471,4589.2
3950,1.501615,0.00001458,4647.7
4000,1.482261,0.00001444,4705.6
4050,1.487349,0.00001431,4779.3
4100,1.481489,0.00001417,4837.2
4150,1.510011,0.00001403,4895.2
4200,1.503420,0.00001389,4953.6
4250,1.482341,0.00001375,5011.4
4300,1.465531,0.00001361,5069.7
4350,1.492737,0.00001347,5127.6
4400,1.478789,0.00001333,5186.0
4450,1.478489,0.00001319,5243.9
4500,1.487481,0.00001304,5301.7
4550,1.460571,0.00001290,5362.6
4600,1.464131,0.00001276,5420.6
4650,1.475734,0.00001261,5479.0
4700,1.475066,0.00001247,5536.8
4750,1.469692,0.00001232,5594.7
4800,1.456895,0.00001217,5653.1
4850,1.462852,0.00001203,5711.1
4900,1.460597,0.00001188,5769.5
4950,1.487970,0.00001174,5827.4
5000,1.469262,0.00001159,5885.8
5050,1.469135,0.00001144,5957.9
5100,1.456529,0.00001129,6016.0
5150,1.456873,0.00001115,6074.5
5200,1.468034,0.00001100,6132.4
5250,1.461443,0.00001085,6190.7
5300,1.462941,0.00001071,6248.9
5350,1.458627,0.00001056,6307.4
5400,1.446797,0.00001041,6365.3
5450,1.452658,0.00001026,6423.1
5500,1.464412,0.00001012,6481.8
5550,1.461880,0.00000997,6542.1
5600,1.462288,0.00000983,6600.5
5650,1.466715,0.00000968,6658.3
5700,1.454572,0.00000953,6716.2
5750,1.444700,0.00000939,6774.5
5800,1.452654,0.00000924,6832.4
5850,1.449013,0.00000910,6890.7
5900,1.448525,0.00000896,6948.5
5950,1.459123,0.00000881,7006.9
6000,1.460357,0.00000867,7064.8
6050,1.462890,0.00000853,7137.6
6100,1.461015,0.00000839,7196.0
6150,1.453865,0.00000825,7253.9
6200,1.442400,0.00000811,7312.4
6250,1.443788,0.00000797,7370.2
6300,1.452367,0.00000783,7428.6
6350,1.443036,0.00000769,7486.4
6400,1.455892,0.00000756,7544.4
6450,1.443962,0.00000742,7602.7
6500,1.442415,0.00000729,7660.6
6550,1.446068,0.00000715,7721.4
6600,1.442096,0.00000702,7779.3
6650,1.453796,0.00000689,7837.3
6700,1.456472,0.00000676,7895.6
6750,1.448595,0.00000663,7953.5
6800,1.449954,0.00000650,8011.9
6850,1.453107,0.00000637,8069.9
6900,1.455591,0.00000625,8128.3
6950,1.452980,0.00000612,8186.3
7000,1.443455,0.00000600,8244.1
7050,1.439868,0.00000588,8315.7
7100,1.441248,0.00000576,8373.8
7150,1.442968,0.00000564,8432.3
7200,1.441381,0.00000552,8490.3
7250,1.461200,0.00000541,8548.8
7300,1.448719,0.00000529,8606.8
7350,1.447474,0.00000518,8664.7
7400,1.449201,0.00000507,8723.0
7450,1.458088,0.00000496,8780.9
7500,1.474072,0.00000485,8839.2
7550,1.454348,0.00000474,8899.8
7600,1.450046,0.00000464,8957.8
7650,1.455797,0.00000453,9016.1
7700,1.440647,0.00000443,9074.0
7750,1.459066,0.00000433,9132.3
7800,1.439840,0.00000423,9190.3
7850,1.457030,0.00000414,9248.6
7900,1.439900,0.00000404,9306.5
7950,1.449489,0.00000395,9364.3
8000,1.459073,0.00000386,9422.7
8050,1.450500,0.00000377,9493.8
8100,1.452336,0.00000368,9552.1
8150,1.456032,0.00000360,9610.0
8200,1.449083,0.00000352,9668.4
8250,1.438760,0.00000344,9726.3
8300,1.453337,0.00000336,9784.2
8350,1.438153,0.00000328,9842.6
8400,1.450318,0.00000321,9900.5
8450,1.447739,0.00000313,9958.9
8500,1.454913,0.00000306,10016.8
8550,1.457944,0.00000299,10077.3
8600,1.457383,0.00000293,10135.7
8650,1.441751,0.00000286,10193.6
8700,1.456363,0.00000280,10252.2
8750,1.453566,0.00000274,10310.3
8800,1.446946,0.00000269,10368.7
8850,1.453765,0.00000263,10426.6
8900,1.444590,0.00000258,10484.5
8950,1.444265,0.00000253,10542.8
9000,1.442026,0.00000248,10600.7
9050,1.447512,0.00000243,10675.4
9100,1.458650,0.00000239,10733.4
9150,1.455076,0.00000235,10791.8
9200,1.446430,0.00000231,10849.7
9250,1.455947,0.00000227,10907.6
9300,1.444676,0.00000224,10966.0
9350,1.444248,0.00000220,11023.9
9400,1.458950,0.00000217,11082.4
9450,1.454572,0.00000215,11140.3
9500,1.442985,0.00000212,11198.2
9550,1.448917,0.00000210,11259.1
9600,1.435376,0.00000208,11317.1
9650,1.434318,0.00000206,11375.5
9700,1.444082,0.00000204,11433.3
9750,1.436848,0.00000203,11491.7
9800,1.430172,0.00000202,11549.8
9850,1.457810,0.00000201,11607.8
9900,1.438800,0.00000200,11666.4
9950,1.455287,0.00000200,11724.4
10000,1.449370,0.00000200,11782.7
