step,loss,lr,elapsed_sec
50,3.862132,0.00001333,59.3
100,3.857327,0.00001999,117.3
150,3.895295,0.00001988,175.4
200,3.646929,0.00001966,233.8
250,3.677341,0.00001934,291.6
300,3.608865,0.00001892,349.6
350,3.587145,0.00001840,407.5
400,3.565564,0.00001779,465.8
450,3.429252,0.00001710,523.6
500,3.450091,0.00001633,581.5
550,3.371892,0.00001550,642.6
600,3.264611,0.00001462,700.6
650,3.370338,0.00001369,758.6
700,3.346454,0.00001273,816.6
750,3.228357,0.00001174,874.9
800,3.165958,0.00001075,932.8
850,3.102982,0.00000976,990.8
900,3.145874,0.00000879,1049.3
950,3.050809,0.00000784,1107.2
1000,3.233198,0.00000694,1165.5
1050,3.221682,0.00000608,1237.4
1100,3.027925,0.00000528,1295.8
1150,3.100317,0.00000455,1353.8
1200,3.160892,0.00000390,1412.0
1250,3.022983,0.00000333,1470.4
1300,3.137884,0.00000286,1528.4
1350,3.114665,0.00000249,1586.4
1400,3.079266,0.00000222,1644.3
1450,3.140029,0.00000205,1702.8
1500,3.099513,0.00000200,1760.9
