step,loss,lr,elapsed_sec
50,4.985276,0.00000250,70.3
100,3.973067,0.00000500,140.3
150,3.184124,0.00000750,210.3
200,2.340641,0.00001000,280.4
250,1.961628,0.00001250,350.3
300,1.618648,0.00001500,419.9
350,1.451312,0.00001750,489.7
400,1.408203,0.00002000,559.4
450,1.399706,0.00002000,629.0
500,1.392065,0.00002000,698.9
550,1.391850,0.00001999,769.0
600,1.381264,0.00001998,838.7
650,1.380470,0.00001997,908.3
700,1.379665,0.00001996,978.1
750,1.379489,0.00001994,1047.8
800,1.375157,0.00001992,1117.6
850,1.376706,0.00001990,1187.5
900,1.374071,0.00001988,1257.3
950,1.375530,0.00001985,1327.2
1000,1.372591,0.00001983,1396.9
1050,1.373983,0.00001980,1483.3
1100,1.370786,0.00001976,1553.5
1150,1.377702,0.00001973,1623.7
1200,1.374691,0.00001969,1693.9
1250,1.371253,0.00001965,1764.1
1300,1.373122,0.00001961,1834.1
1350,1.370494,0.00001957,1904.3
1400,1.369677,0.00001952,1974.5
1450,1.370064,0.00001947,2044.6
1500,1.371727,0.00001942,2114.5
1550,1.369206,0.00001937,2184.8
1600,1.372657,0.00001931,2255.0
1650,1.371076,0.00001926,2325.0
1700,1.368239,0.00001920,2395.0
1750,1.372067,0.00001914,2465.1
1800,1.368397,0.00001907,2535.3
1850,1.373052,0.00001901,2605.4
1900,1.367534,0.00001894,2675.6
1950,1.368209,0.00001887,2745.8
2000,1.367100,0.00001879,2815.9
2050,1.367644,0.00001872,2906.7
2100,1.368065,0.00001864,2976.8
2150,1.369406,0.00001856,3046.9
2200,1.366179,0.00001848,3117.3
2250,1.367105,0.00001840,3187.6
2300,1.367811,0.00001832,3257.8
2350,1.366678,0.00001823,3327.9
2400,1.366385,0.00001814,3398.0
2450,1.368889,0.00001805,3468.2
2500,1.366231,0.00001796,3538.2
2550,1.367290,0.00001786,3608.7
2600,1.367774,0.00001777,3678.9
2650,1.367974,0.00001767,3749.2
2700,1.367634,0.00001757,3819.4
2750,1.368395,0.00001747,3889.8
2800,1.366576,0.00001736,3960.1
2850,1.365480,0.00001726,4030.3
2900,1.365974,0.00001715,4100.5
2950,1.366412,0.00001704,4170.5
3000,1.368850,0.00001693,4240.7
3050,1.367937,0.00001682,4329.0
3100,1.365044,0.00001671,4399.2
3150,1.365306,0.00001659,4469.2
3200,1.366458,0.00001648,4539.2
3250,1.365464,0.00001636,4609.4
3300,1.365383,0.00001624,4679.6
3350,1.366319,0.00001612,4749.8
3400,1.364710,0.00001600,4820.0
3450,1.365302,0.00001588,4890.0
3500,1.365192,0.00001575,4960.0
3550,1.364891,0.00001563,5030.3
3600,1.366747,0.00001550,5100.3
3650,1.365331,0.00001537,5170.4
3700,1.364663,0.00001524,5240.4
3750,1.364735,0.00001511,5310.5
3800,1.366748,0.00001498,5380.7
3850,1.364524,0.00001485,5451.0
3900,1.366244,0.00001471,5521.1
3950,1.365969,0.00001458,5591.1
4000,1.364733,0.00001444,5661.4
4050,1.364381,0.00001431,5750.2
4100,1.366017,0.00001417,5820.5
4150,1.364426,0.00001403,5890.6
4200,1.366077,0.00001389,5960.8
4250,1.364779,0.00001375,6030.9
4300,1.364479,0.00001361,6101.0
4350,1.364960,0.00001347,6171.3
4400,1.366636,0.00001333,6241.5
4450,1.364567,0.00001319,6311.6
