step,loss,lr,elapsed_sec
50,4.863665,0.00000250,66.5
100,2.114392,0.00000500,132.8
150,1.526757,0.00000750,199.2
200,1.387705,0.00001000,265.6
250,1.373275,0.00001250,332.1
300,1.368202,0.00001500,398.5
350,1.367728,0.00001750,464.9
400,1.368013,0.00002000,531.3
450,1.366416,0.00002000,597.7
500,1.366961,0.00002000,664.3
550,1.365017,0.00001999,731.0
600,1.364999,0.00001998,797.4
650,1.365419,0.00001997,863.8
700,1.366543,0.00001996,930.0
750,1.364420,0.00001994,996.4
800,1.364326,0.00001992,1062.9
850,1.366712,0.00001990,1129.4
900,1.364019,0.00001988,1195.8
950,1.363868,0.00001985,1262.3
1000,1.363835,0.00001983,1328.7
1050,1.363573,0.00001980,1411.2
1100,1.363377,0.00001976,1477.4
1150,1.364914,0.00001973,1543.7
1200,1.363803,0.00001969,1610.0
1250,1.364002,0.00001965,1676.2
1300,1.363461,0.00001961,1742.5
1350,1.364296,0.00001957,1808.8
1400,1.363319,0.00001952,1875.1
1450,1.363743,0.00001947,1941.4
1500,1.363412,0.00001942,2007.7
1550,1.363715,0.00001937,2074.3
1600,1.363378,0.00001931,2140.6
1650,1.363084,0.00001926,2206.8
1700,1.364153,0.00001920,2273.2
1750,1.363040,0.00001914,2339.6
1800,1.363084,0.00001907,2406.0
1850,1.363042,0.00001901,2472.3
1900,1.363026,0.00001894,2538.6
1950,1.363021,0.00001887,2604.9
2000,1.363017,0.00001879,2671.2
2050,1.363123,0.00001872,2755.3
2100,1.362912,0.00001864,2821.7
2150,1.363843,0.00001856,2887.9
2200,1.362934,0.00001848,2954.1
2250,1.362920,0.00001840,3020.4
2300,1.362834,0.00001832,3086.6
2350,1.363013,0.00001823,3152.9
2400,1.363058,0.00001814,3219.2
2450,1.363190,0.00001805,3285.4
2500,1.362886,0.00001796,3351.7
2550,1.362766,0.00001786,3418.2
2600,1.362740,0.00001777,3484.5
2650,1.362852,0.00001767,3550.7
2700,1.362696,0.00001757,3616.9
2750,1.362752,0.00001747,3683.2
2800,1.362728,0.00001736,3749.3
2850,1.362712,0.00001726,3815.6
2900,1.362727,0.00001715,3882.0
2950,1.362765,0.00001704,3948.2
3000,1.362897,0.00001693,4014.5
3050,1.362827,0.00001682,4098.3
3100,1.362696,0.00001671,4164.5
3150,1.362773,0.00001659,4230.7
3200,1.362734,0.00001648,4296.9
3250,1.362809,0.00001636,4363.1
3300,1.362635,0.00001624,4429.4
3350,1.362743,0.00001612,4495.7
3400,1.362669,0.00001600,4561.9
3450,1.362617,0.00001588,4628.2
3500,1.362768,0.00001575,4694.5
3550,1.362555,0.00001563,4761.4
3600,1.362683,0.00001550,4827.9
3650,1.362630,0.00001537,4894.4
3700,1.362616,0.00001524,4960.7
3750,1.362606,0.00001511,5027.1
3800,1.362652,0.00001498,5093.4
3850,1.362676,0.00001485,5159.7
3900,1.362678,0.00001471,5226.0
3950,1.362798,0.00001458,5292.3
4000,1.362698,0.00001444,5358.5
4050,1.362787,0.00001431,5442.5
4100,1.362908,0.00001417,5508.7
4150,1.362823,0.00001403,5575.0
4200,1.362695,0.00001389,5641.2
4250,1.362723,0.00001375,5707.7
4300,1.362700,0.00001361,5774.0
4350,1.362916,0.00001347,5840.3
4400,1.362781,0.00001333,5906.6
4450,1.362719,0.00001319,5972.8
4500,1.362748,0.00001304,6039.0
4550,1.362780,0.00001290,6105.4
4600,1.362660,0.00001276,6171.6
4650,1.362854,0.00001261,6237.8
4700,1.362624,0.00001247,6304.0
4750,1.362713,0.00001232,6370.3
4800,1.362646,0.00001217,6436.6
4850,1.362559,0.00001203,6502.8
4900,1.362651,0.00001188,6568.9
4950,1.362485,0.00001174,6635.2
5000,1.362603,0.00001159,6701.4
5050,1.362580,0.00001144,6786.0
5100,1.362696,0.00001129,6852.3
5150,1.362627,0.00001115,6918.7
5200,1.362594,0.00001100,6985.0
5250,1.362594,0.00001085,7051.3
5300,1.362533,0.00001071,7117.7
5350,1.362644,0.00001056,7184.1
5400,1.362665,0.00001041,7250.3
5450,1.362536,0.00001026,7316.8
5500,1.362571,0.00001012,7383.1
5550,1.362754,0.00000997,7449.7
5600,1.362579,0.00000983,7516.0
5650,1.362552,0.00000968,7582.4
5700,1.362677,0.00000953,7648.6
5750,1.362525,0.00000939,7714.8
5800,1.362650,0.00000924,7781.5
5850,1.362658,0.00000910,7848.4
5900,1.362566,0.00000896,7914.6
5950,1.362523,0.00000881,7981.3
6000,1.362654,0.00000867,8047.6
6050,1.362703,0.00000853,8133.1
6100,1.362746,0.00000839,8199.4
6150,1.362550,0.00000825,8265.6
6200,1.362578,0.00000811,8332.0
6250,1.362559,0.00000797,8398.3
6300,1.362610,0.00000783,8464.4
6350,1.362592,0.00000769,8530.6
6400,1.362539,0.00000756,8596.9
6450,1.362687,0.00000742,8663.2
6500,1.362603,0.00000729,8729.5
6550,1.362576,0.00000715,8796.1
6600,1.362584,0.00000702,8862.5
6650,1.362486,0.00000689,8928.6
6700,1.362529,0.00000676,8994.8
6750,1.362505,0.00000663,9061.1
6800,1.362594,0.00000650,9127.4
6850,1.362544,0.00000637,9193.8
6900,1.362621,0.00000625,9260.1
6950,1.362498,0.00000612,9326.4
7000,1.362519,0.00000600,9392.7
7050,1.362501,0.00000588,9477.7
7100,1.362544,0.00000576,9544.1
7150,1.362502,0.00000564,9610.4
7200,1.362544,0.00000552,9676.6
7250,1.362501,0.00000541,9743.0
7300,1.362535,0.00000529,9809.2
7350,1.362509,0.00000518,9875.5
7400,1.362546,0.00000507,9941.8
7450,1.362570,0.00000496,10008.0
7500,1.362580,0.00000485,10074.3
7550,1.362501,0.00000474,10141.0
7600,1.362543,0.00000464,10207.2
7650,1.362534,0.00000453,10273.5
7700,1.362503,0.00000443,10339.7
7750,1.362558,0.00000433,10406.1
7800,1.362494,0.00000423,10472.4
7850,1.362536,0.00000414,10538.8
7900,1.362548,0.00000404,10605.1
7950,1.362542,0.00000395,10671.5
8000,1.362490,0.00000386,10737.9
8050,1.362575,0.00000377,10822.5
8100,1.362558,0.00000368,10888.9
8150,1.362468,0.00000360,10955.2
8200,1.362530,0.00000352,11021.6
8250,1.362497,0.00000344,11087.9
8300,1.362530,0.00000336,11154.2
8350,1.362521,0.00000328,11220.4
8400,1.362601,0.00000321,11286.6
8450,1.362500,0.00000313,11352.9
8500,1.362484,0.00000306,11419.4
8550,1.362539,0.00000299,11486.0
8600,1.362489,0.00000293,11552.2
8650,1.362516,0.00000286,11618.5
8700,1.362564,0.00000280,11684.8
8750,1.362574,0.00000274,11751.2
8800,1.362635,0.00000269,11817.8
8850,1.362538,0.00000263,11884.1
8900,1.362585,0.00000258,11950.3
8950,1.362556,0.00000253,12016.6
9000,1.362549,0.00000248,12083.0
9050,1.362576,0.00000243,12168.1
9100,1.362504,0.00000239,12234.3
9150,1.362593,0.00000235,12300.6
9200,1.362520,0.00000231,12366.8
9250,1.362502,0.00000227,12433.2
9300,1.362560,0.00000224,12499.6
9350,1.362488,0.00000220,12565.9
9400,1.362473,0.00000217,12632.3
9450,1.362581,0.00000215,12698.6
9500,1.362561,0.00000212,12764.8
9550,1.362549,0.00000210,12831.4
9600,1.362566,0.00000208,12897.7
9650,1.362429,0.00000206,12963.9
9700,1.362529,0.00000204,13030.3
9750,1.362493,0.00000203,13096.5
9800,1.362547,0.00000202,13162.7
9850,1.362563,0.00000201,13229.0
9900,1.362599,0.00000200,13295.4
9950,1.362557,0.00000200,13361.7
10000,1.362537,0.00000200,13428.0
