step,loss,lr,elapsed_sec
50,2.668059,0.00001333,94.8
100,1.466990,0.00001999,188.2
150,1.419587,0.00001988,281.5
200,1.398144,0.00001966,375.3
250,1.387203,0.00001934,468.6
300,1.379772,0.00001892,562.4
350,1.375338,0.00001840,656.1
400,1.372949,0.00001779,749.6
450,1.369755,0.00001710,843.3
500,1.368248,0.00001633,936.8
550,1.367207,0.00001550,1031.1
600,1.366446,0.00001462,1125.1
650,1.366151,0.00001369,1218.2
700,1.365799,0.00001273,1311.7
750,1.365751,0.00001174,1405.6
800,1.365934,0.00001075,1499.2
850,1.365653,0.00000976,1592.6
900,1.365675,0.00000879,1685.6
950,1.365611,0.00000784,1779.0
1000,1.365599,0.00000694,1872.5
1050,1.365873,0.00000608,1978.7
1100,1.365643,0.00000528,2072.3
1150,1.365585,0.00000455,2165.8
1200,1.365587,0.00000390,2259.3
1250,1.365640,0.00000333,2353.1
1300,1.365557,0.00000286,2446.6
1350,1.366141,0.00000249,2540.0
1400,1.365602,0.00000222,2633.8
1450,1.365570,0.00000205,2727.7
1500,1.365626,0.00000200,2821.6
