step,loss,lr,elapsed_sec
50,3.774262,0.00001333,59.2
100,3.540984,0.00001999,117.3
150,3.467561,0.00001988,175.3
200,3.370498,0.00001966,233.9
250,3.534120,0.00001934,291.9
300,3.311217,0.00001892,350.0
350,3.151007,0.00001840,408.1
400,3.074772,0.00001779,466.5
450,3.125730,0.00001710,524.5
500,3.096726,0.00001633,582.6
550,3.048204,0.00001550,643.6
600,2.933220,0.00001462,701.6
650,2.999983,0.00001369,759.6
700,2.927489,0.00001273,817.6
750,2.884434,0.00001174,875.8
800,2.858085,0.00001075,933.7
850,2.828156,0.00000976,991.5
900,2.858672,0.00000879,1049.7
950,2.883467,0.00000784,1107.6
1000,2.718928,0.00000694,1165.5
1050,2.862204,0.00000608,1236.8
1100,2.749110,0.00000528,1295.1
1150,2.777109,0.00000455,1353.0
1200,2.723557,0.00000390,1411.0
1250,2.745726,0.00000333,1469.2
1300,2.834462,0.00000286,1527.1
1350,2.875942,0.00000249,1585.0
1400,2.787479,0.00000222,1643.0
1450,2.835032,0.00000205,1701.2
1500,2.674327,0.00000200,1759.1
